"","file_names","country_name","year","title","language"
"1","albania_2004_NationalSecurity.pdf","albania","2004","National Security","eng"
"2","albania_2005_MilitaryStrategy.pdf","albania","2005","Military Strategy","eng"
"3","albania_2012_MilitaryReview.pdf","albania","2012","Military Review","eng"
"4","albania_2013_MilitaryReview.pdf","albania","2013","Military Review","eng"
"5","albania_2014_DirektivaEmbrojtjes_noneng.pdf","albania","2014","Direktiva Embrojtjes","noneng"
"6","albania_2014_NationalSecurity_noneng.pdf","albania","2014","National Security","noneng"
"7","albania_2016_FletorjaZyrtareERepublikesSeShqiperise_noneng.pdf","albania","2016","Fletorja Zyrtare E Republikes Se Shqiperise","noneng"
"8","albania_2017_DefenseDirective.pdf","albania","2017","Defense Directive","eng"
"9","albania_2019_DefenseDirective.pdf","albania","2019","Defense Directive","eng"
"10","albania_2020_AlbanianNationalCybersecurityStrategy.pdf","albania","2020","Albanian National Cybersecurity Strategy","eng"
"11","albania_2020_DefenceDirective.pdf","albania","2020","Defence Directive","eng"
"12","albania_2020_DefenseDirective.pdf","albania","2020","Defense Directive","eng"
"13","albania_2021_DefenseDirective.pdf","albania","2021","Defense Directive","eng"
"14","albania_2022_DefenseDirective.pdf","albania","2022","Defense Directive","eng"
"15","albania_2023_DefenseDirective.pdf","albania","2023","Defense Directive","eng"
"16","angola_2018_LivroBrancodeDefesaNacional_noneng.pdf","angola","2018","Livro Brancode Defesa Nacional","noneng"
"17","angola_2018_StrategicConceptofNationalDefense_noneng.pdf","angola","2018","Strategic Conceptof National Defense","noneng"
"18","argentina_1998_LibroBlancodelaDefensa_noneng.pdf","argentina","1998","Libro Blancodela Defensa","noneng"
"19","argentina_1999_WhitebookOnNationalDefense.pdf","argentina","1999","Whitebook On National Defense","eng"
"20","argentina_2007_ModernizationDefenseSector.pdf","argentina","2007","Modernization Defense Sector","eng"
"21","argentina_2010_LibroBlancoDeLaDefensa_noneng.pdf","argentina","2010","Libro Blanco De La Defensa","noneng"
"22","argentina_2015_LibroBlancodelaDefensa_noneng.pdf","argentina","2015","Libro Blancodela Defensa","noneng"
"23","argentina_2018_NationalDefencePolicyDirective_noneng.pdf","argentina","2018","National Defence Policy Directive","noneng"
"24","argentina_2018_NationalDefensePolicy.pdf","argentina","2018","National Defense Policy","eng"
"25","argentina_2021_NationalDefencePolicy.pdf","argentina","2021","National Defence Policy","eng"
"26","argentina_2021_NationalDefencePolicyDirective_noneng.pdf","argentina","2021","National Defence Policy Directive","noneng"
"27","armenia_2007_MilitaryDoctrine.pdf","armenia","2007","Military Doctrine","eng"
"28","armenia_2007_NationalSecurityStrategy.pdf","armenia","2007","National Security Strategy","eng"
"29","armenia_2020_NationalSecurityStrategy.pdf","armenia","2020","National Security Strategy","eng"
"30","aruba_2008_NationalSecurityPlan.pdf","aruba","2008","National Security Plan","eng"
"31","australia_1976_DefenceWhitePaper.pdf","australia","1976","Defence White Paper","eng"
"32","australia_1987_DefenceWhitePaper.pdf","australia","1987","Defence White Paper","eng"
"33","australia_1994_DefenceWhitePaper.pdf","australia","1994","Defence White Paper","eng"
"34","australia_2000_Defence.pdf","australia","2000","Defence","eng"
"35","australia_2000_DefenceWhitePaper.pdf","australia","2000","Defence White Paper","eng"
"36","australia_2003_AustraliasNationalSecurityADefenceUpdate.pdf","australia","2003","Australias National Security A Defence Update","eng"
"37","australia_2005_AustraliasNationalSecurityADefenceUpdate.pdf","australia","2005","Australias National Security A Defence Update","eng"
"38","australia_2005_NationalSecurityAdefenseupdate.pdf","australia","2005","National Security Adefenseupdate","eng"
"39","australia_2009_DefenceCapabilityPlan.pdf","australia","2009","Defence Capability Plan","eng"
"40","australia_2009_DefenceWhitePaper.pdf","australia","2009","Defence White Paper","eng"
"41","australia_2010_CounterterrorismWhitePaper.pdf","australia","2010","Counterterrorism White Paper","eng"
"42","australia_2012_AustraliaInTheAsianCentury.pdf","australia","2012","Australia In The Asian Century","eng"
"43","australia_2013_DefenceWhitePaper.pdf","australia","2013","Defence White Paper","eng"
"44","australia_2013_NationalSecurityStrategy.pdf","australia","2013","National Security Strategy","eng"
"45","australia_2013_StrategyForAustraliasNationalSecurity.pdf","australia","2013","Strategy For Australias National Security","eng"
"46","australia_2016_CyberSecurityStrategy.pdf","australia","2016","Cyber Security Strategy","eng"
"47","australia_2016_DefenceEnvironmentalStrategy.pdf","australia","2016","Defence Environmental Strategy","eng"
"48","australia_2016_DefenceIndustryPolicyStatement.pdf","australia","2016","Defence Industry Policy Statement","eng"
"49","australia_2016_DefenceWhitePaper.pdf","australia","2016","Defence White Paper","eng"
"50","australia_2016_IntegratedInvestmentProgram.pdf","australia","2016","Integrated Investment Program","eng"
"51","australia_2017_DefenceCorporatePlan.pdf","australia","2017","Defence Corporate Plan","eng"
"52","australia_2017_DefenceFamilyAndDomesticViolenceStrategy.pdf","australia","2017","Defence Family And Domestic Violence Strategy","eng"
"53","australia_2017_ForeignPolicyWhitePaper.pdf","australia","2017","Foreign Policy White Paper","eng"
"54","australia_2019_DefenceCorporatePlan.pdf","australia","2019","Defence Corporate Plan","eng"
"55","australia_2020_CyberSecurityStrategy.pdf","australia","2020","Cyber Security Strategy","eng"
"56","australia_2020_DefenceCorporatePlan.pdf","australia","2020","Defence Corporate Plan","eng"
"57","australia_2020_DefenceStrategicUpdate.pdf","australia","2020","Defence Strategic Update","eng"
"58","australia_2020_ForceStructurePlan.pdf","australia","2020","Force Structure Plan","eng"
"59","australia_2021_DefenceCorporatePlan.pdf","australia","2021","Defence Corporate Plan","eng"
"60","australia_2021_DefenceDataStrategy.pdf","australia","2021","Defence Data Strategy","eng"
"61","australia_2021_DefenceTestAndEvaluationStrategy.pdf","australia","2021","Defence Test And Evaluation Strategy","eng"
"62","australia_2022_DefenceCorporatePlan.pdf","australia","2022","Defence Corporate Plan","eng"
"63","australia_2022_DefenceCyberSecurityStrategy.pdf","australia","2022","Defence Cyber Security Strategy","eng"
"64","australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.pdf","australia","2022","Defence Information And Communications Technology Strategy","eng"
"65","australia_2023_AustralianCybersecurityStrategy .pdf","australia","2023","Australian Cybersecurity Strategy","eng"
"66","australia_2023_DefenceCorporatePlan.pdf","australia","2023","Defence Corporate Plan","eng"
"67","australia_2023_NationalDefence-DefenceStrategicReview.pdf","australia","2023","National Defence- Defence Strategic Review","eng"
"68","australia_2024_NationalDefenceStrategy.pdf","australia","2024","National Defence Strategy","eng"
"69","austria_2001_SecurityAndDefenceDoctrine.pdf","austria","2001","Security And Defence Doctrine","eng"
"70","austria_2004_Weissbuch_noneng.pdf","austria","2004","Weissbuch","noneng"
"71","austria_2006_Weissbuch_noneng.pdf","austria","2006","Weissbuch","noneng"
"72","austria_2008_Weissbuch_noneng.pdf","austria","2008","Weissbuch","noneng"
"73","austria_2010_Weissbuch_noneng.pdf","austria","2010","Weissbuch","noneng"
"74","austria_2012_Weissbuch_noneng.pdf","austria","2012","Weissbuch","noneng"
"75","austria_2013_AustrianSecurityStrategy.pdf","austria","2013","Austrian Security Strategy","eng"
"76","austria_2013_SecurityStrategy.pdf","austria","2013","Security Strategy","eng"
"77","austria_2014_Defensepolicy_noneng.pdf","austria","2014","Defensepolicy","noneng"
"78","austria_2015_MilitaryStrategicConcept_noneng.pdf","austria","2015","Military Strategic Concept","noneng"
"79","austria_2017_MilitaryStrategicConcept.pdf","austria","2017","Military Strategic Concept","eng"
"80","azerbaijan_2007_NationalSecurityConcept.pdf","azerbaijan","2007","National Security Concept","eng"
"81","azerbaijan_2007_NationalSecurityConceptOfTheRepublicOfAzerbaijan.pdf","azerbaijan","2007","National Security Concept Of The Republic Of Azerbaijan","eng"
"82","belarus_2002_MilitaryDoctrine_noneng.pdf","belarus","2002","Military Doctrine","noneng"
"83","belarus_2002_MilitaryDoctrine.pdf","belarus","2002","Military Doctrine","eng"
"84","belarus_2016_MilitaryDoctrine_noneng.pdf","belarus","2016","Military Doctrine","noneng"
"85","belgium_2000_ModernizationPlan.pdf","belgium","2000","Modernization Plan","eng"
"86","belgium_2003_DefenseMasterPlan_noneng.pdf","belgium","2003","Defense Master Plan","noneng"
"87","belgium_2014_TheValueOfTheBelgianDefence.pdf","belgium","2014","The Value Of The Belgian Defence","eng"
"88","belgium_2016_TheStrategicVisionForDefence.pdf","belgium","2016","The Strategic Vision For Defence","eng"
"89","belgium_2019_CyberStrategyForDefence.pdf","belgium","2019","Cyber Strategy For Defence","eng"
"90","belgium_2019_SecurityEnvironmentReview.pdf","belgium","2019","Security Environment Review","eng"
"91","belgium_2019_SecurityReview.pdf","belgium","2019","Security Review","eng"
"92","belgium_2021_CybersecurityStrategy.pdf","belgium","2021","Cybersecurity Strategy","eng"
"93","belgium_2021_StrategicVisionForDefenceUpdate.pdf","belgium","2021","Strategic Vision For Defence Update","eng"
"94","belgium_2022_NationalSecurityStrategy_noneng.pdf","belgium","2022","National Security Strategy","noneng"
"95","belize_2009_TheNationalSecurityStrategy.pdf","belize","2009","The National Security Strategy","eng"
"96","belize_2019_SecurityDefenceStrategy.pdf","belize","2019","Security Defence Strategy","eng"
"97","bermuda_2014_NationalSecurityandDefenseReview.pdf","bermuda","2014","National Securityand Defense Review","eng"
"98","bolivia_2004_LibroBlancodeDefensa_noneng (Case Conflict 1).pdf","bolivia","2004","Libro Blancode Defensa","noneng (Case Conflict 1)"
"99","bolivia_2004_LibroBlancoDeDefensa_noneng.pdf","bolivia","2004","Libro Blanco De Defensa","noneng"
"100","bolivia_2010_DefenceSecurityDoctrine.pdf","bolivia","2010","Defence Security Doctrine","eng"
"101","bolivia_2016_StrategicPlan.pdf","bolivia","2016","Strategic Plan","eng"
"102","bolivia_2020_InstitutionalStrategicPlanoftheMinistryofDefense2016_noneng.pdf","bolivia","2020","Institutional Strategic Planofthe Ministryof Defense2016","noneng"
"103","bosnia_2005_DefenceWhitePaper.pdf","bosnia","2005","Defence White Paper","eng"
"104","bosnia_2006_DefensePolicy.pdf","bosnia","2006","Defense Policy","eng"
"105","bosnia_2006_SecurityPolicy.pdf","bosnia","2006","Security Policy","eng"
"106","bosnia_2009_andHerzegovinaDefensePlanningPolicy_noneng.pdf","bosnia","2009","and Herzegovina Defense Planning Policy","noneng"
"107","brazil_1996_NationalDefencePolicy.pdf","brazil","1996","National Defence Policy","eng"
"108","brazil_1998_NationalDefencePolicy.pdf","brazil","1998","National Defence Policy","eng"
"109","brazil_2005_NationalDefencePolicy.pdf","brazil","2005","National Defence Policy","eng"
"110","brazil_2008_NationalStrategyOfDefense.pdf","brazil","2008","National Strategy Of Defense","eng"
