chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) direktiva e mbrojtjes 2014 nr. _ _ _ _ _ _, date _ _ _ _ _ _ _ _ _ _ _ _ zoti shef i shtabit te pergjithshem i forcave te armatosura, komandante te forcave, komandante te njesive dhe reparteve te fa, drejtues civile dhe ushtarake te ministrise se mbrojtjes, mision",312,70,130,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
2,"##i i forcave te armatosura per ruajtjen e pavaresise, sovranitetit dhe teresise territoriale, mbeshtetjen e popullsise ne kohe paqeje, krize e lufte, si dhe dhenien e kontributit per paqen dhe sigurine ne rajon e me gjere mbetet nje mision i shenjte. ky mision do te vijoje te realizohet duke harmonizuar te gjitha planet dhe perpje",333,55,132,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
3,"##kjet me aleancen e nato - s dhe me institucionet e tjera te sigurise se shtetit. programi i ri i qeverise ne fushen e mbrojtjes, permban objektiva ambicioze te cilat kerkojne vijimin e reformave dhe transformimin e metejshem te forcave tona te armatosura, krijimin e kapaciteteve te nevojshme ushtarake per perballimin e sfidave te sigur",339,55,132,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
4,"##ise dhe mbrojtjes, si dhe vendosjen e tyre ne lartesine qe meritojne ne shoqerine shqiptare. ne qender te ketyre reformave do te jete lartesimi i figures dhe integritetit te ushtarakut, nepermjet zhvillimit te politikave te nevojshme ne fushen e personelit, legjislacionit, promovimit ne karriere, rritjen e transparences, llogarid",333,48,133,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
5,"##henies, si dhe eliminimin e korrupsionit ne forcat e armatosura. drejtime te tjera te rendesishme do te jene ristrukturimi i forcave te armatosura, zhvillimi i kapaciteteve operacionale dhe atyre mbeshtetese, persosjen e sistemit te arsimit dhe stervitjes, infrastruktures, modernizimit dhe rritjes se efektivitetit te diplomacise ushtarak",341,46,132,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
6,"##e. viti 2013 shenoi nje sere arritjesh ne drejtim te integrimit te plote te fa ne strukturat ushtarake te nato - s, pjesemarrjes ne operacionet e drejtuara nga nato dhe be, zgjerimit te games se trajnimit dhe stervitjes, si dhe demontimit te municioneve te teperta. me gjithe rezultatet e arritura, konstatoj mosrealizime te",326,53,132,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
7,"cilat lidhen me : hartimin e dokumenteve kryesore strategjike te sigurise dhe mbrojtjes ; zhvillimin e kapaciteteve te plota operacionale ; keqadministrim te burimeve te mbrojtjes, te cilat kane rezultuar ne nje situate te renduar financiare ; investime e mirembajtje te sistemeve dhe pajisjeve te mbrojtjes, si dhe problemati",326,49,130,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
8,"##ka ne procesin e vleresimit dhe promovimit ne karriere e grade te personelit ushtarak. ne vijim te arritjeve te 100 diteve te para te qeverisjes, ne funksion te realizimit te misionit kushtetues te fa, si dhe detyrimeve te vendit tone ndaj nato - s, ju praqes :",263,47,100,0,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
9,# # i. objektivat dhe prioritetet kryesore per vitin 2014. 1. zbatimi i rekomandimeve te dokumentit rishikimit strategjik te mbrojtjes. 2. planifikimi i detajuar per zhvillimin e objektivave te kapaciteteve. 3. kryerja e reformes ligjore dhe asaj strukturore. 4. lartesimi i figures dhe integritetit te ushtarakut,313,46,130,1,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
10,.,1,1,3,1,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
11,# # ii. drejtimet kryesore te punes per vitin 2014 : 1. perfundimi i dokumenteve strategjik ne fushen e sigurise dhe mbrojtjes. gjate vitit 2014 te kontribuohet dhe te punohet intensivisht per pergatitjen e dokumenteve te meposhtme : - * strategjise se sigurise kombetare ; * - * strategjise ushtarake ; * - *,309,54,130,2,albania_2014_DirektivaEmbrojtjes_noneng.md,2025-01-28 18:58:18
