chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"anexo i la directiva de politica de defensa nacional ( dpdn ) es el documento que establece los lineamientos centrales de la politica de defensa nacional de la republica argentina. estas definiciones determinan la vision y criterios que orientaran la organizacion, el funcionamiento, la planificacion, el desarrollo de capacidades operacionales, el empleo y la administracion de los recursos humanos y materiales, conforme las apreciac",435,64,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
2,"##iones estrategicas de los escenarios global y regional en materia de defensa y su impacto en la seguridad estrategica de la republica argentina. la formulacion de estos lineamientos exige el analisis de un conjunto de variables que trascienden el ambito especifico de la defensa nacional e involucran a otras dependencias del estado nacional : las relaciones exteriores ; la seguridad estrategica, la inteligencia, la economia,",429,65,132,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
3,"la investigacion y el desarrollo tecnologico, entre otras. si bien la atencion de estas problematicas excede las competencias del ministerio de defensa, deben ser adecuadamente evaluadas desde el punto de vista de la defensa nacional a fin de considerar su impacto en los intereses fundamentales de la republica argentina, a saber su soberania, su capacidad de autodeterminacion y su integridad territorial ; asi como tambien en relacion a sus",443,69,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
4,"recursos estrategicos que deben ser preservados para garantizar el desarrollo de la nacion, y la libertad de sus habitantes. el analisis de las tendencias estrategicas de los escenarios mundial y regional, como asi tambien la evaluacion del impacto de estas dinamicas en la if - 2018 - 36379017 - apn - seceyam # md - - - - - promocion de los intereses nacionales, constituyen las bases para la ident",400,70,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
5,"##ificacion de desafios, oportunidades, amenazas y riesgos a la defensa nacional y la determinacion de las necesidades de coordinacion entre los organismos del estado. estos escenarios configuran los desafios prioritarios que deberan ser atendidos por la republica argentina. las responsabilidades asignadas al ministerio de defensa ante cada uno de estos desafios variaran en funcion de la naturaleza de los problemas.",419,60,133,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
6,"mientras que en algunos escenarios el instrumento militar cumple un papel protagonico e indelegable, en otros cumple un rol de interaccion, coordinacion o apoyo a otros entes y / u organismos del estado. la determinacion de los ambitos de responsabilidad y / o sus funciones constituiran las bases para el diseno de las capacidades militares de la nacion en el corto, mediano y largo pl",386,65,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
7,"##azo. el poder ejecutivo nacional ha establecido como objetivos prioritarios para la gestion de gobierno la lucha contra el narcotrafico, la reduccion de la pobreza y la union de los argentinos. si bien estos objetivos estan bajo la responsabilidad principal de otros ministerios, en virtud de su naturaleza, la envergadura de los mismos exige la colaboracion de todas las areas del estado. el marco normativo vigent",417,66,132,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
8,"##e contempla entre las modalidades de empleo del instrumento militar una serie de responsabilidades, como parte del sistema de defensa nacional o en colaboracion con otras areas del estado, contribuyentes a dichos objetivos : operaciones en apoyo a la seguridad, de conformidad con la ley n° 24. 059 de seguridad interior, operaciones de apoyo a la comunidad y operaciones de apoyo a la politica exterior",405,65,132,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
9,"de la nacion. estas if - 2018 - 36379017 - apn - seceyam # md - - - - - funciones, que complementan la mision principal de las fuerzas armadas, constituyen una contribucion del instrumento militar a la concrecion de las mencionadas prioridades de gobierno. esta contribucion no implica desatender las responsabilidades propias del sistema de defensa nacional. si bien la republica argentina no percibe amenazas",410,66,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
10,"con relacion a sus paises vecinos, y esta plenamente comprometida con la promocion de los valores de la paz y la seguridad internacional, reconoce la incertidumbre del contexto global y la existencia de riesgos. la necesidad de resguardar la soberania e independencia de la republica argentina, la integridad territorial, la capacidad de autodeterminacion, la proteccion de la vida y la libertad de sus habitantes ante agresiones de",432,67,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
11,"origen externo constituyen una funcion permanente del sistema de defensa nacional. la presente directiva establece las acciones que debera desarrollar el sistema de defensa nacional para el cumplimiento de esta mision primaria, lo que contribuira a sostener las bases necesarias para la prosperidad, la seguridad estrategica y el desarrollo de la republica argentina. el instrumento militar de la nacion afronta limitaciones en materia",435,63,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
12,"de organizacion, despliegue, doctrina, equipamiento, alistamiento y adiestramiento que tornan necesario el impulso de una profunda politica de reconversion. este proceso debe promover el mejoramiento de las capacidades requeridas para la defensa nacional, conforme las previsiones estrategicas de corto, mediano y largo plazo. la presente directiva establece los criterios a partir de los cuales el ministerio de defens",419,58,130,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
13,##a elaborara los planes de modernizacion del instrumento militar. los if - 2018 - 36379017 - apn - seceyam # md - - - - - lineamientos presupuestarios conjuntamente con los planes aprobados permitiran sentar las bases para el diseno de un planeamiento de recursos de mediano y largo plazo. capitulo l. apreciacion del escenario global y regional diagnostico global el actual escenario internacional se caracteriza por una creciente com,436,70,132,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
14,"##plejidad e incertidumbre, producto de la coexistencia de multiples centros de poder y decision, asi como por la emergencia de nuevos actores que participan en la construccion del orden global. la preeminencia del poder militar de los estados unidos de america encuentra de manera creciente un contrapeso en el aumento de las capacidades militares de la republica popular china y la federacion de rusia, en especial por la manera en",433,70,132,0,argentina_2018_NationalDefencePolicy_noneng.md,2025-01-28 18:56:39
