chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) what are you looking f countries, economies and regions ( / geo / countries - economies - and - regions ) international relations ( / international - relations ) trade and investment ( / trade / trade - and - investment ) australia ' s development program ( / development / australias - developmentprogram ) people - to - people ( / people - to - people ) about australia ( / about - australia ) travel ( / travel )",510,114,129,0,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
2,# historical documents ( / / app - as. readspeaker. com / cgi - bin / rsent? customerid = 6248 & lang = en _ au ; & readclass = main - content ) listen home ( / ) > 52 report by the joint planning committee,206,47,59,1,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
3,# 52 report by the joint planning committee 1 / 8,49,11,13,2,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
4,"# 52 report by the joint planning committee 1 canberra, 28 september 1961 top secret — guard agendum no. 58 / 61. report no. 64 / 61. the strategic basis of australian defence policy",182,34,43,3,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
5,"# # matter referred as a prior step to consideration of the new three years ' defence programme commencing 1st july, 1962, the joint planning committee has prepared a new draft strategic basis of australian defence policy. the last strategic basis is dated january, 1959. 2",273,46,53,4,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
6,# # consideration 2. we have prepared the attached draft ' strategic basis of australian defence policy ' and a covering draft ' memorandum by the defence committee '. the joint intelligence committee was consulted during the preparation of the draft strategic basis. 3 [ matter omitted ] 2 / 8,294,51,56,5,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
7,# recommendation 4. it is recommended that the attached draft memorandum and draft strategic basis of australian defence policy be endorsed. joint planning committee | ( sgd. ) g. e. pettit | ( sgd. ) j. w. harrison | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,371,116,130,6,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
8,"| | joint secretary | ( sgd. ) r. j. robertson | | ( sgd. ) j. m. sutherland | ( sgd. ) c. t. hannah | | wing commander, joint secretary | ( sgd. ) t. f. b. macadie ( sgd. ) l. g. poyser | strategic basis of australian defence policy appreciation by the defence committee australia ' s area of strategic interest [ matter omitted ] the need for a nuclear capability 64. the acquisition of a tactical nuclear capability by australian forces would vastly increase our defensive and offensive strength and would also enhance the value of",534,101,130,6,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
9,"our contribution in operations under collective arrangements. moreover, in the future some weapons systems will be dependent on nuclear warheads for 4 / 8 6 : 08 am 52 by the | of and | availability of nuclear weapons would be of considerable importance to australia should a situation develop which posed a direct threat to australia, requiring defensive operations in the northern approaches. in the event that our allies were unable to come to our assistance in a global war, and australia were confronted by a hostile indonesia ( with or without a nuclear capacity ), our possession of a nuclear capability could be essential to national survival. | | - - - - - - - - -",673,120,130,6,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
10,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,6,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
11,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,6,australia_1962_StrategicBasisOfAustralianDefensePolicy.md,2025-01-28 18:57:04
