chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,* * & * *,9,5,7,0,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
2,"# # # # # # efending # # # # # australia : - defence white paper 1994 - - - - - * * defending * * * * australia * * defence white paper 1994 australian government publishing service canberra - - - - - preface this white paper, defending australia explains how the government will manage australia ' s defence into the next century. it is the most comprehensive review and restatement of the government ' s defence policy since the publication of _ the defence _ _ ofaustralia, 1987, which established a clear and rigorous analytical basis for defence _ © commonwealth of australia 1994 self - reliance. since then,",614,115,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
3,"strategic circumstances in our region and around the world have changed, and new trends have emerged which will transform australia ' s * * isbn 0 644 35364 9 * * strategic environment over coming years. military technology has developed, and * * this work is copyright. apart from any use as permitted under the * * * * _ copyright act _ * * the australian defence force has undergone major reforms and developed * * _ 1968, no part may be reproduced by any process without prior written permission _ * * substantial new capabilities. over the same period, australia ' s economic, * * from the australian government publishing service. requests and inquiries",659,116,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
4,"* * technological, and social development have changed the domestic context in which * * concerning reproduction rights should be directed to the manager, commonwealth * * we plan and develop our defence capabilities, and our international policies and * * information services, australian government publishing service, gpo box 84, * * * * canberra act 2601. * * outlook have evolved even further to give greater emphasis to the importance of engaging with our region. this white paper explains how the government ' s defence policy can and will respond to these changes. while the fundamental precepts of self - reliance remain valid, the approaches we take to developing and sustaining our defence",700,114,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
5,"capabilities and strategic relationships will need to continue to evolve. defending australia builds on important changes to our defence policies announced in a number of statements and reviews published over the last four years, including the 1990 _ report _ _ on the defence force and the community, the 1991 force structure review, the _ _ 1992 price report on defence policy and industry and the 1993 strategic review. _ from that foundation, it looks ahead fifteen years to describe the key international trends that will shape our strategic environment, and to explain how the different elements of our defence policy will develop to meet the challenges ahead. our strategic circumstances at present are not threatening, but they are",739,119,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
6,"likely to become more demanding over the next fifteen years. our defence capabilities will be developed so we can continue to be able to deter or defeat any credible armed attack, and our regional defence relationships and alliances will evolve to limit the possibility that armed attack on australia might even be contemplated. as australia ' s industrial and technological capabilities develop, and the demands on our defence capabilities increase, we will rely increasingly on our own national support base to underpin our defence. as our population and social structures change, the australian defence force will change the way we employ people to conform to new social, economic and military realities. this publication is set in lipt",739,117,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
7,times roman with lipt and 12pt avant garde headings. the cover is printed on 300gsm encore supergioss artboard and the text is printed on 1 oogsm impress matt art. - - - - - * * 1205e * * * * 14oe * * the decisions we make on these issues over the next few years will determine the ` 100 * e ` ` russia ` shape of australia ' s defence well into the next century because major defence capabilities and strategic relationships take decades to develop. that is why this white paper looks ahead fifteen years. it aims to explain to all australians how their defence is planned,573,111,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
8,"and managed, and how it will develop in the years ahead. it will also help to inform other countries, including our regional neighbours, about ` china ` the rationale of our defence posture, and so ensure there is no scope for misunderstanding. the publication of this white paper is thus itself a contribution ` aiwan ` to our future security. 2on, - / n ` ktmiana ` * * \ 20n * *. rejracapmllppnes mla ` ` ` am islands ` ` ` above all, this white paper reaffirms the government ' s commitment to ensuring ajam. : wesue",520,99,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
9,"##esc that in the decades ahead australia will continue to be secure from military threat. sprmandsatly. / - "" palau. feeat5d states. of ` gands ` itl a pacific ocean ` ` ` kfisati naim ` ` ` ` ' ` ls o [ ne. sia ] smonion isl ` ands ` 0 - llfistmas _ ajls ' ti - - -. d p auth r ' * * t. * * * *. tuvalu * * ` ` ` c = islands tokelau iaust ) vanuatu ` `",354,89,132,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
10,"` indian ` ocean ` ` western ` ` ` ` australia new twa ` ` ` robert ray canberra ` brisbane 4 ` ` ` ` norfolk island ` ` ` minister for defence november 1994 205s ` perth - ` ` sydney ' ` ` ^ / lord hum islam ` ` ( aust ) ` ` ` ` new zealam ^ 1 - ` ` ` southern ocean 40 ' s ` mamijare island. ` los kergian ` 21a, ` utand is - and * * 60s * * antarctica 100 ' e 140 ' e azimuthal equidistant projection only distances measured from darwin",439,107,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
11,are correct. 500 1000 1500 2000 2500 3000 3500 4000 nautical miles 1000 2000 3000 4000 5000 6000 7000 kilometres © royal australian survey corps 1994. - - - - - table 0f contents page reface 1co...................... v part i : the foundations of defence policy chapter one : defence and australia ' s security......................... 3 chapter two : australia ' s changing strategic outlook.........,401,65,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
12,.......... 7 the major powers........................................................... 7 economic growth and political change.................................. 9 new challenges to our defence policy........,208,18,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
13,............................ 10 chapter three : australia ' s defence policy............................... 13 capabilities for the defence of australia................................. 13 international defence interests................,236,21,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
14,............................ 16 managing defence policy.................................................. 17 part ii : capabilities for the defence of australia chapter four : planning australia ' s defence capabilities................ 21 planning the defence of australia.....,277,30,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
15,.................................... 21 strategic geography................................................ 21 levels of capability.....................................,168,8,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
16,............. 22 capabilities and threats...................................... 22 major conflict................................................. 23 short - warning conflict................,190,13,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
17,........................ 24 australia ' s defence posture................................................ 25 usinggeography..............................................,169,9,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
18,....... 26 using technology..................................................... 26 depth in defence.................................................... 28 australian defence force roles....,190,13,130,1,australia_1994_DefenceWhitePaper.md,2025-01-28 18:54:09
