chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # australia ’ s,19,6,8,0,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
2,# # # # # cyber security strategy,33,8,10,1,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
3,"# # # # # # enabling innovation, growth & prosperity - - - - - * * australia ’ s cyber security strategy * * © commonwealth of australia 2016 isbn 978 - 1 - 925238 - 61 - 7 australia ’ s cyber security strategy ( hardcopy ) isbn 978 - 1 - 925238 - 62 - 4 australia ’ s cyber security strategy ( pdf ) isbn 978 - 1 - 925238 - 60 - 0 australia ’ s cyber security strategy ( html ) * * copyright notice * * with the exception of the commonwealth coat of arms, this work is licensed under a creative commons attribution 4. 0 international",534,115,130,2,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
4,"licence ( cc by 4. 0 ) [ ( http : / / creativecommons. org / licenses / by / 4. 0 / deed. en ). ] ( http : / / creativecommons. org / licenses / by / 4. 0 / deed. en ) * * third party copyright * * wherever a third party holds copyright in this material, the copyright remains with that party. their permission may be required to use the material. please contact them directly. * * attribution * * this publication should be attributed as follows : commonwealth of australia, department of the prime minister and cabinet, australia ’ s cyber security",550,108,130,2,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
5,strategy * * use of the coat of arms * * the terms under which the coat of arms can be used are detailed on the following website : [ http : / / www. itsanhonour. gov. au / coat - arms /. ] ( http : / / www. itsanhonour. gov. au / coat - arms / ) * * other uses * * enquiries regarding this licence and any other use of this document are welcome at : [ the department of the prime minister and cabinet at www. pmc. gov. au ] ( http : / / www. pmc. gov. au ),457,105,130,2,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
6,- - - - -,9,5,7,2,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
7,# # # # table of contents,25,7,9,3,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
8,# # # # # # prime minister ’ s foreword 2 executive summary 4 australia ’ s cyber security strategy at a glance 10 the cyber landscape 13 a national cyber partnership 21 strong cyber defences 27 global responsibility and influence 39 growth and innovation 45 a cyber smart nation 51 action plan 57 - - - - -,307,60,62,4,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
9,"# # # # prime minister ’ s foreword if we are to fully realise the social, economic and strategic benefits of being online, we must ensure the administration of the internet continues to be governed by those who use it — not dominated by governments. equally, cyberspace cannot be allowed to become a lawless domain. both government and the private sector have vital roles to play. while governments can take the lead in facilitating innovation and providing security, businesses need to ensure their cyber security practices are robust and up to date. this cyber security strategy sets out my government ’ s philosophy and program for meeting the dual challenges of the digital age — advancing and",698,118,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
10,"protecting our interests online. the maintenance of our security online and the protection of freedom online are not only compatible but reinforce each other. a secure cyberspace provides trust and confidence for individuals, business and the public sector to share ideas, collaborate and innovate. the internet is transforming how we socialise and do business in ways its founders could not have imagined. it is changing how we are entertained and informed, affecting almost every aspect of our lives. the need for an open, free and secure internet goes far beyond economics. it is important for ensuring public and financial accountability and strengthening democratic institutions. it underpins freedom of expression and reinforces",734,111,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
11,"safe and vibrant communities. australia and australians are targets for malicious actors — including serious and organised criminal syndicates and foreign adversaries — who are all using cyberspace to further their aims and attack our interests. the scale and reach of malicious cyber activity affecting australian public and private sector organisations and individuals is unprecedented. the rate of compromise is increasing and the methods used by malicious actors are rapidly evolving. the australian government has a duty to protect our nation from cyber attack and to ensure that we can defend our interests in cyberspace. we must safeguard against criminality, espionage, sabotage and unfair competition online. australia and its allies will work together internationally",777,114,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
12,"to promote norms of behaviour that are consistent with a free, open and secure internet. these norms include that states should not knowingly conduct or support cyber - enabled intellectual property theft for commercial advantage. we need to do this while redoubling our efforts to counter - - - - - the spread of propaganda online which incites extremist and terrorist violence. as the snowden disclosures demonstrate, often the most damaging risk to government or business online security is not ‘ malware ’ but ‘ warmware ’ ; the ability of a trusted insider to cause massive disruption to a network or to use legitimate access to obtain classified material and then illegally",679,113,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
13,"disclose it. technical solutions are important but cultural change will be most effective in mitigating this form of cyber attack. as businesses and governments we must better educate and empower our employees to use sound practices online. this strategy seeks to promote an improved institutional cyber culture and raise awareness of cyber practice across government and business to enable all australians to be secure online. the strategy complements the key elements of my government ’ s economic plan — helping the transition to a new and more diverse economy which is fuelled by innovation, the opening of new markets and more investment in australian enterprise. the cyber security industry is in its relative infancy but undergoing rapid",744,117,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
14,"growth. australia is well placed to be a leader in cyber security. we can use technology as a means to manage the threats and risks that come with being online and interconnected — and to grow our true potential. with the innovation and science agenda and the defence industry plan, this strategy will help bring more australian technologies to market, prepare our children for the jobs of the future by boosting science, technology, engineering and mathematics ( stem ) participation and support and create innovative australian companies. most importantly, this strategy will play a key role in securing australia in the 21st century cyber security. the government will invest more than $ 230 million over four",712,116,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
15,"years to enhance australia ’ s cyber security capability and deliver new initiatives. this complements the significant investment in cyber security outlined in the 2016 defence white paper, boosting defence cyber capabilities by up to $ 400 million over the next decade. the government will show leadership locally, regionally and globally. i will designate a minister assisting the prime minister on cyber security and appoint a special adviser on cyber security in my department, the government ’ s lead on cyber security policy. the minister for foreign affairs will also appoint australia ’ s first cyber ambassador and the department of defence will continue to lead the co - location of the government ’ s operational cyber security",738,118,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
16,"capabilities in the australian cyber security centre. this new structure will ensure cyber security is given the attention it demands in an age where cyber opportunities and threats must be considered together and must be addressed proactively, not simply as a reaction to the inevitability of future cyber events. this strategy will develop partnerships between the australian public and private sectors, support home - grown cyber security capabilities and promote international cyber cooperation. we will change and adapt when needed to stay competitive and influential in the constantly changing technology landscape. i look forward to working with governments both at home and abroad, the private sector and the community to strengthen trust online and together better",773,116,130,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
17,realise australia ’ s digital potential. the hon malcolm turnbull mp prime minister 21 april 2016 - - - - -,107,21,24,5,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
18,# # # # executive summary,25,6,8,6,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
19,"# # # # # # strong cyber security is a fundamental element of our growth and prosperity in a global economy. it is also vital for our national security. it requires partnership involving governments, the private sector and the community. being connected is now essential, creating new opportunities for innovation and growth for all australians. to be competitive, businesses need to be online. but this also brings risks. australia is increasingly a target for cybercrime and espionage. all of us — governments, businesses and individuals — need to work together to build resilience to cyber security threats and to make the most of opportunities online. to grow, australia needs to",683,111,130,7,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
20,innovate and further diversify its economy — to access new markets and new forms of wealth creation. we must embrace disruptive technologies ; those that have the potential to fundamentally change traditional business models and the way people live and work. they will open up new possibilities for agile businesses in ways as yet unimagined. but the potential of digital technologies depends on the extent to which we can trust the internet and cyberspace. getting cyber security right will mean we capture more of the opportunities the connected world offers. it will also make australia a preferred place to do business. this in turn will boost our national prosperity. we can also expand,691,113,130,7,australia_2016_CyberSecurityStrategy.md,2025-01-28 18:53:58
