chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"- - - - - © commonwealth of australia 2016 isbn : 978 - 0 - 9941680 - 6 - 1 this work is copyright. apart from any use as permitted under the copyright act 1968 ( cwth ), no part may be reproduced by ith t i itt i i f th - - - - -",230,58,68,0,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
2,# # # # # # 2016 integrated investment program - - - - -,56,15,17,1,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
3,# table of contents - - - - -,29,9,11,2,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
4,# # 3,5,3,5,3,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
5,# # # contents overview................................................... 6 integrated investment program – structure and management........... 8 industry involvement........................................ 10 the future force and defence capability...,253,23,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
6,"...................... 11 decision - making superiority................................ 14 enabled, mobile and sustainable forces........................ 15 potent and agile offensive response.......................... 17 defence workforce...",242,21,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
7,...................................... 21 funding the integrated investment program....................... 22 balance of future investment : overview.......................... 24 decision - making superiority.......................,231,19,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
8,".......... 26 capability stream : intelligence, surveillance, reconnaissance, electronic warfare, space and cyber............................ 26 intelligence, surveillance, reconnaissance, electronic warfare, space and cyber workforce summary.......................... 29 intelligence, surveillance, and reconnaissance................... 31 electronic warfare....",363,32,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
9,..................................... 34 space................................................. 34 cyber......................................,142,5,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
10,"............ 35 enabled, mobile and sustainable forces...................... 38 capability stream : key enablers................................ 38 key enablers workforce summary............................. 41 infrastructure and defence estate........",252,23,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
11,"..................... 41 - - - - - # # 4 information and communications technology.................... 51 next generation technologies : potential threats and opportunities..... 57 defence posture – more active and internationally engaged......... 60 enabled, mobile and sustainable forces...................... 64 capability stream : air and sea lift.....",356,46,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
12,......................... 64 potent and agile offensive response......................... 76 capability stream : maritime and anti - submarine warfare............. 76 potent and agile offensive response......................... 92 capability stream : strike and air combat..........,282,31,130,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
13,............... 92 potent and agile offensive response........................ 104 capability stream : land combat and amphibious warfare........... 104 - - - - -,162,22,73,4,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
14,# # 5,5,3,5,5,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
15,# # # intentionally blank - - - - -,35,10,12,6,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
16,# overview - - - - -,20,7,9,7,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
17,# # 7,5,3,5,8,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
18,"# # ` overview ` 1 in developing the 2016 defence white paper, defence adopted an integrated approach to bring together for the first time the key elements of investment needed to deliver and sustain australia ’ s defence capabilities. the key elements include equipment, infrastructure, information and communications technology, science and technology, and workforce. establishing a ten - year integrated investment program will facilitate the whole - of - capability and whole - of - life approach to investment reflected in the implementation plan for the first principles review : creating one _ defence. it will also support strategy - led prioritisation of proposals and _ greater agility in investment decisions. 2 the integrated investment",748,116,130,9,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
19,"program was developed through a comprehensive force structure review that assessed australia ’ s defence capability needs to meet the challenges of the future operating environment into the 2030s. in designing the future force, the force structure review ensured alignment between defence strategy, capability, and resources. the result is an affordable and balanced plan for a highly capable, agile and potent australian defence force ( adf ) and defence capability more broadly, to meet our future requirements. 3 a key objective of the force structure review was to ensure that key enablers of capability such as wharves, airfields, training areas and bases, information and communications technology systems, and supporting science and",739,111,130,9,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
20,"technology were accorded appropriate priority in investment decisions. planned investment over the decade to fy 2025 – 26 recognises the essential contribution of enablers to the generation and sustainment of adf capability. 4 the integrated investment program will guide the implementation of the bulk of investment over the decade to fy 2025 – 26 to build the future force and defence capability goals of the defence white paper. the integrated investment program will be reviewed annually as part - - - - - overview # # 8 of the development of the budget ; the program will evolve in response to changes in australia ’ s strategic circumstances, including capability priorities, and developments in",701,114,130,9,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
21,technology.,11,1,4,9,australia_2016_IntegratedInvestmentProgram.md,2025-01-28 18:55:36
