chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# # defence # # # strategic update - - - - - - - - - - - - - - - © commonwealth of australia 2020 isbn : 978 - 1 - 925890 - 26 - 6 this work is copyright. apart from any use as permitted under the copyright act 1968 ( cwth ), no part may be reproduced by any process without prior written permission from the department of defence - - - - -",340,79,86,0,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
2,# # # # 1,9,5,7,1,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
3,# # # # ` table of contents foreword................................................... 3 executive summary........................................... 5 chapter one : australia ’ s changing strategic environment............,223,22,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
4,... 11 chapter two : defence policy.................................... 21 shape australia ’ s strategic environment......................... 25 deter actions against australia ’ s interests....................... 27 respond with credible military force..............,267,28,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
5,.............. 29 implications for force structure............................... 30 chapter three : capability...................................... 33 capability priorities................................,206,14,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
6,........ 34 information and cyber capabilities............................. 36 maritime capabilities....................................... 36 air capabilities.........................................,200,12,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
7,.. 38 space capabilities......................................... 38 land capabilities.......................................... 39 the defence enterprise.................................,187,11,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
8,.... 40 workforce.............................................. 41 information and communications technology..................... 41 estate and infrastructure................................... 42 chapter four : industry and innovation....,239,19,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
9,......................... 45 industry................................................ 45 australian industry capability................................ 46 sovereign industrial capability priorities............,209,12,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
10,............ 46 skilling................................................. 47 innovation.............................................. 47 chapter five : resourcing.........,171,10,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
11,"............................. 53 the government ’ s defence funding model....................... 53 how will defence funding be spent?........................... 54 alignment of strategy, capability and resources................... 55 chapter six : reform.",256,28,130,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
12,......................................... 59 - - - - - - - - - -,64,12,54,2,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
13,# # # # 3,9,5,7,3,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
14,"# # # # ` foreword the government ’ s firm commitment to the australian people remains that we will keep our nation safe and protect our way of life for future generations. it is clear, however, that australia ’ s strategic environment has deteriorated more rapidly than anticipated when we made this commitment in the 2016 defence _ white paper. this deterioration means that adjustments should be made by the _ government to our defence policy, capability and force structure. this 2020 defence strategic update sets out the challenges in australia ’ s strategic environment and their implications for defence planning. our region is in the midst of the most consequential strategic realignment since the second",713,117,130,4,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
15,"world war, and trends including military modernisation, technological disruption and the risk of state - on - state conflict are further complicating our nation ’ s strategic circumstances. the indo - pacific is at the centre of greater strategic competition, making the region more contested and apprehensive. these trends are continuing and will potentially sharpen as a result of the coronavirus ( covid - 19 ) pandemic. as a result of the decisions taken by the government in the 2016 defence _ white paper, substantial progress has been made in transforming the australian _ defence force into a more capable, agile and potent force. this has been",652,107,130,4,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
16,"underpinned by investment in australia ’ s military capabilities and industries, a focus on strengthened international engagement, particularly with the united states, japan, india, asean and other allies and partners in our region, and successful implementation of the 2015 first principles review by the department of defence. the government has directed defence to implement a new strategic policy framework that signals australia ’ s ability – and willingness – to project military power and deter actions against us. under this new framework, defence ’ s - - - - -",569,90,103,4,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
17,"# # # # 4 strategic objectives are to deploy military power to shape australia ’ s strategic environment, deter actions against our interests and, when required, respond with credible military force. these objectives require new military capabilities and demonstrated resolve. the government will invest approximately $ 270 billion over the coming decade in new and upgraded defence capabilities, including more potent and longer - range combat systems and more secure supply chains. the government will also continue deepening our alliance with the united states and strengthening our regional engagement across the indo - pacific, including through the pacific step - up, and increase the australian defence force ’ s ability to respond to natural disasters, including",770,117,130,5,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
18,within australia. as a nation – and as an important regional leader in the global community – australia is experiencing significant changes to our strategic environment. the _ 2020 defence strategic update ensures australia has the strategic defence _ policy to deal with these challenges. the hon scott morrison mp senator the hon linda reynolds csc prime minister minister for defence - - - - -,396,66,72,5,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
19,# # # # 5,9,5,7,6,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
20,"# # # # ` executive summary i australia is at the centre of a dynamic strategic environment. in response, australia ’ s defence policy must be agile and adaptive. in line with the government ’ s intent that defence strategy be subject to regular review, the department of defence commenced a strategic policy review in 2019 to re - assess the strategic underpinnings of the 2016 _ defence white paper. _ ii while the drivers shaping the development of australia ’ s future strategic environment identified in that white paper remain relevant, some have accelerated in ways that were not anticipated in 2016. iii military modernisation in the indo - pacific has accelerated faster than en",687,117,130,7,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
21,"##visaged. regional force modernisation has resulted in the development and deployment of new weapons that challenge australia ’ s military capability edge. expanding cyber capabilities – and the willingness of some countries and non - state actors to use them – are further complicating australia ’ s strategic environment. iv confidence in the rules - based global order is being undermined by disruptions from a widening range of sources. major power competition has intensified and the prospect of high - intensity conflict in the indo - pacific, while still unlikely, is less remote than in the past. v the conduct of ‘ grey - zone ’ activities has also expanded in the indo -",681,114,132,7,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
22,"pacific. these activities involve military and non - military forms of assertiveness and coercion aimed at achieving strategic goals without provoking conflict. in the indo - pacific, these activities have ranged from militarisation of the south china sea to active interference, disinformation campaigns and economic coercion. defence must be better prepared to respond to these activities, including by working more closely with other elements of australia ’ s national power. - - - - -",488,75,97,7,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
23,"# # # # 6 vi this security environment is markedly different from the relatively more benign one of even four years ago, with greater potential for military miscalculation. this could conceivably include state - on - state conflict that could engage the australian defence force ( adf ) where australia ’ s interests are threatened. accordingly, defence must be better prepared for the prospect of high - intensity conflict. vii although the long - term impacts of the coronavirus ( covid - 19 ) pandemic are not yet clear, it has altered the economic trajectory of the region and the world with implications for australia ’ s prosperity and security",650,111,130,8,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
24,". the trend towards a more competitive and contested region will not be fundamentally altered by the effects of the pandemic, but it is sharpening some aspects of strategic competition between the united states and china. some countries are using the situation to seek greater influence, while countries that were expected to become more prosperous and stable may experience economic hardship and instability. the pandemic has also highlighted the importance of secure supply chains for defence and defence industry, including sovereign industrial capability in some areas. viii this 2020 defence strategic update sets out the challenges in australia ’ s strategic environment and their implications for defence planning. it provides a new strategic policy framework to",769,116,130,8,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
25,"ensure australia is able – and is understood as willing – to deploy military power to shape our environment, deter actions against our interests and, when required, respond with military force. ix the government has decided that under this new framework, defence planning will focus on our immediate region : ranging from the north - eastern indian ocean, through maritime and mainland south east asia to papua new guinea and the south west pacific. this new framework will provide a tight focus for defence planning and alignment with broader initiatives such as the pacific step - up. - - - - -",596,102,112,8,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
26,"# # # # 7 x this will have implications for defence capability and force structure. it will mean adjustments to the plans set out in the 2016 defence white _ paper so that we are prepared for the challenges we are most likely _ to face. these adjustments focus on ensuring the adf can shape australia ’ s strategic environment, deliver credible deterrence and respond to challenges to our interests. more detail on the government ’ s capability plans is set out in the 2020 force structure plan. xi defence will continue to strengthen its engagement with australia ’ s international partners in support of shared regional security interests and will continue to deepen australia ’ s alliance with",696,120,130,9,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
27,"the united states. xii the government ’ s plans for defence capability are underpinned by its policies of developing a strong, sustainable and secure australian defence industry and supporting leading edge national innovation. the government is committed to maximising opportunities for australian industry, including in regional areas, in defence projects. xiii the government ’ s plans for future adf capability are also underpinned by its ongoing commitment to providing funding certainty for defence. this includes a commitment to a defence budget of $ 42. 2 billion in 2020 - 21 ( including the australian signals directorate ). the defence budget will grow over the next ten years to $ 73. 7 billion",705,112,130,9,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
28,"in 2029 - 30 with total funding over the decade of $ 575 billion. this total includes approximately $ 270 billion of investment in defence capability, compared with approximately $ 195 billion for the decade to 2025 - 26 when the _ 2016 defence white paper was released. _ xiv continuous transformational reform within defence is essential to implement the strategy set out in this document and to build defence ’ s capacity to respond to a more uncertain external environment. reform cannot be a one - off process – improvement is continual – and it must be purposeful. defence will continue to evolve and adapt to meet australia ’ s changing strategic environment and maintain alignment of",691,118,130,9,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
29,"strategy, capability and resources. - - - - -",45,9,13,9,australia_2020_DefenceStrategicUpdate.md,2025-01-28 18:54:14
