chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # force structure # # # plan - - - - - - - - - - - - - - -,60,23,25,0,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
2,"# # # # 2 © commonwealth of australia 2020 isbn : 978 - 0 - 9941680 - 6 - 1 this work is copyright. apart from any use as permitted under the copyright act 1968 ( cwth ), no part may be reproduced by any process - - - - -",221,52,60,1,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
3,# # # # 3,9,5,7,2,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
4,# # # # ` contents chapter one : 2020 force structure plan............................ 9 chapter two : a new way of managing capability and preparedness....... 17 chapter three : information and cyber domain....................... 27 joint cyber.................................,278,36,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
5,"............. 28 joint command, control, communications and computers ( c4 )........ 28 joint intelligence, surveillance and reconnaissance................. 29 joint electronic warfare..................................... 30 strategic intelligence and cyber........................",281,26,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
6,....... 30 enhanced cyber security defences............................. 30 chapter four : maritime domain................................. 35 maritime surface and above water combat....................... 35 undersea warfare..............,239,22,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
7,".......................... 37 maritime mine warfare, patrol and geospatial..................... 39 maritime combat support and amphibious....................... 41 maritime command and control, communications, computers, cyber, intelligence, surveillance, reconnaissance and electronic warfare ( c5isrew )...............",320,31,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
8,".. 42 chapter five : air domain...................................... 49 air combat.............................................. 50 air intelligence, surveillance, reconnaissance and electronic warfare.... 52 air mobility................",238,21,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
9,.............................. 54 combat air support........................................ 54 integrated air and missile defence............................. 55 maritime patrol and response..............,205,16,130,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
10,................. 56 - - - - -,30,7,25,3,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
11,# # # # 4 chapter six : space domain.................................... 61 space services........................................... 62 space control.................................,183,16,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
12,........... 62 chapter seven : land domain................................... 67 land combat vehicles...................................... 68 land combat support..............................,192,15,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
13,........ 69 land combat mobility...................................... 71 battlefield aviation........................................ 73 dismounted systems................................,188,11,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
14,"....... 74 special operations........................................ 74 land intelligence, surveillance, reconnaissance and electronic warfare..................................... 76 land command, control, communications and computers ( c4 )..................",260,22,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
15,..................... 76 chapter eight : defence enterprise programs........................ 81 geospatial information and intelligence......................... 81 guided weapons and explosive ordnance........................ 82 defence training and simulation........,268,24,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
16,....................... 83 recapitalisation of reserves................................. 83 defence business enterprise architecture and transformation........................................ 83 joint logistics...............,225,15,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
17,............................. 84 chapter nine : australia ’ s defence industry.......................... 89 maximising industry opportunities............................. 95 driving innovation...........................,219,17,130,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
18,.............. 96 defence ’ s current innovation system........................... 97 the future defence innovation system.......................... 98 - - - - -,161,20,88,4,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
19,# # # # 5 chapter ten : defence workforce................................ 103 people are key to defence capability.......................... 103 defence is transforming its workforce......................... 104 a skilled and professional workforce to meet changing requirements... 104 the australian defence force....,318,38,130,5,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
20,........................... 105 australian public service.................................. 106 enabling functions....................................... 107 delivering the future workforce................,205,13,130,5,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
21,............. 107 chapter 11 : defence information and communications technology....... 111 defence ict transformation................................. 111 chapter 12 : defence estate................................... 117 defence estate investments.................,266,24,130,5,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
22,............... 118 - - - - -,29,7,23,5,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
23,# # # # 6 - - - - -,19,10,12,6,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
24,# 1 - - - - - - - - - -,23,12,14,7,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
25,# # # # 9,9,5,7,8,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
26,"# # # # ` chapter one : 2020 force structure plan 1. 1 this 2020 force structure plan details the government ’ s intentions for new and adjusted australian defence force ( adf ) capability investments to implement the new strategic objectives in the 2020 defence strategic _ update. it links defence ’ s capability plans with defence ’ s reform program, _ the more together : defence science and technology strategy 2030 for innovation, and resourcing plans. this plan also builds on existing defence industry initiatives, such as the 2016 defence industry policy statement and the defence export strategy, to maximise australian industry involvement in defence projects. 1. 2 the 2020 defence",693,114,130,9,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
27,"strategic update sets out the government ’ s new strategic policy framework for defence, providing clearly identified geographic, operational, and capability priorities. it sets out three new government - directed strategic objectives for defence : to shape australia ’ s strategic environment ; deter actions against australia ’ s interests ; and respond with credible military force, when required. this framework is intended to provide a focus for planning, and alignment with broader government initiatives. 1. 3 to meet these goals the adf needs to adjust, adapt and respond on a continual basis. as a result of the major force structure changes initiated by government in the 2016 defence white paper, the adf is",718,114,130,9,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
28,"a more capable, agile and potent force. delivery of the majority of these plans will continue under the 2020 force structure plan. 1. 4 in line with the 2015 first principles review, defence undertakes regular reviews of its planning to ensure alignment of strategy, capability and resources in ways that are responsive to the evolving strategic environment. - - - - - - - - - -",378,67,77,9,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
29,"# # # # 11 1. 5 the 2020 force structure plan is the product of this regular review, which found that adjustments are now required to further improve the lethality of the adf, provide the government with more flexibility to deal with grey - zone challenges, adapt to accelerating technological advances, and increase defence ’ s ability to successfully project military power. this review has been informed by assessments from australia ’ s security agencies and partners, as well as clear guidance from government. experimentation and analysis, conducted in australia and overseas, tested both the current force and proposed new capabilities against a broad range of classified scenarios over a 20 year period and managing",723,116,130,10,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
30,"a number of concurrent tasks. the major decisions, key capability plans, and significant adjustments to the 2016 white paper plan informed by this work are outlined in the 2020 defence strategic update and this plan. 1. 6 the 2020 force structure plan also expands on the 2016 defence _ white paper investment to build a sovereign industrial base that is _ internationally competitive, innovative and high - tech to meet australia ’ s defence capability needs and national economic goals. this investment will deliver an adf better suited to meet australia ’ s most pressing defence challenges, to deny or defeat threats as they arise and provide significant opportunity for australian industry. it will ensure the adf",718,117,130,10,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
31,"is better supplied, more resilient and able to sustain a technology edge into a more challenging future. 1. 7 the range of capabilities that defence will maintain, develop, enhance and acquire under the 2020 force structure plan will provide the government with a flexible range of options to deliver the government ’ s objectives to shape australia ’ s strategic environment ; deter actions against australia ’ s interests ; and respond with credible military force. while all capabilities can contribute military effects relevant to the government ’ s objectives, examples of the force structure plan ’ s support for the government ’ s priorities include : - - - - -",668,112,123,10,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
32,"# # # # 12 - _ arafura and guardian class patrol vessels, a new pacific support _ vessel, an expanded replacement for the c - 130j fleet, and new amphibious vessels will support an enhanced defence posture and whole - of - government efforts to build australia ’ s partnerships and influence in the region, including the pacific step - up objectives. - _ attack class submarines, advanced long - range strike weapons, _ remotely piloted combat aircraft, sea - mining and offensive cyber capabilities able to hold adversary forces and infrastructure at risk further from australia. - increased weapons inventories, expanded domestic munitions capacity, additional fuel storage capacity and increased domestic",707,113,130,11,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
33,"industry participation will provide a more durable supply chain and strengthen sovereign industrial capabilities to enhance the adf ’ s self - reliance. - enhanced special forces capabilities, strengthened operational cyber, integrated intelligence surveillance and reconnaissance, and increased space tracking and sovereign satellite systems will better enable the adf to respond to grey - zone activities, including cyber and information operations. - expanded deployable health care and combat engineering capabilities, future multi - role sealift and replenishment vessels, and further mobilisation measures will enhance adf support to civil authorities in response to national crises and natural disasters, such as pandemics, bushfires or floods. 1",753,104,130,11,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
34,". 8 the government will also continue to invest in the highly skilled defence workforce, which will be critical to the successful delivery and operation of the capabilities set out in the 2020 force structure plan. - - - - -",224,41,45,11,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
35,"# # # # 13 1. 9 to deliver the 2020 force structure plan, the government intends to provide defence, including the australian signals directorate, with total funding over the decade to 2029 - 30 of $ 575 billion, including $ 270 billion in capability investment. 1. 10 to ensure defence remains responsive to the challenges of today and to those in the future, adjustments have been made to several investments planned in the 2016 defence white paper. these are necessary to deliver other priorities that will ensure the future adf can project military power to shape our environment, deter actions against our interests and, when required, respond with effective military force.",679,112,130,12,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
36,- - - - - - - - - -,19,10,12,12,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
37,# 2 - - - - -,13,7,9,13,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
38,# # # # # intentionally blank - - - - -,39,12,14,14,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
39,# # # # 17,10,5,7,15,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
40,"# # # # ` chapter two : a new way of managing capability and preparedness 2. 1 the 2016 defence white paper introduced a framework for defence capability based around streams and programs, to ensure a joint and integrated approach to capability, rather than a focus on individual projects. 2. 2 building upon the white paper intent to move toward improved joint and integrated program outcomes, the capability streams have been refined into five operational domains : information and cyber, maritime, air, space, and land, supported by the critical enabling capabilities of the defence enterprise. to effectively manage and deliver capability across each domain, they are broken into 35 future capability programs with",718,114,130,16,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
41,dedicated capability managers. this new architecture is detailed in diagram 1. - - - - -,88,16,20,16,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
42,# # # # 18,10,5,7,17,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
43,"# # # # # # diagram 1 – defence ’ s capability program architecture * * lan * * * * l * * * * defence enterprise * * * * geospatial information and intelligence * * * * guided weapons & explosive ordnance * * * * joint logistics * * * * training areas and simulation * * * * defence business enterprise architecture & transformation * * * * enterprise information & communications technology * * * * asymmetric & advanced warfighting * * * * estate & infrastructure * * * * innovation, science & technology * * * * ce * * * * s * * * * e * * * *",545,121,130,18,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
44,c * * ac - - - - -,18,9,11,18,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
45,"# # # # 19 2. 3 effective delivery of defence capabilities requires the holistic employment of a range of assets ( such as equipment ) and resources ( such as personnel ) to generate a greater impact than could otherwise be delivered by individual projects. defence will adjust and refine its investment across capability acquisition, sustainment and personnel costs to ensure a balanced capability outcome. modern warfare is a joint activity and requires the greatest possible degree of integration across all elements. 2. 4 viewing capability through this model is intended to ensure a more comprehensive approach to modernisation and force planning. this will be implemented through an improved capability development architecture that strengthens the",754,116,130,19,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
46,"roles, responsibilities and accountabilities of those tasked with delivering capabilities in each domain. it will focus on achieving the greatest possible warfighting effects with a clear framework for engaging with industry. 2. 5 the government is providing long - term funding certainty for defence so it can deliver the force structure plan set out in this document. to provide this certainty, the government is continuing its policy of providing a 10 - year funding model for defence, first articulated in the 2016 defence _ white paper. this will provide defence, including the australian signals _ directorate, with total funding of $ 575 billion to 2029 30. 2. 6 the total",679,110,130,19,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
47,"funding of $ 575 billion over the decade includes around $ 270 billion in capability investment, compared to $ 195 billion in capability investment for the decade to 2025 - 26 when the 2016 defence _ white paper was released. the defence budget has been decoupled from _ gdp forecasts to avoid the need for adjusting defence ’ s plans in response to future fluctuations in gdp. - - - - -",387,72,82,19,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
48,"# # # # 20 2. 7 while the investment profile outlined in the 2020 force structure plan focuses on the first ten years of investment, it also includes forecasts for the second decade for key capability investments. a simple breakdown of investment by domain for the next decade is outlined in chart 1.",300,54,61,20,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
49,# # # # # # chart 1 – proportional capability investment for the decade 2020 - 2030 * 2 % air domain other enterprise and enabler programs enterprise information communication technology enterprise infrastructure and estate information and cyber domain land domain maritime domain space domain - these percentages are rounded numbers and may not equate exactly to the domain capability investment figures. - - - - -,415,68,76,21,australia_2020_ForceStructurePlan.md,2025-01-28 18:55:36
