chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,* * national * * * * defence * * * * strategy * * * * 20 * * * * 24 * * - - - - - _ defence acknowledges the traditional custodians of country throughout australia. _ _ defence recognises their continuing connection to traditional lands and waters and _ _ would like to pay respect to their elders both past and present. _ _ defence would also like to pay respect to the aboriginal and torres strait islander _ _ people who have contributed to the defence of australia in times of peace and war. _ © commonwealth of australia 2024 isbn : 978 - 1 - 925890 - 86 - 0 (,565,118,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
2,"print ) isbn : 978 - 1 - 925890 - 87 - 7 ( online ) this work is copyright. apart from any use as permitted under the copyright act 1968 ( cwth ), no part may be reproduced by any process without prior written permission from the department of defence. images on pages 54 and 61 courtesy of asc pty ltd. - - - - - * * national defence * * * * strategy * * - - - - - - - - - - * * contents * * * * foreword.......................",428,96,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
3,............................................................................ 5 * * australia ’ s strategic environment............................................,162,9,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
4,...................................... 5 a new approach to australia ’ s defence......................................................................... 6 capability priorities.....,182,13,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
5,................................................................................................... 7 people...........................,135,3,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
6,................................................................................................ 7 partnerships..............................,141,3,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
7,..................................................................................... 8 budget.........................................,135,3,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
8,................................................................................... 8 the path forward.........................................,143,5,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
9,.................................................................. 9 * * chapter 1 : strategic environment......................................................,160,9,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
10,...... 11 * * strategic competition in the indo - pacific.................................................................... 12 us engagement in the indo - pacific....................................,200,19,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
11,......................................... 13 compounding security risks..................................................................................,153,5,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
12,...... 14 technological advancement and disruption............................................................... 15 * * chapter 2 : national defence..............................................,195,14,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
13,...................... 17 * * defence ’ s contribution to national defence............................................................... 19 * * chapter 3 : defence strategy.........................,198,19,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
14,........................................... 21 * * deter actions against australia ’ s interests................................................................... 23 shape australia ’ s strategic environment.,209,18,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
15,.................................................................... 23 respond with credible military force......................................................,162,7,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
16,.................... 24 the adf ’ s five tasks....................................................................................................,146,8,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
17,".. 25 - - - - - * * chapter 4 : defence force structure, posture and bases........................... 27 * * adf structure...........................................................................",197,23,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
18,.................................... 27 six capability effects........................................................................................,150,5,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
19,............. 28 adf basing requirements............................................................................................ 29 * * chapter 5 : people..........,168,12,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
20,.......................................................................... 33 * * recruitment and retention................................................,155,7,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
21,.......................................... 33 future workforce requirements..................................................................................,157,5,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
22,34 culture......................................................................................................................... 35 * * chapter 6,148,7,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
23,": capability investment priorities.............................................. 37 * * priorities for the integrated, focused force................................................................. 38 aukus",206,15,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
24,nuclear - powered submarine pathway............................................................ 42 guided weapons and explosive ordnance enterprise............................................... 43 * * chapter 7 : international partnerships.,241,20,130,0,australia_2024_NationalDefenceStrategy.md,2025-01-28 18:54:34
