chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"weißbuch 2004 analyse bilanz perspektiven bundesministerium fur landesverteidigung wien! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) impressum : 2 analyse bilanz perspektiven medieninhaber / herausgeber : bundesministerium fur landesverteidigung, 1090 wien redaktion / layout : kontrollsektion / abteil",351,63,130,0,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
2,"##ung berichte und weißbuch layout titelseite : gruppe kommunikation herstellung : bmlv / heeresdruckerei, 1030 wien, arsenal r 2004 wien, marz 2005",148,22,53,0,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
3,"# # inhaltsverzeichnis 1. vorwort des bundesministers fur landesverteidigung 5 2. praambel 7 9 9 9 9 11 13 21 21 21 21 29 3. lage, bedrohungen und risiken 3. 1. sicherheitspolitische lage 3. 1. 1 sicherheit und sicherheitspolitik 3. 1. 2 die sicherheitspolitische lage aus globaler sicht 3. 1. 3 die sicherheitspolitische lage europas 3",336,56,130,1,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
4,. 1. 4 hauptakteure aus osterreichscher sicht 3. 2. * * konfliktfelder und bedrohungen * * 3. 2. 1 geopolitische wende 3. 2. 2 sicherheitspolitische risiken 3. 2. 3 bedrohungsformen,181,30,77,1,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
5,"# # 4. das osterreichische bundesheer in der gesellschaft 4. 1. streitkrafte, gesellschaft und staat im demokratiepolitischen system 4. 1. 1 zweck der militarorganisation und positionierung der streitkrafte in der gesellschaft 4. 1. 2 streitkrafte in funktionaler transformation 4. 1. 3 streitkrafte in gesellschaftlicher transformation 4. 1. 4 legitimitat und akzeptanz 4. 1. 5 sicherheitsbegriff",397,55,130,2,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
6,4. 1. 6 soldatinnen im obh 29 29 30 31 31 31 33 35 35 35 36 37 37 47 50 51 51 52 5. 5. europaische sicherheitsstrategie ( ess ) 5. 5. 1 vergleich zwischen usa und eu 5. 6. * * militarpolitik und militarstrategie * * 5. 6. 1 militarpolitik 5. 6. 2 militarstrategie 5. 6. 3 rustungspolitik 5. 7 wehrsystem osterreichs 5.,318,65,130,2,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
7,7. 1 allgemeines 5. 7. 2 grundsatze des milizsystems 5. 7. 3 allgemeine wehrpflicht 5. 7. 4 wehrsysteme im internationalen vergleich 5. 7. 5 wehrpflicht oder freiwilligen ( berufs ) armee? 52 53 53 53 53 54 54 54 55 56 58 58,224,43,89,2,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
8,# # 6. rechtsgrundlagen 65 65 65 68 69 69 70 72 72,50,13,22,3,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
9,# # 7. das bundesheer 2004 77 77 77 77 85 85 91 96 99 99 101 131 150 179 192 223 7. 1. der weg zum bundesheer 2004 7. 1. 1 vorbemerkung 7. 1. 2 entwicklung des bundesheeres 7. 2. * * aufgaben des bundesheeres * * 7. 2. 1 nationale vorgaben 7. 2. 2 internationale vorgaben und kooperationen 7. 2. 3. soll - fahigkeiten des bundesheeres 2003 / 04 7.,347,72,130,4,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
10,3. * * die aktuelle situation des bundesheeres 2003 / 04 * * 7. 3. 1. uberblick 7. 3. 2. fuhrungssystem 7. 3. 3. struktur und organisation des bundesheeres 2003 / 04 7. 3. 4 personelle einsatzvorbereitung 7. 3. 5 materielle einsatzvorbereitung 7. 3. 6 leistungen des bundesheeres 2003 / 04 7. 3. 7 kapazitaten des bundesheeres 2003 / 04 6. 1. *,344,63,130,4,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
11,"* grundlegende nationale rechtsnormen * * 6. 1. 1 wehrsysteme und aufgaben 6. 1. 2 wehrgesetz 2001 ( wg 2001 ) 6. 1. 3 mitwirkung im rahmen der gasp 6. 1. 4 rechtsnormen fur internationale aufgaben 6. 1. 5 militarbefugnisgesetz, neutralitat oberbefehl 6. 2. * * internationale rechtsgrundlagen * * 6. 2. 1 vn, eu, nato / pfp, osze 6",332,60,130,4,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
12,. 2. 2 vertrage und abkommen im bereich host nation support ( hns ) 75,70,15,26,4,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
13,# # 5. osterreichische sicherheits - und verteidigungspolitik 5. 1. ziel und zweck osterreichischer sicherheitspolitik 5. 1. 1 zielsetzung und aufgaben der osterreichischen verteidigungspolitik 5. 1. 2 euro - strategische sicherheit 5. 2. * * der internationale rahmen der * * verteidigungspolitik 5. 2. 1 internationales zusammenwirken fur die europaische,356,50,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
14,sicherheit 5. 2. 2 cimic - die zivil - militarische zusammenarbeit 5. 3. osterreichische sicherheitsund verteidigungsdoktrin 5. 4. * * nationaler sicherheitsrat * * 5. 4. 1 aufgaben 5. 4. 2 zusammensetzung | | | 231 | | 247 247 | | - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,301,77,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
15,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
16,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - -,255,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
17,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
18,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
19,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
20,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - | | | | 231 232 | | 247 249 253 | |,265,128,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
21,| | | 10. anhang 10. 1 empfehlungen der bundesheerreform kommission 10. 1. 1 aufgaben des bundesheeres einschließlich verteidigungspolitik sowie bedrohungs - und risikoanalyse 10. 1. 2 streitkrafteentwicklung 10. 1. 3 bundesheer und gesellschaft 10. 1. 4 bundesheer und wirtschaft sowie cimic 10. 1. 5 alltag im bundesheer 10. 2 sicherheits,340,51,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
22,- und verteidigungsdoktrin 10. 3. europaische sicherheitsstrategie 10. 4. begriffsbestimmungen 10. 5. abkurzungen 10. 6. abbildungsverzeichnis 10. 7. tabellenverzeichnis | | | 8. | militarokonomie 8. 1 zusammenwirken bundesheer und wirtschaft 8. 1. 1 partnerschaft 8. 2 bundeshaushalt : kapitel 40 - militarische angelegenheiten 8. 3 investition,345,47,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
23,##en und betrieb 8. 3. 1 definition der begriffe 8. 3. 2 allgemeines 8. 3. 3 investition 8. 3. 4 betrieb 8. 4 umweltschutz und okologie 8. 4. 1 umweltpolitik 8. 4. 2 militarisches umweltmanagementsystem 8. 4. 3 abfallbewirtschaftung 8. 4. 4 organisation 8. 5 resumee | 232 234 234 235 235 236 237 237 | | 254 254 259 269 277 | | | | 237 237 237 237 | |,352,72,132,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
24,297 307 309 | | | | 239 239 239 241 243 243 243 | | | | 9. | perspektiven 9. 1 bundesheerreformkommission 2003 9. 1. 1 auftrag und zielsetzung 9. 1. 2 bundesheerreform obh 2010 9. 1. 3 ziel der reform 9. 1. 4 zweck der reform 9. 1. 5 struktur des mng obh 2010 9. 1. 6 entscheidung uber ergebnisse der konzeptphase | 244 | | |! [,328,71,130,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
25,3 _ image _ 0. png ] ( 3 _ image _ 0. png ),43,15,21,5,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
26,# # 1. vorwort des bundesministers fur! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ) landesverteidigung mit der herausgabe des ersten weißbuches beschreitet das bundesministerium fur landesverteidigung einen neuen weg in der sicherheitspolitischen kommunikation - auf nationaler und internationaler ebene. ausge,359,65,130,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
27,##hend von der analyse der sicherheitspolitischen lage werden die militarstrategische ausrichtung und die entwicklung des osterreichischen bundesheeres beschrieben sowie die perspektiven fur die nachsten jahre dargelegt. osterreich feiert in diesem jahr den funfzigsten jahrestag des beschlusses der aufstellung eines souveranen heeres nach erlangung des staatsvertrages im jahre 1955. durch den,395,50,133,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
28,"wegfall des ost - west - konfliktes sowie durch die erweiterung der eu und der nato haben sich die sicherheitspolitischen rahmenbedingungen fur osterreich grundlegend geandert. damit verbunden sind auch massive veranderungen der aufgaben von streitkraften. stand fruher die nationale verteidigung im vordergrund, so fuhrt heute das internationale krisenmanagement die prioritatenliste an. das osterreichische bun",412,54,130,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
29,"##desheer befindet sich demnach in einem transformationsprozess, der darauf ausgerichtet ist, jene fahigkeiten zu entwickeln, die zur bewaltigung der steigenden anforderungen an moderne streitkrafte des 21. jahrhunderts notwendig sind. das spektrum reicht von der teilnahme an militarischen krisenmanagement - aufgaben bis zu maßnahmen der internationalen konfliktverhutung und friedens",386,48,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
30,"##sicherung im rahmen der europaischen union, der vereinten nationen, der nato / pfp oder der organisation fur sicherheit und zusammenarbeit in europa. daruber hinaus ist die mitwirkung des osterreichischen bundesheeres im bereich der humanitaren hilfe und katastrophenhilfe sowie beim sicherheitspolizeilichen assistenzeinsatz an der schengen - außengrenze zu berucksichtigen. die sicherstellung der fahigkei",409,52,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
31,"##ten zum militarischen schutz der staatlichen souveranitat ist dabei die zentrale voraussetzung. die sicherheit osterreichs ist untrennbar mit der europaischen sicherheit verbunden. es ist daher notwendig, dass sich osterreich aktiv am weiteren auf - und ausbau der europaischen sicherheits - und verteidigungspolitik beteiligt. die mitgestaltung dieses politikbereiches liegt im eigen",386,50,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
32,"##en interesse - nur ein entsprechendes engagement im internationalen bereich der sicherheitspolitik bewirkt eine rolle des "" gestalters "" und verhindert ein passives abseitsstehen. die große inhaltliche bandbreite dieses weißbuches ergibt sich aus der tatsache, dass diese publikation drei wesentliche faktoren gleichermaßen berucksichtigt : analyse, bilanz und perspektiven. zuerst",383,49,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
33,"erfolgt eine umfangreiche analyse der internationalen sicherheitspolitischen lage, der neuen bedrohungen und risiken und der maßnahmen der internationalen staatengemeinschaft, die auch mitbestimmend fur den transformationsprozess im osterreichischen bundesheer sind und danach eine bilanz uber die erfullung der aufgaben des bundesheeres mit schwerpunkt der jahre 2003 und 2004. schließlich wird auch umfassend der",414,52,130,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
34,"transformationsprozess, beginnend mit den zielsetzungen der bundesheerreformkommission und deren empfehlungen fur die notwendigen reformschritte dargestellt. dieses weißbuch weist deutlich darauf hin, dass mit der bevorstehenden reform der entscheidende schritt zu einem militarischen instrument osterreichs gesetzt wird, das den zukunftigen aufgaben im rahmen einer europaischen sicherheits - und ve",400,48,130,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
35,"##rteidigungspolitik gerecht wird und sowohl die glaubwurdige fahigkeit zum schutz der osterreichischen bevolkerung besitzt als auch einen militarischen beitrag in die staatengemeinschaft einbringt, der dem stellenwert osterreichs entspricht. zur forderung der inneren und außeren akzeptanz soll ein ausgewogenes verhaltnis zwischen den geforderten fahig",354,43,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
36,"##keiten und den verfugbaren mitteln erzielt werden. dieses weißbuch richtet sich an die politische offentlichkeit und verantwortungstrager, um das verstandnis fur sicherheitspolitische notwendigkeiten zu verbessern. die soldatinnen und soldaten des osterreichischen bundesheeres konnen stolz sein auf ihre leistungen, die sie in ihrer heimat oder im internationalen rahmen erbringen. die verteidi",397,50,132,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
37,"##gungspolitik eines landes ist jedoch nur tragfahig, wenn sie von allen burgern als solche anerkannt wird.! [ 4 _ image _ 2. png ] ( 4 _ image _ 2. png )",154,32,62,6,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
38,"# # 2. praambel mit dem vorliegenden weißbuch 2004 wird durch das osterreichische bundesheer ( obh ) jener in der entschließung des nationalrates vom 12. dezember 2001 zur sicherheits - und verteidigungsdoktrin festgeschriebene auftrag, wonach alle zwei jahre unter bezugnahme auf die lage die aufgabenstellung, der zustand und die erfordernisse des osterreichischen bundeshee",376,53,130,7,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
39,"##res dargelegt werden sollen, erstmalig erfullt.",49,6,22,7,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
40,"# # der begriff weißbuch was ist ein weißbuch und wozu dient es? den unterschiedlichen definitionen fur ein weißbuch ist im wesentlichen gemeinsam, dass es sich um eine zusammenstellung von dokumenten, statistiken, berichten etc. zu einem bestimmten politikbereich handelt, die von einer staatlichen stelle erarbeitet wurde und der offentlichkeit vorgelegt wird. zum beispiel en",378,54,130,8,austria_2004_Weissbuch_noneng.md,2025-01-28 18:57:42
