chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 7. png ] ( 0 _ image _ 7. png )! [ 0 _ image _ 8. png ] ( 0 _ image _ 8. png ) законодательство беларус,260,83,130,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
2,##и и других стран ` ` ` главная законодательство рб кодексы беларуси законодательные и нормативные акты по дате принятия законодательные и нормативные акт,155,23,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
3,##ы принятые различными органами власти законодательные и нормативные акты по темам законодательные и нормативные акты по виду документы международное,150,19,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
4,право в беларуси законодательство ссср законы других стран кодексы законодательство рф право украины полезные ресурсы контакты новости саита поиск до,149,20,130,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
5,"##кумента ` ` ` наити документ законодательство россии кодексы, законы, указы ( избанное ), постановления, архив законодательство республики беларусь по дат",156,21,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
6,"##е принятия : 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 до 2000 года о защите прав потребителя зона - специальныи проект бюллетень "" предприниматель "" - о предпринимателях. новые докуме",214,37,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
7,"##нты! [ 0 _ image _ 4. png ] ( 0 _ image _ 4. png ) закон республики беларусь от 3 января 2002 г. №74 - з "" об! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 5. png ] ( 0 _ image _ 5. png )! [ 0 _ image _ 6. png ] ( 0 _ image _ 6. p",248,77,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
8,"##ng ) утверждении военнои доктрины республики беларусь "" текст документа по состоянию на 1 ноября 2007 года ( архив ) обновление < < назад | < < < навигатор закон ре",166,31,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
9,##спублики беларусь 3 января 2002 г. № 74 - з об утверждении военнои доктрины республики беларусь принят палатои представителеи 12 декабря 2001 года одобрен советом р,166,26,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
10,##еспублики 20 декабря 2001 года статья 1. утвердить военную доктрину республики беларусь. статья 2. признать утратившим силу постановление верховного совета ре,160,21,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
11,"##спублики беларусь от 16 декабря 1992 года "" о введении в деиствие военнои доктрины республики беларусь "" ( ведамасцi вярхоунага савета рэспублiкi беларусь, 1993 г",164,25,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
12,"., № 1, ст. 9 ). статья 3. настоящии закон вступает в силу со дня его официального опубликования. статья 4. совету министров республики беларусь в шестимесячны",159,26,130,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
13,##и срок : подготовить и внести в установленном порядке в палату представителеи национального собрания республики беларусь предложения по приведению законод,156,20,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
14,##ательных актов республики беларусь в соответствие с настоящим законом ; привести решения правительства республики беларусь в соответствие с настоящи,150,19,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
15,##м законом ; обеспечить пересмотр и отмену республиканскими органами государственного управления и другими органами исполнительнои власти их нормативн,151,18,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
16,"##ых актов, противоречащих настоящему закону ; принять другие необходимые меры, обеспечивающие реализацию настоящего закона. президент республики бе",148,17,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
17,##ларусь а. лукашенко утверждено закон республики беларусь 03. 01. 2002 № 74 - з военная доктрина республики беларусь военная доктрина республики беларусь ( далее - в,166,26,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
18,##оенная доктрина ) представляет собои совокупность официальных основополагающих взглядов и принципов обеспечения военнои безопасности государства посре,152,16,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
19,"##дством применения политических и военных мер. она конкретизирует основные направления военнои политики государства на современном этапе, а также опреде",153,19,132,0,belarus_2002_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
