chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) nationale le ministre plan directeur de la defense 03 decembre 2003,115,28,39,0,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
2,"# avant - propos. des forces armees belges plus petites, mais mieux equipees, plus flexibles, et plus rapidement projetables en moins de quinze ans, la situation geopolitique a connu deux bouleversements. la chute du mur de berlin le 9 novembre 1989 et les attentats terroristes perpetres le 11 septembre 2001 ont eu un gros impact sur l ' analyse de la problematique de la paix et de la securite, en belgique, au se",416,73,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
3,##in de l ' union europeenne et dans le cadre de l ' alliance nord - atlantique. l ' implosion du communisme marqua la fin de la periode d ' occupation militaire en europe. le nombre de conflits regionaux et locaux a augmente avec la fin de la guerre froide. la mondialisation du terrorisme a confere une nouvelle dimension au concept de securite. la revolution geopolitique observee ces quinze dernieres annees a entraine une revolution sur le plan geostrategique.,465,79,132,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
4,"le partenariat transatlantique demeure la priorite strategique pour la belgique et pour l ' union europeenne. mais l ' alliance atlantique s ' est adaptee au nouveau contexte international. dans le cadre du sommet de l ' otan organise a prague au mois de novembre 2002, l ' alliance s ' est engagee dans une nouvelle voie : celle d ' une alliance elargie, disposant de plus de capacites et presentant une capacite d ' engagement accrue y compris - et",450,81,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
5,"peut - etre meme surtout - en dehors du continent europeen et en partenariat avec les voisins de l ' otan. au sein de l ' union europeenne grandit l ' idee que l ' union doit elle aussi disposer d ' une politique de defense credible, en tant qu ' instrument d ' une politique etrangere coherente. l ' initiative de defense europeenne fut lancee lors du sommet de saint - malo et fut concretisee dans le cadre des conseils de",424,82,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
6,"cologne et de helsinki. au mois d ' avril de cette annee, la france, l ' allemagne, le luxembourg et la belgique ont lance une serie de propositions concretes visant a doter la defense europeenne d ' un contenu tangible. dans le cadre de la conference intergouvernementale actuellement en cours se degage progressivement un consensus pour integrer la defense europeenne dans le traite constitutionnel de l ' union europeenne et permettre de nouvelles formes de cooperation par le biais de la cooperation structure",513,83,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
7,"##e pour la defense. le developpement - conformement aux accords de cooperation conclus entre l ' union europeenne et l ' otan - d ' une capacite europeenne de planification strategique et operationnelle et de gestion d ' operations europeennes autonomes constitue un autre exemple. il s ' agit d ' un long processus qui alternera les hauts et les bas mais dont le resultat final est deja connu. en effet, l ' union europeenne ne deviendra un partena",450,79,132,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
8,"##ire credible sur la scene internationale que si elle dispose egalement d ' une capacite de defense propre qui s ' inscrit dans le cadre du partenariat strategique entre l ' union europeenne et l ' otan. la belgique est et demeure un partenaire loyal au sein de l ' alliance atlantique. a prague, notre pays a pris des engagements clairs en matiere de capacites et de projectabilite des forces armees. dans un meme temps, nous sommes les defenseurs permanents d ' une ve",471,84,133,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
9,"##ritable defense europeenne. en effet, le gouvernement belge est convaincu qu ' un instrument de defense europeen alliant puissance et efficacite est essentiel pour l ' avenir des relations transatlantiques et d ' une alliance atlantique renovee. le developpement de la defense europeenne fera apparaitre au sein de l ' otan un pilier europeen qui, a son tour, ouvre la perspective d ' une relation transatlantique veritablement equilibree, et ce pour",452,71,132,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
10,"la premiere fois depuis la fin de la seconde guerre mondiale. la complementarite et l ' equilibre sont les principes essentiels de cette evolution. des capacites de l ' otan doivent etre disponibles et doivent pouvoir etre engagees pour la defense europeenne et inversement. il appartient a present a la belgique de continuer a adapter ses propres forces armees a cette nouvelle donne. durant cette legislature, le gouvernement belge entend pre",444,71,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
11,"##ndre les mesures requises pour assurer la mise sur pied d ' une defense de plus petite taille, plus flexible, plus mobile, mieux equipee et pouvant etre engagee plus rapidement. en effet, l ' avenir de la defense belge se situe dans la participation a des operations de paix dans le cadre des nations unies, de l ' union europeenne et de l ' otan. cela necessite des adaptations prononcees au niveau de l ' organisation et du fonctionnement de de la",451,82,132,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
12,"defense. le "" plan directeur de la defense "" qui est presente se place dans le prolongement du plan adopte en mai 2000 et actualise en janvier 2003, dont il accentue et accelere la mise en oeuvre. il reprend les lignes de force de cette transformation en profondeur. une diminution progressive du nombre de militaires pour atteindre le chiffre de 35. 000 hommes, un plan d ' investissement coherent qui accorde la priorite aux modules de la composante "" terre "", une nouvelle",475,83,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
13,"approche de la formation dans la composante "" air "", l ' optimalisation des capacites de la composante "" marine "" et de la composante medicale. en matiere de capacite de transports ( transport strategique, transport heliporte, ravitaillement en vol … ), la belgique recherchera des synergies avec d ' autres pays, en premier lieu avec les pays - bas et le luxembourg. cette reforme de la defense doit permettre a notre pays de participer a la",442,77,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
14,"cooperation structuree en matiere de defense qui se dessine au sein de l ' union europeenne. avec les autres etats membres, notre pays entend aller plus loin dans le developpement des capacites qui doivent permettre a l ' union europeenne d ' executer elle - meme des operations de crise et de paix exigeantes. une nouvelle ligne budgetaire distincte sera inseree dans le budget de la defense pour le financement de la contribution belge au developpement des capacites militaires europeennes et",494,81,130,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
15,"de la participation a des operations europeennes. ce plan directeur doit permettre a la defense de soutenir la promotion de la paix, de la stabilite et de la justice en europe et au - dela. bruxelles, le 3 decembre 2003. andre flahaut guy verhofstadt ministre de la defense premier ministre",290,50,82,1,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
16,# plan directeur de la defense,30,6,9,2,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
17,"# # une transformation equilibree pour mieux se redeployer le nouveau contexte international, le recent conclave budgetaire et la declaration gouvernementale, qui prevoit d ' une part une reduction du personnel de la defense et qui definit d ' autre part un nouveau cadre budgetaire, ont une repercussion determinante sur toute l ' organisation de la defense. le plan directeur s ' inscrit dans le prolongement et la mise en œuvre du plan strategique 2000, son actualisation au debut 2003 et la pri",498,83,130,3,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
18,"##se en compte des elements nouveaux de la declaration gouvernementale. il comprend une serie de propositions et vise a rectifier les desequilibres qui pourraient apparaitre dans differents domaines et a maintenir la defense sur la bonne voie pour l ' avenir. le plan directeur a pour objectif de realiser les adaptations necessaires dans les limites du nouveau cadre budgetaire, en vue de disposer d ' une armee bien equipee, en mesure d ' engager de facon durable",465,77,132,3,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
19,ses capacites operationnelles sans risque pour la securite de ses propres troupes ou celles de ses allies. cette armee doit pouvoir utiliser ses moyens avec efficacite et efficience et accomplir les taches qui lui sont assignees sur la scene tant internationale que nationale. il s ' agit d ' un plan realiste qui prend en consideration les aspects de la politique europeenne de defense tout en respectant le lien transatlantique et accorde une pl,447,74,130,3,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
20,##eine et entiere attention a la politique de personnel.,56,9,18,3,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
21,# # le plus grand defi : le personnel le personnel est notre principale richesse mais represente aussi notre plus grand defi.,125,22,32,4,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
22,"# # etat des lieux il y a un peu moins de dix annees, l ' armee belge s ' est professionnalisee par la suspension de la conscription obligatoire. cette modification essentielle impliquait une remise en cause complete de l ' armee, tant quant a ses missions, ses moyens, ses structures, qu ' en ce qui concerne le statut de son personnel, etc. il reste encore certains vestiges de cette periode auxquels il est temps de mettre un terme :",436,80,130,5,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
23,"c ' est le cas de la loi sur le service militaire - qui n ' est que suspendue. c ' est aussi le cas du principe d ' etre militaire « pour la vie ». l ' armee, par sa specificite operationnelle, a besoin d ' un personnel majoritairement jeune. or, les statuts actuels pour les militaires de carriere visent a maintenir le personnel depuis son recrutement jusqu ' a sa pension. ce systeme mene necessairement a une structure des ages tubula",438,83,130,5,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
24,##ire alors qu ' il faudrait qu ' elle soit pyramidale avec une large base. l ' accord gouvernemental etablit que la defense doit ramener son effectif a 35. 000 militaires. une reduction du personnel par une limitation du recrutement ferait immanquablement passer la defense a une structure des ages en forme de pyramide inversee. reduire l ' arrivee de jeunes recrues implique automatiquement un vieillissement global du personnel et donc une perte d ' operationalite. de,472,77,133,5,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
25,"plus, le retour des forces belges en allemagne et la guerre froide ont provoque un desequilibre dans la repartition geographique du personnel vers l ' est de la belgique et ceci sans liens avec le potentiel reel de recrutement dans les differentes regions.",256,43,74,5,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
26,"# # la strategie choisie par le biais d ' un dialogue constructif avec les representants du personnel mais aussi directement avec le personnel ( par exemple par le biais d ' enquetes a l ' instar de ce qui fut fait pour le retour des fba ), la defense elaborera des solutions visant a faire correspondre le niveau qualitatif et quantitatif du personnel aux besoins operationnels. ces solutions prendront notamment la forme d ' un statut de carrier",447,79,130,6,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
27,"##e mixte qui permettra d ' offrir aux militaires plus ages soit de passer sous statut civil, soit de suivre des formations en vue d ' un outplacement dans le secteur prive. il s ' agira aussi d ' assouplir la politique du personnel dans le sens d ' un decloisonnement entre groupes d ' emplois, les couleurs d ' uniforme, etc, et ainsi obtenir une plus grande fluidite des mutations.",384,71,122,6,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
28,"# # les lignes de force pour l ' avenir vers un effectif de 35000 militaires afin d ' atteindre l ' objectif de 35000 militaires defini par l ' accord gouvernemental, il y a lieu d ' agir a la fois sur les recrutements mais surtout sur les possibilites de departs anticipes par le recours a des « pools de mobilite », a de l ' outplacement, … de plus, ces mesures seront realisees de telle maniere",397,78,130,7,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
29,"que les suppressions progressives de fonctions s ' effectueront prioritairement dans les taches administratives et d ' appui. la gestion de la defense, en tant que structure unique comprenant du personnel militaire mais aussi du personnel civil indispensable au bon fonctionnement de l ' entreprise, implique une approche globale de ce personnel. il ne s ' agit plus de fixer annuellement dans la loi de contingent le nombre de militaires admissibles sous les drapeaux, mais",474,75,130,7,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
30,"de definir l ' enveloppe du personnel, civil et militaire, qui ensemble travaillent a l ' execution des missions de la defense. cette diversite de personnel civil et militaire doit etre geree globalement afin que sa richesse produise des fruits pour tous et dans l ' interet de l ' entreprise. cela impliquera donc une revision de la loi - cadre actuelle. l ' evolution de l ' effectif se trouve en annexe.",406,73,119,7,belgium_2003_DefenseMasterPlan_noneng.md,2025-01-28 18:58:15
