chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# 2019 security environment review,34,5,7,0,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
2,# # # # # b l i d f - - - - - - - - - - deep trends 6 vulnerability at home 9 europe 16 neighbourhood 18 sub - saharan africa and southern asia 26 asia - pacific 28 the united states 30 cyber and space 31 complex security 35 notes & references 39 - - - - -,256,63,65,1,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
3,"# # # # # # "" the liberty of the individual is guaranteed. "" constitution of the kingdom of belgium, article 10.",112,23,28,2,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
4,"# # # # # # "" enjoyment of the rights and freedoms recognized for belgians must be provided without discrimination. "" constitution of the kingdom of belgium, article 10.",169,30,36,3,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
5,"# # # # # # "" everyone has the right to lead a life in keeping with human dignity. "" constitution of the kingdom of belgium, article 23. - - - - -",146,34,39,4,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
6,"# # # # # introduction in the midst of a secure and enlarging europe, our country has enjoyed several decades of security and prosperity. after the fall of the soviet union, no major adversaries were able to threaten our security. for many years, the number of armed conflicts, incidents of violence, and refugees decreased. over the last few years, however, as the charts on the following page show, there have once again been more wars, conflict casualties, and forcibly displaced people. despite economic uncertainty, world military spending and the arms trade remain at the highest levels since the end of the cold war and will continue to increase",652,109,130,5,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
7,". the central question of this security environment review is whether we should indeed expect this long peace, this strategic pause, to be drawing to an end, and what the consequences could be for our society. to make a proper assessment of what challenges us, we must first determine what we seek to secure. in the end, this can only be our way of life, characterized by some of the core values in our constitution : life, liberty, democracy, prosperity, equality, and human dignity. many of these values are taken for granted, but they are increasingly contested inside and around our country. to uphold those values, our way of life,",636,110,130,5,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
8,"the armed forces play a critical role in guaranteeing the security of our citizens, upholding our country ' s freedom of action, securing vital infrastructure, and preserving strength vis - a - vis actors that challenge our key values and core political, economic and security interests. this is the starting point and this is what we have to keep in mind whenever we take stock of our position in the world : how are we able to secure these core values and what is threatening them? this report reconstructs some important deep trends, takes stock of key security issues in different regions, but also evaluates to what extent we, our country and its",651,113,130,5,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
9,"partners, have also used the strategic pause to make our position more resilient. it looks behind and forward ; inside - out and outside - in. this security environment review, the first of its kind, has been prepared by the belgian armed forces, benefited from the input of its different services and discussed with various external experts. it is meant to inform society, our sole stakeholder, to raise awareness of the international context and impact on our country. it is also expected to serve political decision - makers, to provide them with insights for making strategy and for discussions about the many decisions that will shape the future of our society. _ figure",675,113,130,5,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
10,. building blocks of power. _ - - - - - - - - - -,49,16,19,5,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
11,"# # # # # deep trends the restlessness of today ' s world is mainly caused by six deep evolutions : a profound shift in the balance of power, the explosion of data, efficiency gains in the economy, environmental distress, political fragmentation, and increasing lethality. * * trend 1 : power shift. it is undeniable that, over recent decades, power has shifted away from the euro - * * atlantic world. our share of the global economy has decreased and that has led to a relative loss of political and military influence, of which the consequences are only starting to become clear. this power shift is not merely relative.",623,110,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
12,"many citizens in europe and the united states have been confronted with economic stagnation. the ending of the golden age of rapid growth of economic confidence, roughly between the mid - nineties and the most recent financial crisis, combined with the rise of new political, economic and ideological challengers renders more and more citizens uncertain – and sometimes angry. the european union, the western world, and their values, are on the defensive. * * trend 2 : data explosion : sustained scientific progress in digital storage and energy devices, combined * * with growing investment, competition, and the development of large production facilities, is causing data technology to continue to",700,110,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
13,"become cheaper, smaller, and faster. exponential has become the new incremental. this paves the way for more productivity gains through automation and because data networks can create markets of unprecedented scale. the difference between human and artificial will continue to fade, as wireless devices bring more data processing power to individuals, blend with the human body through exoskeletons and various sensors permanently track our emotions and behaviour. key and disrupting innovation in connecting external data to bio - neural networks can bring the image of augmented humans or cyborgs closer to reality. the control of both the devices and the data will shape the distribution of power the same",708,109,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
14,"way as previous industrial revolutions did in the past. * * trend 3 : more economic stress : what exacerbates uncertainty is the fact that societies struggle to handle * * new efficiency gains from automation and digitization. whereas productivity gains should be a good thing, they also lead to greater difficulties in distributing wealth fairly. they do not always lead to gains in wellbeing and happiness. this in turn aggravates the feeling of economic injustice and has led to increased support for protectionism in several western countries. but it also leads to problems in countries where a growing population also increases the search for jobs. so, despite technological gains",685,110,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
15,", economic confidence does not always grow. the larger that gap between technological progress and social confidence becomes, the greater the risk of social instability, protectionist policies, and a retreat for globalization. - - - - - * * trend 4 : more environmental stress : we also observe a gap between environmental challenges and the * * degree to which new technologies are used to combat them. as a result of poverty and bad governance, science and technology are often only applied slowly, to promote sustainable farming, for example, or to mitigate climate change and alleviate water scarcity. with world population set to rise from 7. 6 billion in 2019 to 8",670,113,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
16,". 6 billion by 2030, this will cause enormous challenges. by 2030, europe, with an ageing population below 500 million inhabitants, will sit amidst two vast landmasses. over 4. 7 billion people will live elsewhere in eurasia and 1. 7 billion people on the african continent, many of them in precarious environmental circumstances. [ 1 ] this will undermine the stability of states, incite more competition for natural resources, inside and between states, and enlarge intra - and trans - regional migration. * * trend 5 : political fragmentation : while there exists a need for international cooperation on the * * numerous",623,103,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
17,"economic, environmental, and security issues, synergy is thwarted by political fragmentation. there is political fragmentation inside and between countries. internally, state structures are challenged, mostly through polarized voting by their own citizens, who have lost confidence. the result is often an awkward mixture of political fragmentation and nationalism, of actors seeking to weaken the state and state elites seeking to preserve it. it also thwarts cooperation across borders. multilateralism, one of the pillars of belgian foreign policy, is on the retreat. global organizations are not being strengthened and often replaced by regional, plurilateral or bilateral initiatives. [ 2 ] international regulations and law",729,103,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
18,"are defied. * * trend 6 : growing lethality : making that context more complicated is the growing lethality of weapons. * * the latest russian intercontinental ballistic missile, for example, is able to carry a charge of more than 40 megatons, or 2, 000 times the bomb dropped on hiroshima. new conventional explosives can be much more powerful than traditional explosive materials ; projectiles pierce the toughest armour. combined with cheap delivery vehicles, this evolution compels our armed forces to adjust. moreover, the erosion of cold war arms limitation agreements, the vague doctrines of some nuclear powers, new kinds of missiles, and the growing",658,105,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
19,"importance of cyber and space mean that the line between strategic deterrence, premised on the capability of mass destruction, and other forms of warfare continue to blur. these deep trends will not disappear. we expect them to have a far - reaching and lasting impact on our security. equally, these trends will defy international partnerships and organizations, however much we as a small country have come to depend on them. this requires our country to maintain and enhance the capacity to reflect carefully upon the evolving security environment, to assess existing threats, and to anticipate new ones. but it also demands introspection, systematic monitoring and reporting on our country",693,109,130,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
20,"’ s position, including its vulnerability and strength. preserving security starts with awareness of your own strengths and weaknesses. - - - - -",145,24,29,6,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
21,"# # # # # vulnerability at home belgium is a small yet rich country in the geographic heart of western europe. it has the thirteenth largest population and the eleventh largest economy in europe. it is one of the best countries to live in. the quality of life and wellbeing, as perceived by its citizens, is good. it is above the european average, yet still significantly below other countries of comparable size in north - western europe, such as the netherlands and denmark. [ 3 ] as regards important building blocks of national power, such as social cohesion, quality of governance, economic strength, and external resilience, belgium performs",647,109,130,7,belgium_2019_SecurityReview.md,2025-01-28 18:54:27
