chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# recommendations - - - - -,27,7,9,0,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
2,# # # table of contents,23,6,8,1,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
3,# # # # # foreword 1 executive summary 2 1. why update the vision 2030 of the belgian armed forces? 3 2. vital and strategic interests 4 3. missions 6 4. capability mix 9 5. personnel 14 6. budgetary capacity 16 7. defence - research & development - industry strategy 18 conclusion 20 - - - - -,294,59,71,2,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
4,"# # # foreword in december 2020, the belgian defence minister ludivine dedonder mandated colonel eric kalajzic ( rhid ) and tanguy struye de swielande ( uclouvain ) to formulate recommendations with the aim of updating the 2016 strategic vision. they selected ten academics, respecting linguistic, gender and academic balance : sven biscop ( ugent & egmont institute ) david criekemans ( uantwerpen & ku leuven ) cind du bois ( kms ) joseph henrotin ( capri & isc ) jonathan holslag ( vub )",490,85,130,3,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
5,"alexander mattelaer ( vub & egmont institute ) delphine resteigne ( erm & umons ) dorothee vandamme ( umons & uclouvain ) nina wilen ( egmont institute & lund university ) caroline zickgraf ( uliege ) also in attendance at the meetings were a member of the cabinet, one member of the defence staff and two interns. the group acted as an independent expert group and met in person on nine occasions between february and may at the royal military academy and virtually. prior to every session, those who wished to do so submitted a contribution in",545,97,130,3,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
6,"writing to the coordinators to structure the discussion of the session of the day. the coordinators also organised 10 online sessions with several experts on the following themes : strategic visions of neighbourhood countries, hybrid and information warfare, military medical support, ai & quantum computing, cybersecurity, terrorism in belgium, special operations, intelligence, nuclear deterrence ( future of treaties & evolution ) and dirty weapons, the nato development planning process and eu planning defence capability and innovation and research led by rhid. the following document is a synthesis of all the discussions, written contributions and exchanges of the last few months. the members of the committee, while not",728,107,130,3,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
7,"necessarily supporting each individual statement, all subscribe to the general thrust of this report. - - - - -",111,19,24,3,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
8,"# # # executive summary the evolving security environment will demand more involvement and commitment from belgian defence, for which it is not yet sufficiently prepared. there is a need to develop a more proactive and anticipatory strategic culture as a result of increasing uncertainties and geopolitical changes. belgian defence needs to be able to fulfil its five missions - national readiness and resilience, collective defence, projecting forces abroad contributing to collective security, defence diplomacy and aid to belgian society – which are interconnected with belgium ’ s vital and strategic interests. belgium cannot further reduce its range of capabilities. belgian defence needs to be able to play",713,108,130,4,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
9,"its role in all domains – land, air, sea, space, cyber and information. despite major acquisitions during the preceding legislature, there are still shortfalls in our capabilities. furthermore, capabilities need to be rebalanced between collective security and collective territorial defence. to meet the requirements for missions and capabilities, there is an urgent need of recapitalisation in personnel. the decrease in personnel needs to be reversed and shifted towards increasing recruitment and profile diversity. the current government will increase the defence expenditure to 1. 24 % of pre - covid - 19 gdp and future governments should align with the average of nato non - nuclear european members,",708,107,130,4,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
10,"an average that has already surpassed 1. 7 %. there is a need to strike the right balance between missions, capacities, personnel and budget. a vibrant security and defence industry will enable belgium to participate in multilateral research projects and capability initiatives that further the needs of defence belgium has to demonstrate to its partners that it will take its share of the burden and accept collective risks. belgium acting as a free - rider would not be acceptable to its nato and eu partners and allies. - - - - -",532,92,102,4,belgium_2021_StrategicVisionForDefenceUpdate.md,2025-01-28 18:55:22
