chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - -,19,10,12,0,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
2,# # table of contents,21,5,7,1,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
3,# # # # # # 1 mandate 3 acknowledgement 4 executive summary chapter one 5 the strategic environment chapter two 7 national security and defence : vision and values 8 national security and defence strategy pillars 9 core national values chapter three 12 national security and defence strategy 12 core concepts and required capabilities 13 1 maintain the sovereignty and territorial integrity of belize 15 2 reduce local and transnational crime 18 3 provide the necessary environment for a prosperous and stable belize. chapter four 23 monitoring and evaluation 23 periodic strategy reviews 24 the national security and defence strategy : lead agency responsibility 28 glossary 29 reference - - - - -,698,114,120,2,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
4,# # mandate,11,3,5,3,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
5,"# # # # # # the global security environment is faced with a complex set of threats that, to a large extent, is common to both the central american and caribbean regions. by extension, belize is faced with similar threats to our national security emanating from local and foreign actors. the most troubling are threats to our sovereignty and territorial integrity, our prosperity, and law and order. over the past year the nation and, indeed the world, bore witness to the republic of guatemala ’ s claim that it possesses sovereignty to parts of our territory. this is despite the demarcation executed by the british and guatemalan boundary commissioner",653,110,130,4,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
6,in the 1859 treaty which clearly shows what comprise the 8867sq miles of belizean territory – a demarcation that has since been observed and accepted in published maps and state practice. the government of belize is particularly concerned about the activities of the guatemalan authorities along the sarstoon river in southern belize. the government of belize has been calling for the republic of guatemala and the organization of american states ( oas ) to join the effort to develop confidence building measures for the sarstoon river. guatemala has resisted this but belize will continue to insist since such an agreement is absolutely necessary for citizens from both sides to co - exist,691,112,130,4,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
7,"in a fashion of good neighborliness pending a final resolution of guatemala ’ s claim to belize. the government of belize must also continue to provide the enabling environment for a prosperous and stable belize. one such way is to strengthen governance structures and develop a strong market - based economy that will provide for a better standard of living for belizeans. we are very mindful of the fact that for this to happen we must protect our natural resources. while our green forested areas are protected under law for their ecological diversity of rich flora and fauna that provides a multiplicity of vital benefits for belizeans and guatemalans alike, the border area referred to as the",697,117,130,4,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
8,"adjacency zone has become increasingly dangerous with the illegal harvesting of our natural resources and the increase of armed civilians engaged in transnational criminal activities with no respect for law enforcement authorities. law and order continues to be a subject of concern for belize. it is expected that arising out of this strategy will be action points to better incorporate technology, forensics and a strengthened justice system into the efforts to improve law and order. there will have to be an integrated approach to provide the capacities necessary to address the wide range of challenges facing our small nation. 1 - - - - -",644,105,117,4,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
9,"# # # # # # prioritization and making strategic choices will be necessary to work within the economic framework of the budgetary space to maximize the benefits of all interventions. it is our sincere hope that the national security and defence strategy ( nsds ) will serve to provide guidance to the whole of society as we combine our collective effort to ensure belize ’ s security. it was pleasing to note the wide range of consultations that was conducted and that influenced the contents of this strategy. we must now ensure that stakeholders are kept abreast of the implementation of this strategy. in this regard, cabinet ministers, government ministries, departments, and",678,113,130,5,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
10,"statutory bodies are expected to critically examine this document and take necessary actions, where practical, for its implementation. on behalf of the government and people of belize, i take this opportunity to thank all of you who participated in the process of developing this nsds. your efforts have resulted in a document which provides a clear vision for the improved security of belize. rt. hon. dean o barrow prime minister of belize 2 - - - - -",453,78,89,5,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
11,# # acknowledgement,19,3,6,6,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
12,"# # # # # # the compilation of the national security and defence strategy 2018 - 2021 was done through the dedicated efforts of the technical committee. the coordinator of the technical committee, ms. rhea rogers, liaised with consultants from the beechwood international ( united kingdom high commission ), and the william j. perry center of the national defence university ( united states embassy ). the committee members included : • ms. rhea rogers, ministry of defence ( coordinator ) • mr. andrew smith, national security council secretariat • rear admiral john borland, belize coast guard • lt. col. lawrence lorenzo, belize defence force • mr. orson el",660,109,130,7,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
13,"##rington, ministry of defence • mrs. nicole haylock - rodriquez, national security council secretariat • assistant commissioner of police noel leal, belize police department • mr. kevin bautista, controller of prison • ms. kimiko ferguson, national forensic science service 3 - - - - -",286,45,64,7,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
14,# # executive summary,21,4,6,8,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
15,"# # # # # # our national vision is for a belize “ of peace and tranquility, where citizens live in harmony with the natural environment and enjoy a high quality of life. belizeans are an energetic, resourceful and independent people looking after their own development in a sustainable way ”. this vision requires a broader understanding of national security to include the defence of our territorial integrity, fighting criminality locally and transnationally, and providing a stable and enabling environment for the prosperity of belize. the comprehensive approach adopted within reflects the interconnected nature of the goals which must be pursued in synergy to create optimal results for national security and",714,112,130,9,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
16,"defence. the national security and defence strategy ( nsds ) 2018 - 2021 aims to rise to the challenge of guiding overall national security and defence for the period. it builds on previous documents including horizon 2030 : national development framework for belize 2010 - 2030, the growth and sustainable development strategy for belize 2016 - 2019, and the national security strategy of belize 2009. at the core are the national security and defence pillars that originated with the chief executive officers caucus, these are : 1. maintain the sovereignty and territorial integrity of belize ; 2. reduce local and transnational crime ; and, 3. provide the necessary environment for a prosperous and stable",708,114,130,9,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
17,"belize. these contribute to the achievement of belize ’ s national vision. these pillars must be pursued in synergy to increase our security and safeguard our prosperity. the strategic concepts and objectives described within aim to contribute to the achievement of the national vision of belize. as such, the strategy is a “ living document ” and will be updated as necessary. 4 - - - - -",389,68,77,9,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
18,# # chapter one,15,4,6,10,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
19,# # # # the strategic environment,33,7,9,11,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
20,"# # # # # # belize is a nation that shares location and identity with both the caribbean and central america. it is critical for us to have a clear sense of who we are and where we want to go. we aim to develop a realistic sense of the challenges before us and a clear perception of the conduits that we must navigate. this is vital for the advancement of belize ’ s national interests in a rapidly changing world. diplomacy, then, is an essential tool that a small state like belize needs to optimize our participation in the global system. “ diplomacy is not the instrument of last resort for small caribbean states,",618,116,130,12,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
21,"but the primary instrument. neither its relevance nor its function in international politics can be overstated ” ( saunders, 2005 pp. 135 ). to this end, belize aims to employ the strategies herein to be an active, effective participant on the global stage, with group diplomacy offering one of the most efficient means of amplifying our influence. the international political system has evolved into an era of international organizations. belize ’ s size, population, and resources demand that larger challenges are addressed cooperatively, thus we participate in regional bodies as a way to magnify our power projection ( although the economic demands of membership often limit us from full",692,109,130,12,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
22,"participation ). to this end, belize prioritizes national security concerns into three pillars : maintaining the country ’ s territorial integrity, confronting transnational and local crime, and providing the necessary environment for a prosperous and stable belize which are national security and defence priorities that, if not adequately addressed, have major implications on the stability of this country. 5 - - - - -",421,64,76,12,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
23,"# # # # # # while engaging international partners, we acknowledge ultimate responsibility for our own continued existence. this strategic direction builds on the overarching documents of horizon 2030 : national development framework for belize 2010 - 2030 and the growth and sustainable development strategy of belize 2016 - 2019. it also refers to and includes other sectorial and ministerial planning documents. this national security and defence strategy ( nsds ) aims to rise to the challenge of guiding the national security and defence of the nation for the period 2018 - 2021. this is the nation ’ s primary security and defence document, providing guidance on priorities and on specific objectives to be undertaken",722,116,130,13,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
24,"during the period. this strategy is the result of extensive consultation with government officials, non - governmental organizations, external experts and stakeholder interest groups. consultations which not only brought out valuable insights at the frontline and operational level but also engaged stakeholder commitment from government, private sector and interest groups to achieve the vision and goals of this national security and defence strategy 2018 - 2021. 6 - - - - -",477,72,84,13,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
25,# chapter two,13,3,5,14,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
26,# # # # national security and defence : vision and values,57,12,14,15,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
27,# # # # # the horizon 2030 vision,33,9,12,16,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
28,"# # # # # # belize is a country of peace and tranquility, where citizens live in harmony with the natural environment and enjoy a high quality of life. belizeans are an energetic, resourceful and independent people looking after their own development in a sustainable way. 7 - - - - -",284,53,63,17,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
29,# # # # national security and defence strategy pillars,54,10,12,18,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
30,"# # # # # # the national security and defence strategy pillars are specific priority areas whose achievement will contribute to belize ’ s national security and defence vision and core values. these are : 1. maintain the sovereignty and territorial integrity of belize ; 2. reduce local and transnational crimes ; 3. provide the necessary environment for a prosperous and stable belize. national security issues greatly affect belize ’ s chances of attaining and achieving its social and economic goals and maintaining stability. this national security and defence strategy ( nsds ) cohesively integrates the country ’ s major security goals, policies, responsibilities and actions into one overall master plan for the fulfillment",730,115,130,19,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
31,"of a national security and defence vision. the concept of the nsds encompasses all factors identified to be essential to the security, stability and prosperity of belize and the protection of the geopolitical space of belize as defined by the belize constitution. the nsds seeks to support the national effort to achieve and maintain a democratic, peaceful, prosperous and stable belize that maintains human rights and provides the security conditions necessary for social and economic development. it is a catalyst to fulfill the national security and defence vision through the combined use of political, social, economic, security and defence instruments of national power. government ministries, departments and agencies must critically examine their directive",764,113,130,19,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
32,"##s and conduct their own internal appraisals of the implications on their roles and configurations. similarly, citizens and members of civil society groups should scrutinize this strategy and take the necessary steps to contribute to the accomplishment of belize ’ s national security and defence priorities. the national security council ( nsc ) shall provide necessary and timely guidance to relevant stakeholders. the nsds shall serve to provide strategic guidance to the cabinet and generate public awareness. it defines the roles of organizations and stakeholders in order for them to synchronize their own strategies and policies to support the nsds through the formulation of a variety of sector specific plans.",719,110,132,19,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
33,8 - - - - -,11,6,8,19,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
34,# # # # core national values,28,7,9,20,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
35,"# # # # # # it is in belize ’ s interest to continue to ensure all citizens understand and support these core national values : 1. territorial integrity belize is a sovereign and independent nation and will defend its territorial integrity in the face of external aggression. the outstanding territorial differendum with guatemala has moved away from being resolved using armed force in favor of bilateral negotiations through the organization of american states. this is now passing into history and, if referendums in each country are in agreement, the matter will be placed before the international court of justice or an international tribunal. the belize defence force ( bdf ) and the belize coast guard (",710,118,130,21,belize_2019_SecurityDefenceStrategy.md,2025-01-28 18:54:34
