chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# libro blanco de defensa : 上 一! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) 27 2004 · - 1 : and the commend of and republica de bolivia libro blanco de defensa 2004 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] a magazine sana azala a dalama! [ 4 _ image _ 0,387,100,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
2,". png ] ( 4 _ image _ 0. png ) "" de la patria el glorioso esplendor - 2017 - 02 - 04 11 : 42 : 13 and the comments of the contribution of the contributi [UNK]! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) lalto nombre, en r conservemos... "" - 1998 - 1998 - ে ক editor responsable : ministerio de defensa de la republica de bolivia calle pedro salazar no. 2521 fax : ( 591 - 2 ) 243",382,92,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
3,3159 www. comsocial @ mindcf. gov. bo e - mail : ministro @ mindcf. gov. bo la paz - bolivia deposito legal no. libro blanco de defensa de la republica de bolivia primera edicion diciembrc - 2004 diagramacion e impresion : instituto geografico militar la paz - bolivia indice general palabras del presidente constitucional de la republica y capitan general de las ff. aa. de la nacion presentacion del ministro de defensa nacional | capitulo,441,75,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
4,primero | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - | | el estado boliviano | 17 | | | bases del estado,279,124,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
5,. | 17 | | | l. - | 17 | | | a. - | principios de su fundamentacion. | | | multietnicidad y pluriculturalidad. | 18 | | | 1. - | democracia representativa y participativa.. | 19 | | 2. - | | | | 3. - | estado social y democratico de derecho | 19 | | 8. - | fines del estado boliviano.. | 19 | | fin supremo.. | 20 | | | 1. - | 20 | | |,335,86,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
6,2. - | fines esenciales.. | | | bienestar general.. | 20 | | | а. - | seguridad integral.. | 20 | | b. - | 20 | | | 1 ) | seguridad interna. | | | seguridad externa. | 21 | | | 2 ) | objetivos nacionales permanentes. | 21 | | c. - | 22 | | | d. - | funciones del estado. | | | defensa nacional. | 22 | | | 1. - | relacion entre se,330,85,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
7,"##guridad, desarrollo y defensa nacional. | 22 | | 2. - | componentes del estado boliviano. | 23 | | ( 1. - | territorio. | 23 | | a. - | poblacion boliviana.. | 25 | | b. - | ldentidad nacional.. | 26 | | 1. - | 26 | | | unidad nacional. | | | | 2. - | poder politico. | 26 | | c. - | | | | capitulo segundo | | | | relacion de los context",340,85,133,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
8,##os con la defensa | 27 | | | el contexto mundial. | 27 | | | l. - | contexto hemisferico. | 29 | | ii. - | 29 | | | a. - | aspectos de relacion hemisferica. | [UNK] | | proceso de integracion economica.. | | | | 1. - | seguridad y defensa hemisferica. | 29 | | 2. - | amenazas en el hemisferio.. | 30 | | 3. - | contexto regional,331,79,132,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
9,.. | 31 | | iii. - | | | | capitulo tercero | | | | politica de defensa nacional. | 33 | | | | 33 | | | i. - | politica nacional. | | කා [UNK] කා [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] | a. - | proceso empleado por la politica nacional. | 34 | | - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - -,362,103,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
10,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | ll. - | politica de seguridad. | 34 | | a. - | fundamentos de la seguridad nacional. | 34 | | lll. ~ | defensa nacional. | [UNK] | |,292,111,130,0,bolivia_2004_LibroBlancoDeDefensa_noneng.md,2025-01-28 18:57:47
