chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defence white paper of bosnia and herzegovina * * june 2005 * * - - - - -,75,19,21,0,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
2,# # # contents * * message of the bih presidency * * * * i * * * * defence reform – from individual to collective security * * - * * the situation prior to defence reform * * - * * the results of defence reform to date * * * * ii * * * * the security environment of bosnia and herzegovina * * - * * security challenges * * - * * global challenges * * - * * regional challenges * * - * * internal challenges * * - * * security priorities * * - * * general security * * - * * economic security * * - * * military security * * * *,527,127,130,1,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
3,iii * * * * the defence policy of bosnia and herzegovina * * - * * strategic principles of the defence policy of bosnia and herzegovina * * - * * integration into euro - atlantic collective security structures * * - * * partnership for peace ( pfp ) * * - * * pfp / nato standardisation and interoperability * * - * * bi - lateral and multi - lateral defence co - operation programmes * * - * * contribution to regional co - operation in south east europe * * - * * special arrangements * * * * iv * * * * the defence system of bosnia and herzegovina * * - * * democratic,571,123,130,1,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
4,control of the armed forces of bosnia and herzegovina * * - * * civilian command * * - * * parliamentary oversight * * - * * transparency in defence planning and budgeting * * - * * defence planning * * - * * defence budgeting and the common defence resource management system * * - * * the armed forces of bosnia and herzegovina * * - * * the mission of the armed forces of bosnia and herzegovina * * - * * organisation of the armed forces of bosnia and herzegovina * * - * * command and control of the armed forces of bosnia and herzegovina * * - * * _ operational chain of command _ * * -,591,126,130,1,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
5,* * _ administrative chain of command _ * * - 2 - - - - - - * * _ single military force _ * * - * * size of the armed forces of bosnia and herzegovina * * - * * major military elements * * - * * training and education * * - * * individual training * * - * * collective training * * - * * professional development * * - * * english language training * * - * * employments of the armed forces of bosnia and herzegovina * * - * * _ peace support operations _ * * - * * _ demining and explosive ordnance disposal operations _ * * - * *,531,126,130,1,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
6,_ assistance and support to civilian authorities ’ operations _ * * - * * military personnel * * - * * _ the officer corps _ * * - * * _ the non - commissioned officer corps _ * * - * * _ soldiers _ * * - * * _ reserves _ * * - * * _ common personnel management system _ * * * * v * * * * the way ahead * * * * vi * * * * bibliography * * - 3 - - - - - - - - - -,362,103,105,1,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
7,"# # # message by the presidency of bosnia and herzegovina with our common efforts to enable bosnia and herzegovina to achieve overall progress and stability, furthermore to confirm its belongingness in euro - atlantic family of liberal and democratic states, the implementation process of radical and overall reforms and transformations in more areas of our society is ongoing. among all those reforms, we have now especially placed emphasis on the reform of the defence sector, acknowledging that the defence reforms, as a part of the overall reforms in our country, by size, content and objective significance, are the strong mechanism for strengthening of internal stability, and also support the credibility in efforts for joining of bosnia",744,117,130,2,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
8,"and herzegovina into european and euro - atlantic integration structures. the defence reforms, initiated with establishment of the defence reform commission, supported by the essential legislative and structural adjustments and changes out of which the adoption of the bih law on defence ( bih official gazette, number : 43 / 2003 ) has a special significance, furthermore, the implementation of number of recommendations and conclusions of the commission have enabled huge progress in establishment of the system of command and control over the armed forces, complete parliamentary oversight at bih level and full transparency of the defence plans and budget. the progress that has been achieved in restructuring and reforms of the defence structures, with objective",767,116,130,2,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
9,"to accomplish the strategic integration goals, we consider exceptionally significant. the common defence, economic and every other safety has now been accepted as the key concept for future action and it becomes the main driving force for continuation of the reforms. although it is still far from finalization, the reform of the defence sector in bih is in its full swing, directed towards two mutually connected strategic goals – joining the european union ( eu ) and nato. therefore, the defence white paper represents the report to the citizens and people of bih “ on the status of their armed forces ”. as it was clearly stated in this document, our goals and intentions in",678,115,130,2,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
10,"bosnia and herzegovina are to apply the best practices and experiences established in advanced democracies, furthermore to develop the professional military forces that are organized, manned and trained in accordance with nato standards and which will with its size and capabilities be able to fulfill the legitimate defence requirements and be compatible with the economic possibilities of its country. we hope that the the defence white paper will clearly indicate the achievements up to date, as well as our vision on how to maintain this momentum in the future - which promises peace and prosperity to all of us and the generations to come. march 2005 mr. borislav paravac, chairman of the bih presidency mr.",712,115,130,2,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
11,"ivo miro jovic, member of the bih presidency mr. sulejman tihic, member of the bih presidency - 5 - - - - -",107,23,35,2,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
12,"# # # i defence reform : towards collective security in july 2001, the presidency of bosnia and herzegovina formally expressed bosnia and herzegovina ’ s readiness to accept its obligations and rights in the family of euro - atlantic nations, and to contribute actively to collective security. the presidency also expressed bosnia and herzegovina ’ s commitment to integration into euro - atlantic structures, to the partnership for peace programme, and to the implementation of defence reforms including restructuring of the armed forces. over the past three years, working in the context of these objectives, we have striven to create a suitable environment for defence reform, to achieve internal stability, and to become a credible candidate",745,117,130,3,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
13,"for the partnership for peace programme. the defence reform process began in 2003 with the establishment of the defence reform commission, proceeding through the work of the commission and culminating with the publication of the commission ’ s report. the aim was to establish a common defence system, taking into account the security environment and economic realities. over the last twelve months, as a result of this process, significant changes have been made to the structure and the functioning of the bosnia and herzegovina defence system. before the start of the defence reform process in 2003, the defence system of bosnia and herzegovina faced very complex problems, and reforms were therefore directed towards their resolution. the requirements",755,117,130,3,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
14,"for defence reform were derived from an analysis of the following factors : - inadequate state - level command and control of the armed forces ; - ambiguities and inconsistencies regarding state and entity authorities in defence matters ; - insufficient parliamentary oversight and control of the armed forces ; - lack of transparency in defence matters at all levels ; - non - compliance with international commitments, particularly politico - military aspects of relevant osce documents ; - the size, structure and equipment of the armed forces, which were not commensurate with real defence and security requirements ; - disproportionate funding for defence activities ; - deteriorating",689,108,130,3,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
15,"arms and ammunition stored at an excessive number of inappropriate locations ; and - poor conditions of service for the full - time and conscript components of the armed forces. - 6 - - - - - as a consequence of these factors, the armed forces of bosnia and herzegovina were faced with reduced operational effectiveness and decreasing morale. this situation represented an obstacle to the realisation of the expressed commitment of bosnia and herzegovina to euroatlantic integration. bosnia and herzegovina ’ s readiness and determination to implement defence reforms is prompted by the necessity to achieve a higher level of effectiveness in defence and to create the conditions necessary to achieve euro - atlantic integration.",729,116,128,3,bosnia_2005_DefenceWhitePaper.md,2025-01-28 18:53:41
