chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,bosna i hercegovina! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministarstvo odbrane - obrane босна и * * херцеговина * * министарство * * одбране * * politika odbrambenog planiranja | | sadrzaj | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,261,74,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | i | opce odredbe | | 1. svrha | |,255,121,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
3,"| 2. cilj | | | 3. primjenjivost. | | | 4. | reference | | 5. | terminologija | | ii | uvod. | | 1. odbrambeni sistem bih. | | | 2. | sistem odbrambenog planiranja | | iii nacela, ciljevi i osnove odbrambenog planiranja | | | 1. nacela odbrambenog planiranja. | | | 2. | ciljevi odbram",285,61,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
4,##benog planiranja. | | 3. osnove odbrambenog planiranja | | | iv elementi sistema odbrambenog planiranja | | | 1. | pregled glavnih elemenata sistema odbrambenog planiranja | | 2. sigurnosna politika bih. | | | 3. odbrambena politika bih. | | | 4. vojna strategija bih | | | 5. smjernice za odbrambeno,302,54,132,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
5,planiranje | | | 6. | dugorocni plan razvoja i modenizacije oruzanih snaga bih. | | v razvoj sistema odbrambenog planiranja. | | | 1. potreba razvoja. | | | 2. osnove razvoja | | | 3. koncept razvoja. | | | vi nadzor i odgovornosti | | | 1. nadzor nad odbrambenim planiranjem | |,279,56,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
6,| 2. odgovornosti u oblasti odbrambenog planiranja. | | | vii zavrsne odredbe | | | 1. azuriranje politike. | | | 2. stupanje na snagu. | | | prilog 1. : termini i definicije. | | | prilog 2. : nacelni pregled dokumenata u sistemu odbrambenog planiranja | | | prilog 3. : pregled temeljnih dokumenata strateskog,311,58,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
7,"odbrambenog planiranja. | | | prilog 4. : nacelni sadrzaj vojne strategije bih. | | | prilog 5. : nacelni sadrzaj smjernica za odbrambeno planiranje. | |! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) na osnovu clana 13. i clana 15. tacka a ) zakona o odbrani bosne i hercegovine ( "" sluzbeni glasnik bih",304,64,130,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
8,""", broj : 88 / 05 ), te clana 61. zakona o upravi ( "" sluzbeni glasnik bih "", broj : 32 / 02 ), d o n o s i m",109,32,52,0,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
9,# # politiku odbrambenog planiranja i opce odredbe 1. svrha politika odbrambenog planiranja ( u daljem tekstu : politika ) ima za svrhu razradu odbrambenih ciljeva za potrebe nato kompatibilnog sistema odbrambenog planiranja u ministarstvu odbrane bosne i hercegovine i oruzanim snagama bosne i hercegovine ( u,310,47,130,1,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
10,daljem tekstu : inistitucije odbrane bih ).,43,7,22,1,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
11,"# # 2. cilj cilj politike je razumijevanje i definiranje postupka izrade glavnih elemenata sistema odbrambenog planiranja, te uspostava i razvoj transparentnog i usklađenog procesa odbrambenog planiranja u institucijama odbrane bih kako bi iste izvrsavale zakonske obaveze, dodijeljene zadatke i ispunile ciljeve",312,42,130,2,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
12,sigurnosne i odbrambene politike bih na finansijski prihvatljiv i efikasan nacin.,81,11,36,2,bosnia_2009_DefensePlanningPolicy_noneng.md,2025-01-28 18:57:21
