chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,defesa & meio ambiente preparo com sustentabilidade 1 defesa &! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) - preparo com sustentabilidade - sumario 5! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) apresentacao do ministro da defesa! [ 2 _ image _ 2. png ] ( 2 _ image _ 2. png )! [ 2 _ image _ 5. png ] ( 2 _ image _ 5. png,326,85,130,0,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
2,) i - a protecao do meio ambiente na defesa! [ 2 _ image _ 6. png ] ( 2 _ image _ 6. png )! [ 2 _ image _ 7. png ] ( 2 _ image _ 7. png ) ii - preservacao : um legado secular! [ 2 _ image _ 9. png ] ( 2 _ image _ 9. png )! [ 2 _ image _ 11. png ] ( 2 _ image _ 11. png ) iii - sustentabilidade 3 36! [ 2 _ image _ 1.,316,92,130,0,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
3,png ] ( 2 _ image _ 1. png ) iv - a recuperacao! [ 2 _ image _ 3. png ] ( 2 _ image _ 3. png )! [ 2 _ image _ 8. png ] ( 2 _ image _ 8. png ) conclusao! [ 2 _ image _ 10. png ] ( 2 _ image _ 10. png ) legislacao pertinente! [ 2 _ image _ 4. png ] ( 2 _ image _ 4. png ) v - operacoes em apoio ao meio ambient,308,89,130,0,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
4,##e 5 raul jungmann! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png ) ministro de estado da defesa,95,25,39,0,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
5,"# apresentacao do! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) ministro da defesa o ministerio da defesa apresenta o inedito livro verde de defesa, na esteira da atualizacao da triade de documentos oficiais brasileiros em materia de defesa - a politica nacional de defesa, a estrategia nacional de defesa e o livro branco de defesa nacional –, que foram entregues ao congresso nacional em novembro de 2016. os document",420,78,130,1,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
6,"##os de defesa, conhecidos mundialmente como papeis brancos, cumprem, entre outros, o importante papel de dar publicidade as acoes e prioridades da defesa, fomentando e qualificando o necessario debate sobre essa agenda, que pertence a todas as brasileiras e todos os brasileiros. tradicionalmente, a contribuicao das forcas armadas vai muito alem de sua missao precipua, de defesa",381,57,132,1,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
7,"do territorio e da soberania nacionais, e abarca a ocupacao e a integracao do territorio, bem como a promocao do desenvolvimento nacional. a protecao ambiental e o legado secular de preservacao, embora menos conhecidos, inserem - se tambem nesse nobre rol de atividades. intitulado "" defesa e meio ambiente - preparo com sustentabilidade "", o livro verde tem o objetivo de",372,61,130,1,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
8,"divulgar, em um formato moderno e acessivel, as boas praticas de gestao ambiental levadas a cabo pelo ministerio da defesa, pela marinha do brasil, pelo exercito brasileiro e pela forca aerea brasileira. com essa nova publicacao, compartilhamos com a sociedade informacoes sobre as medidas de protecao, preservacao, sustentabilidade e recuperacao ; e sobre as operacoes em apoio ao",381,58,130,1,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
9,meio ambiente por meio das quais o ministerio da defesa e as forcas armadas participam do esforco global em prol do meio ambiente.,130,23,42,1,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
10,"# i - a protecao do meio ambiente na defesa "" todos tem direito ao meio ambiente ecologicamente equilibrado "", declara a constituicao da republica federativa do brasil e cabe "" ao poder publico e a coletividade o dever de defende - lo e preserva - lo "". o debate do meio ambiente, alem de fazer parte da legislacao brasileira, e crucial para a preservacao da vida ; e o pais tem sid",382,73,130,2,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
11,"##o um ator importante neste campo, por conta de alguns bons exemplos, que, inclusive, ganharam reconhecimento internacional. destacam - se, por exemplo, a matriz energetica do brasil, a qual e essencialmente limpa ( verde ) ; as maiores reservas nacionais de agua doce do planeta ( 12 % do total ) ; alem de uma extensa cobertura vegetal preservada, com cerca de 516 milhoes de hectares ( at",392,68,132,2,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
12,"##ras apenas da russia ). e natural, portanto, que o ministerio da defesa e as forcas armadas desempenhem um papel de protagonismo na protecao do meio ambiente, estabelecendo normas e fiscalizando a sua devida execucao, promovendo boas praticas por todas as unidades militares e oferecendo qualificacao profissional adequada. o brasil e marcado por riquezas naturais diversificadas e cabe a defesa",397,60,132,2,brazil_2017_DefenseEnvironment_noneng.md,2025-01-28 18:57:21
