chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,the ministry of defence of the republic of bulgaria ite paper on dehence! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) the ministry of defence of the republic of bulgaria houe paper! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png )! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) on defence the white paper on defence was adopted with a decision of the council of,407,104,130,0,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
2,"ministers of the republic of bulgaria on april 4, 2002. the ministry of defence of the republic of bulgaria",107,19,23,0,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
3,# white paper on defence! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ),71,21,28,1,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
4,# table of contents | foreword......................... |.. | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,247,101,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
5,- - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | chapter one | | | the republic of bulgaria in the context of the security environment | | | at the beginning of the 21st century........... photo contract contract contract of | | | 1. 1. national interests and integration processes | | | 1. 2. the security environment... | | | 1. 3. security and defence policy,412,108,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
6,and the challenges of the risk environment | | | chapter two | | | defence capabilities. | | | 2. 1. the role of the military factor in a risk environment. | | | 2. 2. missions and tasks of the armed forces | | | 2. 3. necessary operational capabilities of the armed forces | | | 2. 4. structure and composition of the armed forces. | | | 2. 5. command structure and management bodies. | | | 2. 6. armed forces support | | | 2. 7. basic operational and combat capabilities of the armed forces. | | | 2. 8. troops and,516,107,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
7,forces ' education and training system | | | 2. 9. interoperability | | | 2. 10. the defence reform. | | | chapter three | | | the human factor in defence | | | 3. 1. legal status of servicemen and civilians in the defence system.. | | | 3. 2. career development opportunities | | | 3. 3. quality of life of military personnel. | | | chapter four | | | defence management. | | | 4. 1. national principles and mechanisms of interaction in the development | | | | and implementation of defence policy. | | 4. 2. defence management,528,106,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
8,institutions and bodies | | | 4. 3. defence planning mechanism | | | 4. 4. the administration and management system of the armed forces | | | 4. 5. defence and armed forces conceptual basis... man a more and concept of the barren and armed | | | 4. 6. security at the ministry of defence. | | | 4. 7. democratic control over the armed forces | | | 4. 8. research and development | | | 4. 9. human resource management. | | | 4. 10. procurement | | | 4. 11. assisting civil authorities and participation in non - military crisis,526,105,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
9,"management | | | 4. 12. public relations and public support for defence and the armed forces. | | | chapter five | | | national defence resources. | | | 5. 1. state policy in the field of defence resources planning. | | | 5. 2. resource capacity for maintaining defence capabilities | | | 5. 3. defence resource management.... | | | 5. 4. modernisation of armament and facilities, and optimisation of the military infrastructure. | | | 5. 5. maintaining the defence industrial base. | | | 5. 6. national infrastructure to maintain the defence capability | |",557,101,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
10,"nikolay svinarov! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) minister of defence of the republic of bulgaria foreword foreword! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) the last decade of the 20th century was characterised by unprecedented change in ideologies, cultural, moral and ethic values, economic and social systems and attitudes of generations which grew up in a different social environment. this radical transformation led to significant changes in the national security concepts, the nature, purpose, development and use of armed forces in europe and the rest of",582,106,130,2,bulgaria_2002_WhitePaperOnDefence.md,2025-01-28 18:57:22
