chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"_ national security strategy of the republic of bulgaria _ _ 28 _ * * national security strategy * * * * of the republic of bulgaria * * approved by national assembly decision of 25. 02. 2011, promulgated, durzhaven vestnik, no 19 / 8. 03. 2011 * * i. introduction * * * * 1. the national security policy of the republic of bulgaria rests on the values of democracy, * * the national culture, human and civil rights, equal opportunities for self - fulfillment, the constitution of bulgaria and the underlying acts that guarantee international security. * * 2. * * the national security strategy em",597,108,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
2,"##bodies the peacefulness and the traditions of good neighborly relatiom and mutually advantageous cooperation that characterize bulgaria ' s policy. the strategy is an integral part of the european union ' s and nato ' s efforts geared to expand the zone of stability, cooperation and prosperity by the elimination of threats that emanate from terrorism and extremism and by the settlement of regional conflicts and active involvement in the solution of global problems. the country ' s contribution to the stability of state - to - state relations and to the application of the principle of non - interference in the internal affairs of the balkan penimula and the black sea",676,112,131,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
3,"region countries is of particular importance. * * 3. * * while the strategy frames a broader concept of national security by making paramount the security of the citizen and the social and economic aspects, it does not underrate the dimension of defense, foreign policy, intelligence, public order and law - enforcement. more than ever before it is evident that the end product and the genuine meaning of the "" national security "" concept is the protection of the individual citizen and of his inalienable freedom and dignity. * * 4. * * the national security strategy of the republic of bulgaria gives a catalog of the national interests and of the conditions and prere",670,115,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
4,##quisites required for their materialization by the elimination of the risks and threats to the country and to its citizens. the national and sectoral priorities and security policies are geared to protect the national interests with due regard for the fast - changing security context and given an optimal allocation of resources to achieve efficient security system management. * * 5. the national security concept that was approved in 1998 was the pioneer in the formulation * * of the definition of national security that was codified in the classified information act and in the act on the state agency for national security. * * 6. * * while the national security concept institutionalized top - level executive,718,118,133,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
5,"power advisory and coordinating activities, it enabled members of other responsible factors to join in the security policy formulation, implementation and control. first steps were taken to develop a national security system and an intelligence community in the republic of bulgaria. the government started to report regularly to the national assembly on the national security status, the national security protection policies and the upholding of the national interests. the process did not evolve in subsequent periods. * * 7. * * the concept was particularly important in making public, to the society at large and to the potential nato allies, the national security policy values, objectives, principles and - - - - - _ national",732,115,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
6,"security strategy of the republic of bulgaria _ _ 29 _ mechanisms. the document inspired the military doctrine of the republic of bulgaria and other strategy papers and legislative acts. * * 8. * * the national security strategies that were drafted in 2005 and 2008 never reached the approval procedure stage. however, the drafting process enabled judgments of the dynamism of national objectives and interests, of the changes in the security context and of the requirements deriving thereof to security policy. * * 9. following bulgaria ' s accession to nato and to the european union ( eu ), the country ' s security * * strategy was no longer confined to the national dimension",680,116,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
7,"and was incorporated into our allies ' efforts. the risks and threats to the security of the republic of bulgaria and of its citizens are largely identical with or similar to what the eu and nato member countries face. * * 10. the existing and newly emerging threats ' dynamism which is in the form of parallel occurring * * processes that improve the international political and military security context and minimize the probability of conventional armed aggression against the republic of bulgaria and to which new criminal and transborder risks and threats to citizens and the society are to be added, calls for a new approach to the development of a security strategy with adequate update of parameters.",708,119,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
8,"* * 11. adjustment to the changing security context calls for reprioritization of security policies, * * the involvement of the society ' s whole institutional potential and the application of new forms of interaction between the state, the businesses and the non - governmental sectors, as for instance private - public partnerships. the expansion of the security policy social range faces the horizontal and vertical institutional coordination of the "" chain of command "" management with new challenges. institutions and their structural units must act as integrated components of the national security system. * * 12. the policies designed to avert risks and threats to national security and to guarantee that * * citizens and",729,116,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
9,"democratic institutions are protected are part and parcel of the eu ' s and nato ' s combined efforts geared to translate into reality the vision of a single area of freedom, security and justice. while the country implements its strategic priorities to build a more stable and democratic state where citizens feel safe to exercise their fundamental rights and to fulfill their obligations, it surmounts the existing barriers to its further integration in the eu and nato and seeks to join more effectively their governing bodies. * * 13. * * the security policy prepares the institutions, society and citizens to respond in a highly volatile security context and to generate conditions in which the interests of the republic",725,120,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
10,"of bulgaria can be achieved. bulgaria ' s common and sectoral security policy rests on the security context assessment and on the attainment and advancement of the national interests. * * 14. * * bulgaria ' s national security strategy is an underlying document for the agreed formulation, planning, implementation, coordination and control of the national security policy as pursued by the institutions of the state in collaboration with the citizens and the civil society organizations. * * 15. the implemented national security strategy will guarantee the rights, freedoms, security * * and well being of the individual and of the society, will guard the sovereignty and territorial integrity of the country and the unity",724,115,130,0,bulgaria_2011_NationalSecurityStrategy.md,2025-01-28 18:53:52
