chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # non paper,15,5,7,0,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
2,# bulgaria in nato and in european defence,42,8,10,1,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
3,"# # 2020 * * sofia * * * * 2 september 2014 * * - - - - - * * _ vision : bulgaria in nato and in european defence 2020 _ * * і. introduction the present * * "" vision : bulgaria in nato and in european defence 2020 "" * * is approved by the security council of the council of ministers in relation to the upcoming nato summit in wales ( 4 - 5 september 2014 ). this document is developed on the basis of the * * white paper on defence and the armed forces * * adopted by the parliament of the republic of bulgaria on 28 october, 2010, taking into account changes in the security",576,124,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
4,"environment, implementation of the plan for the development of the armed forces, and its expiration at the end of 2014. notwithstanding the short time until the summit, the development of this vision began within the framework of the interagency working group under the leadership of the minister of foreign affairs and the minister of defence, chaired by the deputy minister of defence for defence policy as organisational secretary, passed through the defence council of the ministry of defence, an expert public discussion and was finalised following a discussion within the security council of the council of ministers, which approved it on 1 september, 2014. the vision updates the assessment of the external security",722,113,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
5,"environment, substantiates the benefits from defence investments, defines the way of reaching higher defence expenditures in accordance with the discussion within nato, and defines the key capabilities necessary for a contemporary national defence within the framework of the allocated resources. on the basis of this vision and the decisions made at the nato summit in september 2014, the council of ministers will adopt a national program : bulgaria * * in nato and in european defence 2020, in accordance with the priorities and * * tasks of the caretaker government. all state structures with competences within the sphere of security and defence, including financial and economic aspects, will be included in the development and execution",743,115,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
6,"of the national program. the program will include specific projects for the development of the armed forces, and in compliance with the law on defence and the armed forces, all projects with value over bgn 100 million will be put forward for adoption by the national assembly. all projects will seek to make maximal use of the mechanisms for common, joint and multinational funding in addition to national financing as well as cooperation with nato and eu agencies in order to achieve interoperability at a minimal price, offering an opportunity for integration of our defence industry and research sector in the euro - atlantic community. - - - - - * * _ vision : bulgaria in nato",681,118,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
7,"and in european defence 2020 _ * * * * ii. external security environment – risks and threats to bulgaria ’ s security * * contemporary strategic environment is characterised by dynamism, a wide spectrum of challenges and changes, risks and threats hard to predict, including asymmetric ones. today the republic of bulgaria is in one of the areas with the highest concentration of risks and threats within the euro - atlantic community. * * the trend in their * * * * development is negative in the medium term and often in the long term. * * a source of considerable risks for our national security remains the instability of neighbouring regions. heterogen",657,114,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
8,##eous regional and geostrategic interests suggest a continuation of the trend of conflict and confrontation in the * * black sea and caucasus regions. the * * illegal annexation of crimea by the russian federation and the conflict in eastern ukraine has become one of the most serious threats to peace and security in europe since the second world war. this has led to a serious change in the balance of * * power in the black sea region and has direct implications for bulgaria ’ s * * * * security. * * increased investments in conventional capabilities in the above - mentioned region and the “ hybrid warfare model ” highlight the necessity for adequate investments in bulgaria ’ s,686,122,133,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
9,"defence. this “ hybrid warfare ” blends conventional methods with guerrilla warfare, secret support to separatist groups, cyber attacks and propaganda, economic pressure and other activities contrary to international law. additional risks stem from the activation of existing * * “ frozen ” conflicts near our * * * * borders. entering a spiral of sanctions already has a direct effect on our * * * * national economic interests. meanwhile bulgaria is exceptionally dependent * * * * on one source of energy. therefore, diversification * * of energy sources and intensified cooperation within the eu is a key necessity for bulgaria in order to mitigate the negative economic consequences of the crisis",701,114,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
10,"to the east of our country. the dynamic development of crises in the * * middle east and north africa have a * * destabilising effect both regionally and on a wider scale, thus seriously affecting bulgaria ’ s security and interests. conflicts in syria, iraq ( with the participation of al - qaeda - affiliated and other radical groups such as “ islamic state ”, al - nusra front, and others ), the palestinian territories, libya, and the political and security - - - - - * * _ vision : bulgaria in nato and in european defence 2020 _ * * instability in egypt ( particularly in the sinai peninsula )",599,113,130,2,bulgaria_2014_NationalProgramme.md,2025-01-28 18:54:12
