chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# актуализирана стратегия за национална сигурност на република българия приета с решение на нс от 14. 03. 2018 г., обн., дв, бр. 26 от 23. 03. 2018 г.",150,28,108,0,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
2,"# # i. увод 1. политиката на република българия в сферата на сигурността се изгражда върху ценностите на демокрацията, на националната ни култура, основните пр",159,25,130,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
3,"##ава и свободи, на равните възможности за развитие на личността, както и на конституцията на страната и основополагащите актове за гарантиране на международнат",160,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
4,"##а сигурност. 2. стратегията за национална сигурност въплъщава миролюбивия характер и традициите на добросъседство и взаимноизгодно сътрудничество, хар",152,18,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
5,##актеризиращи политиката на нашата страна. тя е част от усилията на европеиския съюз ( ес ) и организацията на северноатлантическия договор ( нато ) към разширяване,165,26,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
6,"зоната на стабилност, сътрудничество и благоденствие посредством неутрализиране на заплахите от тероризма и екстремизма, преодоляване на регионалнит",148,17,130,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
7,##е конфликти и активно участие в решаването на глобалните проблеми. от особено значение е приносът на страната ни за стабилизиране на междудържавните отнош,156,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
8,"##ения и прилагането на принципа за ненамеса във вътрешните работи на други държави. 3. стратегията очертава по - широко разбиране за националната сигурност, ка",160,24,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
9,"##то извежда на предно място сигурността на гражданина, обществените и икономическите аспекти, без да подценява измеренията, свързани с отбраната, външната",155,20,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
10,"политика, разузнаването, охраната на обществения ред и защитата на законността. краиният продукт и същинският смисъл на понятието "" национална сигурност "" е га",159,23,130,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
11,"##рантирането на човешката сигурност и защитата на свободата и достоинството на гражданина, както и защитата на суверенитета, териториалната цялост и опазване",158,21,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
12,"##то на държавната граница. промените в регионалната сигурност в черноморския регион, близкия изток и северна африка през последните години и очертаващите се те",160,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
13,"##нденции определят необходимостта от гъвкаво, балансирано и синергично използване на политиките и инструментите на националната мощ за защита на националнит",157,20,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
14,"##е интереси. 4. стратегията за национална сигурност на република българия посочва националните интереси, необходимите условия и предпоставки за тяхното реал",157,20,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
15,##изиране чрез неутрализиране на рисковете и заплахите за страната и неините граждани. националните и секторните приоритети и политики за сигурност са насоче,157,22,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
16,"##ни към защитата на националните интереси, като се отчита динамиката на средата на сигурност при оптимално разпределение на ресурсите за постигане на ефект",156,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
17,##ивно управление на системата за сигурност. стратегията за национална сигурност насочва познанието и материалните ресурси на република българия към единен,155,20,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
18,"##ие и просперитет в съответствие с европеиския цивилизационен избор, националните интереси. 5. приемането през 1998 г. на концепция за национална сигурност за п",161,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
19,"##ръв път даде насока за формулиране на определение за национална сигурност, което намери развитие в нормативната уредба чрез закона за защита на класифицирана",159,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
20,"##та информация ( 2002 г. ) и закона за държавна агенция "" национална сигурност "" ( 2007 г. ). 6. през ноември 2015 г. влязоха в сила закон за управление и функциониране на систем",179,34,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
21,"##ата за защита на националната сигурност, закон за държавна агенция "" разузнаване "", закон за нсо, закон за военното разузнаване. с това завърши формирането на прав",165,26,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
22,"##ната рамка за системата за национална сигурност, в т. ч. службите за сигурност, които вече осъществяват своята деиност в ясно определена среда за работа, отч",159,25,133,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
23,##етност и контрол. възприета е единна легална дефиниция на понятието за национална сигурност. правнорегламентирани са взаимоотношенията на политическото р,155,19,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
24,"##ъководство на държавата и професионалните структури от системата, както и взаимодеиствието на службите за сигурност на оперативно и информационно нив",151,20,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
25,##о. 7. законът за управление и функциониране на системата за защита на националната сигурност определя ролята на съвета по сигурността към министерския съв,156,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
26,"##ет под ръководството на министър - председателя на република българия, неговите функции, мандат за работа и оперативност. създаден е ясен механизъм за превен",159,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
27,"##ция на конфликти и управление на кризи, когато те възникнат. законът регламентира взаимодеиствието със системите за сигурност на съюзническите страни о",153,21,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
28,"##т нато и ес. 8. република българия като член на ес и нато разглежда гарантирането на своята сигурност както като стратегическа национална задача, така и в рамките",164,27,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
29,на колективната отбрана на нато и общата външна политика и политика за сигурност на ес. стратегията за сигурност освен в национални рамки е част и от общата конце,162,28,130,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
30,"##птуална рамка и институционална система, в чието изграждане нашата страна участва, съвместно със съюзниците. рисковете и заплахите за сигурността на републ",157,21,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
31,##ика българия и неините граждани до голяма степен съвпадат или са сходни с тези за други страни от ес и нато и за организациите като цяло. 9. динамиката на съществува,167,30,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
32,"##щите и на възникващите нови заплахи, процесите на изостряне на международната политическа и военна среда на сигурност водят до нови рискове и заплахи за граждан",162,25,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
33,"##ите и обществото от геополитически и транснационален характер. пълномащабен военен конфликт срещу република българия е все още малко вероятен, но расте за",156,22,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
34,"##плахата от хибридни деиствия и кибератаки. 10. променящата се среда на сигурност налага ново степенуване на приоритетите в политиката за сигурност, включв",156,22,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
35,"##ане на цялостния институционален потенциал, прилагане на нови форми на взаимодеиствие между държавата, бизнеса и неправителствения сектор, каквото е публ",155,20,133,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
36,"##ично - частното партньорство. дългосрочна цел е формирането на национална култура за сигурност, която да бъде естествена обществена основа за ефективно и пъл",159,23,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
37,##ноценно реализиране на политиките за сигурност. разширяването на социалния обхват на политиката за сигурност поставя нови предизвикателства пред институ,154,19,132,1,bulgaria_2018_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:03
