chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# securing an open society : canada ’ s national security policy _ april 2004 _ - - - - - - - - - - * * national library of canada cataloguing in publication data * * canada. privy council office securing an open society : canada ’ s national security policy issued also in french under title : proteger une societe ouverte : la politique canadienne de securite nationale. text in english and french on inverted pages issued also in electronic format on the internet : www. pco - bcp. gc. ca isbn 0 - 662 - 36982 - 3 cat. no.,525,104,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
2,"cp22 - 77 / 2004e - pdf © her majesty the queen in right of canada, 2004. - - - - - security issues are not new to canada. they were influential in the decision to create our country in order to provide peace, order and good government for canadians. throughout our history, we have managed a wide range of threats to our society — from the influenza epidemic of 1918 - 19 to the risk posed by soviet bombers that led to the creation of norad. and we have a proud history of contributing to international peace and security, including the supreme sacrifice made by our citizens in places like vimy ridge and afghanistan.",620,115,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
3,"we have addressed these threats to our society in a way that has strengthened the open nature of our country — open to immigrants from around the world and respectful of differences among us. our prosperity is directly linked to this openness and to our ability to flourish in an increasingly interdependent world. the horrific events of september 11, 2001, demonstrated how individuals could exploit such openness to commit acts of terrorism that attempt to undermine the core values of democratic societies. those events were a stark reminder to canadians of the tragic loss of 329 lives aboard air india flight 182 in 1985. the recent sars outbreak and the 2003 electrical blackout showed how our",699,116,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
4,"interconnectedness to events originating elsewhere can have a major impact on the health and economic well - being of canadians. and we continue to face more longstanding threats, such as organized crime and natural disasters. the government of canada has taken important steps to respond to this increasingly complex and dangerous threat environment. in the past few years, it has funded over $ 8 billion in additional investments to address our key security gaps. on my first day as prime minister, i announced important organizational changes that will further strengthen the capacity of the government to deal with this new environment. but we need to do more. working to prevent attacks like the one launched against",721,116,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
5,"commuter trains in madrid requires a more integrated approach to national security — integrated inside the government of canada and with key partners. such an approach will also help us to develop a long - term strategic framework to more effectively prevent and respond to other types of security threats. in short, we need to take the historic step of issuing canada ’ s first - ever comprehensive statement of national security policy which provides an integrated strategy for addressing current and future threats to our country. _ securing an open society articulates core national security interests and _ proposes a framework for addressing threats to canadians. it does so in a way that fully reflects and supports key canadian values",742,121,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
6,"of democracy, human rights, respect for the rule of law, and pluralism. - - - - - it outlines the integrated security system the government of canada will build. this system will be supported by $ 690 million in new initiatives to address priority gaps in the government ’ s areas of responsibility. the government is moving forward deliberately with this plan, but recognizes the seriousness of the challenge and the sustained nature of the effort required. addressing many of these threats requires a co - ordinated approach with other key partners — provinces, territories, communities, the private sector and allies. in these areas, the policy sets out processes for engaging those",685,112,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
7,"partners in developing co - ordinated plans to support the overall framework. it recognizes that we need to build a dynamic system that is able to continually evolve to address emerging threats and that will rely heavily on contributions from all stakeholders. the fact that this is canada ’ s first - ever comprehensive statement of our national security policy makes it particularly important that we engage canadians on its content. we are tabling the policy with parliament so that it can facilitate that added dialogue. this policy puts us on a long - term path to enhancing the security of our country. the measures announced in it will address important gaps in our system, but the project cannot",703,119,130,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
8,end here. the government is determined to build a system that works to continually enhance the security of canadians and contribute to the creation of a safer world. prime minister paul martin - - - - -,202,37,41,0,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
9,# # # # table of contents executive summary........................................ vii chapter 1 - canada ’ s approach to national security............... 1 chapter 2 - building an integrated security system................ 9 chapter 3 - intelligence.......................,274,34,130,1,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
10,............. 15 chapter 4 - emergency planning and management............... 21 chapter 5 - public health emergencies........................ 29 chapter 6 - transportation security........................... 35 chapter 7 - border security......................,261,28,130,1,canada_2004_NationalSecurityPolicy.md,2025-01-28 18:54:08
