chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # department of national defence,34,6,8,0,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
2,# report on plans and priorities 2012 ‐ 13,42,9,11,1,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
3,"# # part iii ‐ estimates - - - - - * * hyperlink notice * * the department of national defence report on plans and priorities contains links to third party sites. these links appear underlined in the main document, are written ‐ out in the endnotes section and, in electronic versions of the document, are clickable. the department of national defence provides these links only as a service and convenience. we take no responsibility for the content at third party sites and a link to them in no way implies an endorsement or recommendation of the products, services or information found there. a third party site may have a privacy policy different from that",659,116,130,2,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
4,"of the department of national defence. the department of national defence disclaims all liability with regard to your access to linked web sites. when you link to sites external to the department of national defence departmental web site, you do so at your own risk. the department of national defence makes every effort to ensure that our links to third party web sites lead to content that is accessible and available in both official languages. however, that is not always feasible or possible. - - - - -",507,88,99,2,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
5,# # # table of contents * * minister ’ s message....................................................................................................................,164,12,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
6,...... 5 * * * * section i : organizational overview............................................................................................ 7 * * * * raison d ’ etre.........,179,20,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
7,................................................................................................................................,128,1,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
8,......... 7 * * * * responsibilities.................................................................................................................,149,7,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
9,.............................. 7 * * * * strategic outcomes and program activity architecture................................................................................... 8 * * *,184,16,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
10,* the canada first * * * * defence strategy * * * *..................................................................................................................,165,14,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
11,. 9 * * * * risk analysis........................................................................................................................,145,8,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
12,.......................... 9 * * * * organizational priorities...............................................................................................,157,8,130,3,canada_2012_ReportOnPlansAndPriorities.md,2025-01-28 18:53:48
