chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) republique centrafricaine unite - dignite - * * travail * * strategie nationale de la reforme du secteur de la securite adoptee par le comite technique ddrr / rss / rn en sa seance du vendredi 28 fevrier 2017 a bangui validee par le comite strategique ddrr / rss / rn pre,366,85,130,0,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
2,##side par * * le president de la * * republique chef de l ' etat en sa seance du 10 mars 2017 a bangui.,104,25,35,0,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
3,# table des matieres | introduction. | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | l. | contexte et,279,123,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
4,justification | | contexte politique | | | 1. 1 | | | 1. 2 | les acteurs de la mise en œuvre de la rss | | 1. 3 | cadre legal | | ii. etat des lieux du secteur de la securite | | | 2. 1 | defense nationale | | 2. 2 | securite interieure. | | 2. 3 | justice | | 2. 4 | finances publiques / douane. | | 2. 5 | eaux et forets | | communication | | | 2. 6 | | |,357,93,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
5,"2. 7 | controle democratique | | 2. 8 | services de renseignement | | iii. | vision, objectifs et principes directeurs. | | 3. 1 | vision. | | 3. 2 | objectifs | | 3. 3 | principes directeurs. | | axes strategiques et actions a mener | | | iv. | defense nationale | | 4. 1 | | | 4. 2 | securite interieure. | | 4. 3 | justice | | 4. 4 | finances publiques / douane. |",367,84,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
6,| 4. 5 | eaux et forets | | 4. 6 | communication | | 4. 7 | controle democratique | | 4. 8 | renseignement. | | v. mobilisation des ressources et modalites de gestion. | | | 5. 1 | mobilisation des ressources | | 5. 2 | modalites de gestion. | | vi. | suivi et evaluation | | annexe. | | | liste des acronymes | | | - - - - - - - - - - - - - - -,345,87,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
7,- - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | acap : | agence centrafri,263,124,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
8,"##que presse | | alpc : | armes legeres et de petit calibre | | art : | agence de regulation technique | | ddrr : | desarmement, demobilisation, reintegration et rapatriement | | dgddi : | direction generale des douanes et droits indirects | | faca : | forces armees centrafricaine | | fds : | forces de defense et de securite | | fnb : | forum national de bangui | | fsi : | forces de securite interieure | | lra",413,84,132,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
9,: | lord ' s resistance army ( armee de resistance du seigneur ) | | minusca : | mission multidimensionnelle integree des nations - unies pour la stabilisation en republique centrafricaine | | mse : | mecanisme de suivi et d ' evaluation | | odd : | objectif du developpement durable | | ong : | organisation non - gouvernementale | | pns : | politique nationale de securite | | rca : | republique centrafricaine | | rh : |,423,83,130,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
10,ressources humaines | | rn : | reconciliation nationale | | rss : | reforme du secteur de la securite | | sta : | secretariat technique d ' appui |,147,31,45,1,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
11,"# # liste des acronymes introduction la republique centrafricaine s ' engage dans un nouveau processus de reforme du secteur de la securite ( rss ) s ' inscrivant dans une dynamique de relevement national, suite aux effets des conflits militaro - politiques recurrents : coups d ' etat, rebellions armees, criminalite. ces conflits ont detruit le tissu economique, affaibli les forces de defense et de securite ( fds ),",419,70,130,2,centralafricanrepublic_2017_NationalReformStrategyInTheSecuritySector_noneng.md,2025-01-28 18:57:36
