chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# libro de la defensa nacional de chile! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) יו בין די ברבע מעבור האביב האירופי האירופי האירוני היינו! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png ) 2017,242,67,124,0,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
2,"# # libro de la defensa nacional 2017 autorizada su circulacion por resolucion exenta nº 132, 16 de noviembre 2017, de la direccion nacional de fronteras y limites del estado. la edicion y circulacion de mapas, cartas geograficas u otros impresos y documentos que se refieran o relacionen con los limites y fronteras de chile, no comprometen, en modo alguno, al estado de chile, de acuerdo con el art",400,69,130,1,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
3,"##iculo 2º, letra g ), del dfl nº 83 de 1979 del ministerio de relaciones exteriores.",85,16,33,1,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
4,"# # isbn 978 - 956 - 7728 - 06 - 0 ministerio de defensa nacional todos los derechos reservados. se autoriza la reproduccion y difusion del material contenido en este producto informativo solo para fines educativos sin previa autorizacion escrita de los titulares de los derechos de autor, siempre que se especifique claramente la fuente. se prohibe la reproduccion del material contenido en este producto informativo para venta u ot",433,71,130,2,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
5,##ros fines comerciales sin previa autorizacion de los titulares de los derechos de autor. libro de la defensa nacional! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) de chile 2017! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png )! [ 3 _ image _ 2. png ] ( 3 _ image _ 2. png )! [ 3 _ image _ 3. png ] ( 3 _ image _ 3. png ),321,86,125,2,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
6,"# prologo! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) 4 la defensa nacional ha demostrado, en estos anos en que me ha correspondido desempenar la presidencia de la republica, que continua siendo una institucion fundamental para el desarrollo del estado de chile. desde que se publicara el ultimo libro de la defensa el ano 2010, durante mi anterior gobierno, el pais ha sido asolado por catastro",398,75,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
7,"##fes crecientes en magnitud y frecuencia, las que han provocado perdidas humanas y significativos danos materiales. en todas ellas el ministerio de defensa nacional y las fuerzas armadas han desempenado un papel relevante para enfrentar esos momentos criticos y superar las emergencias durante los procesos de reconstruccion. dotadas de capacidades duales o polivalentes, las instituciones militares han cum",408,58,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
8,"##plido asi con la obligacion que la constitucion y las leyes les senalan. chile cuenta con instituciones de defensa preparadas profesional y materialmente para eso, como resultado del desarrollo de una politica de defensa estable y con vision de largo plazo. los aspectos fundamentales de esta politica han sido plasmados en los sucesivos libros de la defensa nacional que los gobiernos democraticos comenzaron a publicar a partir",431,67,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
9,"de 1997. construir acuerdos amplios en el pais en torno a cual debe ser su defensa no es una tarea sencilla. requiere voluntad politica y pueden existir legitimas diferencias, pero llevar adelante el esfuerzo debe ser una tarea de cada gobierno democratico. es por eso que, como presidenta de la republica, me enorgullezco de presentar el cuarto libro de la defensa nacional, que resume",386,64,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
10,"los avances alcanzados hasta ahora en la evolucion de la politica de defensa de chile. estos textos se inscriben entre las iniciativas mas innovadoras de la gestion civil en el sector de la defensa y, en general, en el sector publico, en las ultimas decadas. junto con las reformas constitucionales de 2005 en lo relativo a este ambito de materias y la promulgacion, el 2010, de la ley nº 20.",392,70,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
11,"424, que establecio el nuevo estatuto organico del ministerio de defensa nacional, la publicacion de los sucesivos libros ha constituido un avance en el continuo mejoramiento de la gobernabilidad democratica de la defensa. esto se ha plasmado tanto en la dimension normativa, materializando las disposiciones constitucionales y legales segun las cuales la conduccion de la defensa debe ser ejercida por la autoridad pol",419,63,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
12,"##itica, como en la dimension practica del control y la conduccion politica o civil en los diversos procesos vinculados a la defensa. de manera explicita, la elaboracion de estos libros ha hecho posible que se profundice la formulacion de la politica de defensa como una politica publica y ha dado mayor transparencia al quehacer del sector a nivel nacional e internacional. junto con propiciar condiciones para que el publico nacional y extranjero di",451,73,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
13,"##sponga de mejores elementos de juicio, el texto recoge el trabajo realizado por el ministerio de defensa nacional, particularmente a partir de fines de 2015, para lograr nuevos estandares de probidad y transparencia en todo el sector. con este fin, y ademas de implementar las medidas generales de probidad dispuestas por las leyes que se han dictado al efecto, se robustecio el rol de las unidades de control interno tanto en las ins",436,73,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
14,"##tituciones militares como en el propio ministerio, se actualizo el reglamento del registro de proveedores y se formulo un plan anual de auditoria. igualmente, se establecieron procesos especificos para uniformar la rendicion de cuentas y fortalecer la prevencion de conflictos de interes. a su vez, en materia de compromisos internacionales de transparencia, se consolidaron practicas de entrega de informacion a las naciones un",430,63,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
15,"##idas y a la union de naciones suramericanas, al tiempo que se incrementaron las medidas de confianza mutua con paises vecinos. este nuevo libro renueva la idea de que la politica de defensa, a cuyos contenidos concurren los aportes de diversos sectores, publicos y privados, es un asunto que compete al conjunto de la sociedad porque esta al servicio de todas y todos quienes habitan en nuest",394,67,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
16,"##ro pais. por otra parte, presentar la politica de defensa a la comunidad internacional es una manera clara de renovar el compromiso que chile asume de resguardar su seguridad exterior con apego a los principios de la carta de la organizacion de las naciones unidas ( onu ), las disposiciones del derecho internacional y la generacion de confianza mediante la transparencia y la cooperacion. este texto, el cuarto desde que el ministerio de",441,73,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
17,"defensa nacional inicio la publicacion de este tipo de documento, establece una linea de continuidad con el anterior, vigente desde el 2010. ese tercer libro se preparo a la par del tramite legislativo que culmino, en febrero de ese mismo ano, con la aprobacion de la ley nº 20. 424 y, en consecuencia, no pudo recoger los contenidos y alcances de esta ley. el cuerpo legal entro en vigor con",392,70,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
18,"efectos modernizadores no solo en la organizacion del ministerio de defensa nacional, sino tambien en los procesos de conduccion, planificacion, operacion y 5! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) gestion de la defensa. el conjunto de cambios desencadenados por esta normativa legal ha podido ser recogido en esta cuarta version del libro de la defensa, texto que describe los avances ins",397,71,130,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
19,"##titucionales materializados, da cuenta de nuevas politicas publicas sectoriales y anticipa su perspectiva de desarrollo en el horizonte de tiempo en que pretende estar en vigor. una de tales materias es la metodologia de planificacion de la defensa. este tiempo ha demostrado la importancia de la norma aprobada en 2010, que radico la elaboracion de la planificacion politica de empleo de la defensa, conocida tambien",419,65,132,3,chile_2017_LibrodelaDefensaNacional_noneng.md,2025-01-28 18:57:31
