chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"politica de defensa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) nacional de chile 2020 "" politica de defensa de chile, edicion 2020 "", aprobada mediante decreto supremo nº004, del 4 de diciembre de 2020, tomado de razon por la contraloria general de la republica con fecha 26 / 04 / 2021. "" autorizada su circulacion por resolucion n° 109 del 16 de diciembre 2020 de la direccion nacional",391,77,130,0,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
2,"de fronteras y limites del estado. la edicion y la circulacion de mapas, cartas geograficas u otros impresos y documentos que se refieran o relacionen con los limites y fronteras de chile, no comprometen, en modo alguno, al estado de chile, de acuerdo con el art. 2°, letra g ) del dfl n°83 de 1979 del ministerio de relaciones exteriores. derechos reservados. los contenidos de este",383,66,130,0,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
3,"libro pueden ser reproducidos en cualquier medio, citando la fuente. se prohibe la reproduccion del material contenido en este libro para venta u otros fines comerciales sin previa autorizacion del ministerio de defensa nacional.! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) politica de defensa nacional de chile 2020! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )! [ 3 _ image",379,77,130,0,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
4,_ 1. png ] ( 3 _ image _ 1. png ),33,12,18,0,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
5,# # iii. * * estrategia de la defensa * * 51 | b. | objetivos y areas de mision de la defensa | 53 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - -,280,116,130,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
6,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | 1. | objetivos | 53 | | a. en seguridad externa | | 53 | | b. en seguridad interna y desarrollo | | 53 | | 2. | areas de mision | 54 | | a. defensa de la soberania e integridad territorial | | 55 | | b. cooperacion internacional y apoyo a,326,99,130,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
7,la politica exterior | | 55 | | c. | seguridad e intereses territoriales | 55 | | d. emergencia nacional y proteccion civil | | 56 | | e. | contribucion al desarrollo nacional y a la accion del estado | 56 | | i. | introduccion | 7 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - |,339,104,130,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
8,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | a. | presentacion | 7 | | b. | desarrollo, seguridad y defensa | 11 | | c. | principios de la defensa de chile | 14 | | ii. | entorno para la defensa de chile | 17 | | a. | terri",300,105,130,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
9,##torio de chile | 17 | | 1. | chile en el continente americano | 18 | | 2. | chile en el pacifico | 24 | | 3. | chile en la antartica | 27 | | 4. | chile en el espacio aereo y ultraterrestre | 30 | | b. | entorno de seguridad y defensa | 33 | | 1. | america | 33 | | 2. | region indo - pacifico | 40 | | 3. | europa y otras regiones de interes para la defensa | 41 | | 4,371,95,132,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
10,". | conflictos y amenazas a nivel global | 42 | | a. naturaleza hibrida de las potenciales amenazas | 43 | | | b. crimen organizado transnacional | 43 | | | c. | seguridad en el ciberespacio | 44 | | d. seguridad en el espacio ultraterrestre | 46 | | | e. | medioambiente y cambio climatico | 47 | | f. | amenazas de origen biologico, quimico y radiologico |",358,74,130,1,chile_2020_PoliticadeDefensaNacional_noneng.md,2025-01-28 18:56:54
