chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# china ’ s national defense in 2004 foreword chapter i. the security situation chapter ii. national defense policy chapter iii. revolution in military affairs with chinese characteristics chapter iv. defense expenditure and defense assets chapter v. the military service system chapter vi. national defense mobilization and reserve force building chapter vii. science, technology and industry for national defense chapter viii. the armed forces and the people chapter ix. international security cooperation chapter x. arms control, disarmament and non - proliferation appendices appendix i. members of the cmc of the cpc appendix ii. leaders of the four headquarters / departments of the pla appendix iii. major military",721,107,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
2,"exchanges with other countries ( 2003 - 2004 ) appendix iv. participation in security consultations ( 2003 - 2004 ) appendix v. joint exercises with foreign armed forces ( 2003 - 2004 ) appendix vi. participation in un peacekeeping operations appendix vii. major military regulations promulgated since 2003 * * foreword * * 前 [UNK] a panoramic view of the present - day world displays the simultaneous existence of both opportunities for and challenges to peace and development, and of positive and negative factors bearing on security and stability. the opportunities cannot be shared and the challenges cannot be overcome unless diverse civilizations, social systems and development models live together harmoniously, trust each other",736,114,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
3,"and engage in cooperation. hence, the pursuit of peace, development and cooperation has become an irresistible trend of history. [UNK] [UNK] [UNK] [UNK] 世 [UNK] ， [UNK] [UNK] 和 平 [UNK] [UNK] 的 [UNK] [UNK] [UNK] [UNK] [UNK] 同 [UNK] ， [UNK] [UNK] 安 [UNK] [UNK] 定 的 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 。 [UNK] [UNK] 文 明 、 社 会 [UNK] [UNK] 和 [UNK] [UNK] [UNK] [UNK] ， [UNK] 有 和 [UNK] 相 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] ， [UNK] 有 [UNK] 信 合 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 。 [UNK] 和 平 、 [UNK] [UNK] [UNK] 、 [UNK] 合 [UNK] [UNK] 成 [UNK] 不 [UNK] [UNK] [UNK] 的 [UNK] 史 [UNK] [UNK] 。 the",612,124,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
4,"development goal for china to strive for in the first two decades of this century is to build a moderately prosperous society in an all - round way. as a large developing country, china has before it an arduous task for modernization, which calls for prolonged and persistent hard work. china will mainly rely on its own strength for development, and therefore poses no obstacle or threat to any one. china needs a peaceful international environment for its own development, which in turn will enhance peace and development in the world. holding high the banner of peace, development and cooperation, china adheres to an independent foreign policy of peace and a national defense policy of",689,115,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
5,"the defensive nature. china will never go for expansion, nor will it ever seek hegemony. 中 国 [UNK] 本 世 [UNK] [UNK] 二 十 年 的 [UNK] [UNK] 目 [UNK] ， [UNK] [UNK] [UNK] 中 力 [UNK] [UNK] 面 [UNK] [UNK] 小 [UNK] 社 会 。 [UNK] [UNK] [UNK] [UNK] 中 的 大 国 ， 中 国 [UNK] [UNK] [UNK] 代 [UNK] [UNK] [UNK] 道 [UNK] ， [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 不 [UNK] 的 [UNK] [UNK] [UNK] [UNK] 。 中 国 [UNK] [UNK] 的 [UNK] [UNK] 主 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 的 力 [UNK] 上 ， 不 会 [UNK] [UNK] 和 [UNK] [UNK] [UNK] [UNK] 人 。 中 国 [UNK] [UNK] 一 [UNK] 和 平 的 国 [UNK]",536,123,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
6,"[UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] ， [UNK] [UNK] 力 [UNK] [UNK] [UNK] 的 [UNK] [UNK] [UNK] [UNK] 世 [UNK] 的 和 平 [UNK] [UNK] [UNK] 。 中 国 [UNK] [UNK] 高 [UNK] 和 平 、 [UNK] [UNK] 、 合 [UNK] 的 [UNK] [UNK] ， [UNK] [UNK] [UNK] 立 [UNK] 主 的 和 平 外 [UNK] 政 [UNK] ， [UNK] [UNK] [UNK] 御 [UNK] 的 国 [UNK] 政 [UNK] ， 永 [UNK] 不 [UNK] [UNK] [UNK] ， 永 [UNK] 不 [UNK] [UNK] 。 - - - - - a major strategic task of the communist party of china ( cpc ) in exercising state power is to secure a coordinated development of national defense and the economy, and to build modernized, regularized and revolutionary",585,125,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
7,"armed forces to keep the country safe. the fourth plenary session of the 16th cpc central committee and the enlarged cpc conference of the central military commission ( cmc ), held successively in september 2004, paid a high tribute to jiang zemin for his outstanding contributions to national defense and military modernization, and appointed hu jintao chairman of the cpc central military commission. meanwhile, the cmc composition was also readjusted and expanded, and the developmental direction for national defense and military modernization clearly defined. in the new stage of the 21st century, china ' s national defense and army building shall be guided by deng xiaoping theory and the important thought",713,111,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
8,"of the "" three represents, "" in an all - round way implement jiang zemin ' s thought on national defense and army building, maintain the fundamental principle and system of absolute party leadership over the armed forces, and take the military strategy of the new era as an overarching guideline to actively push for the national defense and military modernization. [UNK] [UNK] 国 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] ， [UNK] [UNK] 一 [UNK] [UNK] 代 [UNK] 、 正 [UNK] [UNK] 的 [UNK] [UNK] [UNK] [UNK] ， [UNK] 保 国 [UNK] 安 [UNK] ， [UNK] 中 国 [UNK] [UNK] [UNK] [UNK] 政 的 一 [UNK] [UNK] 大 [UNK] [UNK] [UNK] [UNK] 。 2004",642,120,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
9,年 9 月 [UNK] [UNK] 的 中 国 [UNK] [UNK] [UNK] [UNK] 十 [UNK] [UNK] 中 [UNK] [UNK] [UNK] 会 [UNK] 四 [UNK] [UNK] [UNK] 会 [UNK] 和 中 国 [UNK] [UNK] [UNK] 中 [UNK] [UNK] 事 [UNK] [UNK] 会 [UNK] 大 会 [UNK] ， 高 [UNK] [UNK] [UNK] 江 [UNK] 民 [UNK] 国 [UNK] 和 [UNK] [UNK] [UNK] 代 [UNK] [UNK] [UNK] [UNK] 出 的 [UNK] 出 [UNK] [UNK] ， [UNK] 定 [UNK] [UNK] [UNK] [UNK] 中 [UNK] 中 [UNK] [UNK] [UNK] 主 [UNK] ， [UNK] [UNK] [UNK] [UNK] [UNK] 中 [UNK] 中 [UNK] [UNK] [UNK] [UNK] 成 人 [UNK] ， [UNK] 一 [UNK] [UNK] 明 [UNK] 国 [UNK] 和 [UNK] [UNK] [UNK] 代 [UNK] 的 [UNK] [UNK] 方 [UNK] 。 新 世 [UNK] 新 [UNK] [UNK],563,128,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
10,"， 中 国 国 [UNK] 和 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 小 平 [UNK] [UNK] 和 “ 三 [UNK] 代 [UNK] ” [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] ， [UNK] 面 [UNK] [UNK] 江 [UNK] 民 国 [UNK] 和 [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] ， [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] 的 [UNK] 本 原 [UNK] 和 [UNK] [UNK] ， [UNK] [UNK] [UNK] 新 [UNK] [UNK] [UNK] 事 [UNK] [UNK] 方 [UNK] [UNK] [UNK] [UNK] ， [UNK] [UNK] [UNK] [UNK] 国 [UNK] 和 [UNK] [UNK] [UNK] 代 [UNK] [UNK] [UNK] 。 this white paper, china ' s national defense in 2004, is published to illustrate china ' s national defense policies and the progress made in the",617,126,130,0,china_2004_ChinaDefenseWhitePaper.md,2025-01-28 18:56:20
