chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,` ` ` democratic security and defence policy,44,8,10,0,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
2,# # # # presidency of the republic - ministry of defence republic of colombia 2003 ` ` ` - - - - -,98,24,26,1,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
3,# # # # 2 - - - - -,19,10,12,2,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
4,# contents * * letter from the president * * * * 5 * * * * introduction by the minister of defence * * * * 8 * * * * i. democratic security and defence policy * * * * 12 * *! democratic security 12! democracy and human rights 14! territorial control and co - ordinated action of the state 15! co - operation and solidarity 17! efficiency and economy 18! transparency and legality 18! national policies and local responses 19! national defence 19! multilateralism and shared responsibility 19! security and development 21! the option of negotiation 22 * * ii. threats * * * * 23,577,110,130,3,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
5,"* *! terrorism 23! the illegal drugs trade 25! illicit finance 27! the traffic of arms, ammunition and explosives 28! kidnapping and extortion 28! homicide 29 * * iii. strategic objectives * * * * 31 * *! consolidation of state control throughout colombia 31! protection of the population 31! elimination of the illegal drugs trade in colombia 31! maintenance of a deterrent capability 32! transparent and efficient management of resources 32 * * iv. six courses of action : co - ordinate, strengthen, * * * * consolidate, protect, co - operate and * * * * communicate * * * * 33 *",581,105,130,3,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
6,* * * a. co - ordinating state action * * * * 33 * *! national defence and security council 33! joint intelligence committee 33! ministry of defence 34! support structures 35,174,33,42,3,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
7,"# # # # 3 | ii. threats | 23 | | - - - | - - - | | iii. strategic objectives | 31 | | - - - | - - - | | iv. six courses of action : consolidate, protect, c communicate | co - ordinate, strengthen, o - operate and 33 | | - - - | - - - | | a. co - ordinating state act | ion 33 | | - - - | - - - | - - - - - * * b. strengthening state institutions * * * * 35 * *! strengthening the judicial system 35! strengthening the armed",423,113,130,4,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
8,forces 37! strengthening the national police 38! strengthening intelligence 39! strengthening state finances 40 * * c. consolidating control of national territory * * * * 41 * *! cycle of recovery and consolidation 41! recovery of state control over territory 42! maintenance of state control over territory 42! consolidation of state control over territory 42! rehabilitation and consolidation zones 42! integrated border security plan 43! urban security 43! elimination of the illegal drugs trade 44! dismantling of the financial structures of terrorists and illegal drugs traffickers 46 * * d. protecting the rights of colombians and * * * * the nation ` s insfra,666,106,130,4,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
9,##structure * * * * 47 * *! protection of persons at risk 47! protection of victims of forced displacement 47! protection against terrorism 48! protection against kidnapping and extortion 49! protection of the demobilised and child combatants 53! protection against recruitment of children and adolescents by the illegal armed groups 54! protection of the economic infrastructure 55! protection of the roads 56 * * e. co - operating in the security of all * * * * 57 * *! the security of solidarity 57! co - operation networks 57! reward programme 58! international co - operation 58 * * f. communicating state policy and action *,630,108,130,4,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
10,* * * 60 * *! terrorism and communication 60! public diplomacy 61 * * v. financing and assessment * * * * 62 * * * * b. strengthening state institutions * *! strengthening the judicial system! strengthening the armed forces! strengthening the national police! strengthening intelligence! strengthening state finances! cycle of recovery and consolidation! recovery of state control over territory!!! rehabilitation and consolidation zones,437,66,82,4,colombia_2003_PoliticaDeDefensaYSeguridadDemocratica_noneng.md,2025-01-28 18:55:59
