chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# politica de defensa y seguridad pds para la legalidad, el emprendimiento y la equidad ministerio de defensa nacional! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) presidencia de la republica - consejeria de seguridad nacional pendiente creditos pendiente bandera",312,64,107,0,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
2,"# contenido | 4 introduccion 5 1. amenazas 7 2. seguridad para la legalidad, el emprendimiento y la equidad 13 3. ejes de la transformacion estrategica 15 3. 1. agua, biodiversidad y medio ambiente 16 3. 2. seguridad cooperativa 16 3. 3. disrupcion del delito 16 3. 4. del control militar al control institucional del territorio 17 3. 4. 1. fase 1. zonas est",358,64,130,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
3,"##rategicas de intervencion integral - zeii 17 3. 4. 2. fase 2. zonas de construccion de legalidad 18 3. 4. 3. fase 3. zonas de legalidad, emprendimiento y equidad 19 3. 5. innovacion, ciencia y tecnologia 19 4. principios de la politica 20 5. proposito de la politica 22 6. objetivos estrategicos y lineas de politica 23 6. 1. objetivos est",341,61,132,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
4,"##rategicos 23 6. 1. 1. garantizar la soberania, la independencia y la integridad territorial 23 6. 1. 2. proteger a la poblacion y contribuir a su bienestar 23 6. 1. 3. lograr el control institucional del territorio 24 6. 1. 4. preservar y defender el agua, la biodiversidad y los recursos naturales, como activos estrategicos de la nacion e interes nacional 24 6. 1. 5. consol",378,66,132,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
5,"##idar la seguridad para la legalidad y contribuir al emprendimiento y el logro de la equidad 24 6. 1. 6. innovar, transformar y fortalecer el sector de defensa y seguridad 25 6. 1. 7. garantizar la proteccion, profesionalizacion y bienestar de los miembros de las fuerzas militares y la policia nacional y sus familias 25 6. 2. lineas de politica 25 6. 2. 1. disu",364,65,132,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
6,##asion y diplomacia para la defensa y la seguridad 25 6. 2. 1. 1. liderar modelos de seguridad cooperativa y fortalecer la diplomacia para la seguridad y la defensa 26 6. 2. 1. 2. fortalecer relaciones y profundizar las alianzas 26 6. 2. 1. 3. internacionalizacion del sector 26 6. 2. 1. 4. planes binacionales de seguridad fronteriza 27 6. 2. 1. 5. fortalecer las capacidad,375,66,132,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
7,##es militares de defensa para la disuasion 28 6. 2. 1. 6. liderar la lucha contra el delito transnacional 29 6. 2. 1. 7. cooperacion internacional para la seguridad ciudadana 29 6. 2. 1. 8. misiones de paz 29 6. 2. 1. 9. capacidades interoperables para la atencion de desastres y la ayuda humanitaria 30 6. 2. 1. 10. sistema de servicio exterior de defensa y de enlaces,370,68,132,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
8,"internacionales de la policia 30 6. 2. 2. proteccion de la poblacion y seguridad ciudadana 30 6. 2. 2. 1. convivencia, cultura de legalidad, castigo severo a la reincidencia y respuesta a la recurrencia 31 6. 2. 2. 2. sistema de prevencion, convivencia y seguridad ciudadana y sistema integrado de seguridad rural 32 6. 2. 2. 3. calles y vecindarios seguros.",358,61,130,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
9,"perseguir el trafico y comercio urbano de drogas y los delitos de mayor impacto 33 6. 2. 2. 4. red de participacion civica 34 6. 2. 2. 5. prevencion, persecucion y sancion de los delitos que afectan el agua, la biodiversidad y el medio ambiente 35 6. 2. 2. 6. control de armas y persecucion del porte ilegal de armas 35 6. 2. 2. 7. atacar a cada organ",351,69,130,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
10,"##izacion criminal en su conjunto 36 6. 2. 2. 8. proteccion prioritaria a lideres sociales y defensores de derechos humanos 37 6. 2. 2. 9. complementariedad de la seguridad y vigilancia privada con la policia 37 6. 2. 2. 10. ayuda humanitaria, atencion de emergencias y desastres 38 6. 2. 3. accion unificada 38 6. 2. 3. 1. enfoque en areas estrategicas 39 | |",360,65,133,1,colombia_2019_DefenseSecurityPolicy.md,2025-01-28 18:57:17
