chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# cook islands,14,3,5,0,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
2,# national security policy 2023 – 2026 - - - - - - - - - -,58,17,21,1,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
3,# cook islands - - - - -,24,8,10,2,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
4,# # # # # page 11,17,7,9,3,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
5,# # part 1 national security in a complex world,47,10,12,4,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
6,# # # # # chapter 1. cook islands ’ national security,53,12,15,5,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
7,# # # # # 12,12,6,8,6,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
8,# # # # # purpose of the national security policy 13 what is national security? 13 alignment of the national security policy 13,127,24,27,7,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
9,# # # # # 14 16,15,7,9,8,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
10,# # # # # page 4,16,7,9,9,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
11,# # message from the prime minister,35,7,9,10,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
12,"# # # # # our vision, objectives, and principles for national security chapter 2. the evolution of the cook islands ’ security environment and outlook",150,26,31,11,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
13,# # # # # national security in today ’ s world 17,49,13,15,12,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
14,# # # # # page 6,16,7,9,13,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
15,# # executive summary - - - - -,31,9,11,14,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
16,# # # # # page 50,17,7,9,15,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
17,# # conclusion,14,3,5,16,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
18,# # # # # page 23,17,7,9,17,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
19,"# # part 2 building a future of happiness, safety and wellbeing",63,12,17,18,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
20,# # # # # chapter 3. our national security pillars,50,11,14,19,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
21,# # # # # 24,12,6,8,20,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
22,# # # # # pillar 1 machinery of government 26 pillar 2 national systems 31 pillar 3 economy 33 pillar 4 human security 35,121,25,27,21,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
23,# # # # # pillar 5 environmental and resource security pillar 6 political stability and good governance,103,18,20,22,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
24,# # # # # 41 44,15,7,9,23,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
25,# # # # # pillar 7 transnational organised crime 46,51,11,14,24,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
26,# # # # # pillar 8 cyber crime and cyber enabled crimes,55,13,15,25,cookislands_2023_NationalSecurityPolicy.md,2025-01-28 18:55:51
