chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# bezpecnostni strategie ceske republiky - 2001,47,7,21,0,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
2,"# # a. uvod prvni "" bezpecnostni strategii ceske republiky "" schvalila vlada cr jako zakladni koncepcni dokument bezpecnostni politiky statu dne 17. unora 1999. stalo se tak pred vstupem ceske republiky ( cr ) do organizace severoatlanticke smlouvy ( nato ). vlada dokument schvalila s tim, ze bude nejpozdeji do dvo",316,52,130,1,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
3,"##u let novelizovan. novelizovana bezpecnostni strategie vychazi jiz z postaveni cr jako clenskeho statu nato a zaroven kandidata na clenstvi v evropske unii ( eu ). novelizovana bezpecnostni strategie v prvni casti uvadi zakladni vychodiska bezpecnostni politiky cr. charakterizuje bezpecnostni prostredi, definuje",315,42,132,1,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
4,"bezpecnostni zajmy zeme, zamery a opatreni, jejichz cilem je zajistit nebo posilit bezpecnost statu a jeho obyvatel.",116,17,56,1,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
5,"# # b. zakladni vychodiska bezpec * * nostni politiky cr * * cr vznikla 1. ledna 1993. navazuje na demokratickou tradici predvalecneho ceskoslovenska. v bezpecnostni politice prihlizi k poznatkum a zkusenostem s problemy geopolitickeho ukotveni a zajisteni vnejsi bezpecnosti, s nimiz se ceskoslovensko pot",306,45,130,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
6,"##ykalo od sveho vzniku v roce 1918, a ktere dvakrat vyvrcholily vojenskou okupaci ( 1939, 1968 ). vnejsi zasahy a nasledna ztrata nezavislosti, ekonomicka, kulturni i moralni devastace vedly k podlomeni duvery ve smysluplnost hajeni demokratickych hodnot, vcetne vojenske obrany statu. zminene zkusenosti ovli",310,44,133,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
7,"##vnily vztah obyvatelstva k ozbrojenym silam i chovani ceskoslovenska na mezinarodni scene. totalitni minulost se negativne odrazila na ceskem hospodarstvi, duvere obcanu ve statni moc, pravo, mezinarodni zavazky a ovlivnila mezilidske vztahy a pracovni navyky. vyrovnani se s temito dusledky je ukolem cele sp",311,44,133,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
8,"##olecnosti. cr si je vedoma nutnosti posilovat demokraticke i obcanske mechanismy a zdokonalovat vsechny aspekty pravniho statu. rozpad sovetskeho bloku a obnoveni svobody a demokracie v roce 1989 vytvorily podminky, aby nove vznikla ceska republika mohla samostatne definovat bezpecnostni zajmy a bezpecnostni politiku. d",323,44,132,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
9,##ne 12. brezna 1999 cr vstoupila do nato. ziskala tim bezpecnostni zaruky kolektivni obrany v souladu s clankem 5 severoatlanticke smlouvy. soucasne prevzala zavazek posilovat schopnosti individualni obrany a podilet se na obrane spojencu. clenstvi v nato a priprava na vstup do eu rozhodujicim zpusobem spoluurcuji bezpe,322,47,132,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
10,"##cnostni politiku cr. ucast na tvorbe rozhodnuti, ktera ovlivnuji bezpecnostni situaci v celem euroatlantickem regionu, je spojena s povinnosti nest za ne plnou odpovednost a byt pripraven podilet se na jejich uskutecneni. politika cr vychazi z predpokladu nedelitelnosti bezpecnosti a z univerzality zakladnich lids",317,44,131,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
11,##kych prav a svobod. cr proto neni lhostejna k osudu ostatnich narodu a regionu. svoji bezpecnost spojuje s globalni bezpecnostni situaci a je pripravena se spolecne s mezinarodnim spolecenstvim aktivne podilet na predchazeni a reseni techto problemu. cr prednostne usiluje o reseni vzniklych krizi mirovymi pro,312,46,132,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
12,"##stredky, avsak muze v souladu se zakony a ustavnim poradkem rozhodnout i o pouziti sily, bude - li to nezbytne z hlediska ochrany zivotnich zajmu spojeneckych zavazku nebo respektovani etickych principu.",205,31,93,2,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
13,# c. bezpecnostni prostredi,27,4,16,3,czechrepublic_2001_SecurityStrategy_noneng.md,2025-01-28 18:57:29
