chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# koncepce vystavby profesionalni armady ceske republiky a mobilizace ozbrojenych sil ceske republiky,101,13,41,0,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
2,"# # uvod koncepce vystavby profesionalni armady cr a mobilizace ozbrojenych sil cr se snazi odpovedet na vsechny rozhodujici otazky vystavby ozbrojenych sil. proc mit armadu, jake je jeji misto v bezpecnostnim systemu, jak ma vypadat, kdy teto podoby dosahne, kolik to bude stat a co to spolecnosti prinese. pripr",313,50,130,1,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
3,"##ava dokumentu ukazala, ze realizace reformy ozbrojenych sil nebude snadna. bude nesmirne tezke prekonavat strnule mysleni a jednani lidi, kteri posuzuji vsechny zmeny jen z hlediska svych predchozich zkusenosti nebo ve jmenu zachovani sveho soucasneho postaveni a vlivu. bude tezke prekonat protekcionismus a uprednostnova",324,44,132,1,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
4,"##ni vlastnich zajmu jak v ozbrojenych silach, tak v regionech, kterych se reforma dotkne. reforma musi zacit predevsim u lidi. v hlavach a srdcich vsech, kteri se na jejim uskutecneni budou podilet. reforma bude muset mimo jine zacit pochopenim, ze bezpecnost a obrana tvori uceleny system a armada je sice velmi dulezitou, ale jen",332,54,132,1,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
5,"jednou z jeho mnoha slozek. soucasti reformy jsou opravne mechanismy, ktere umoznuji pruzne reagovat na realny vyvoj ve svete, v ceske republice nebo primo v armade a usmernovat skutecny vyvoj reformy. reformu vsak lze uspesne uskutecnit jen tehdy, bude - li zalezitosti celych ozbrojenych sil, podpori - li ji spolecnos",320,50,130,1,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
6,##t a jeji instituce a stane - li se soucasti dlouhodobe koncepce bezpecnosti a obranyschopnosti ceske republiky.,113,17,51,1,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
7,"# # a. analyza soucasneho stavu soucasnym vyvojem ozbrojenych sil ceske republiky se prolinaji ctyri veliciny : vyvoj bezpecnostniho prostredi, zvlaste po 11. zari 2001 ; integrace ceske republiky do nato ; vyvoj vojenstvi a modernich technologii ; dedictvi vlastni vzdalenejsi i nedavne minulosti. jejich",305,45,130,2,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
8,analyza je nezbytnym predpokladem pripravy reformy ozbrojenych sil ceske republiky. zakladni vyvojove tendence v uplynulem obdobi a jejich vyhodnoceni,150,19,67,2,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
9,"# # vyvoj bezpecnostniho prostredi euforie z rozpadu bipolarniho sveta vedla v zainteresovanych statech k plosne redukci pocetnich stavu ozbrojenych sil a k redukci vojenskych rozpoctu. soubezne vsak nedoslo ke kvalitativnim zmenam ve schopnostech ozbrojenych sil a k ucelnejsimu vyuzivani zdroju, ab",300,42,130,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
10,"##y bylo mozno efektivne celit staronovym a novym ohrozenim a konfliktum. k odstraneni teto disproporce smeruji zmeny, ktere dlouhodobe probihaji a budou probihat jak v jednotlivych statech a jejich ozbrojenych silach, tak v oblasti mezinarodni bezpecnostni spoluprace. podle bezpecnostnich analytiku",300,40,132,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
11,"nehrozi v evropskem prostoru v nejblizsich patnacti letech vetsi ozbrojeny konflikt, ktery by nebylo mozne vcas zjistit a racionalne mu celit. ozil vsak militantni nacionalismus a nabozensky fundamentalismus, zejmena islamsky. rozrostl se mezinarodni organizovany zlocin, ktery usiluje o pristup k nejruznejsim zbranim, vcetne",326,43,130,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
12,"zbrani hromadneho niceni. terorismus ziskal nove rozmery. je nadnarodni a skryty. zneuziva sebeobetovani lidi a vyuziva jak tradicnich, tak netradicnich a nestandardnich prostredku. je schopen uderit i na doposud zdanlive bezpecnych mistech. obrana proti nemu je proto souborem jak nevojenskych, tak vojenskych opat",315,43,130,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
13,"##reni na narodni, mezinarodni i globalni urovni. vznikaji nova ohrozeni, ktera jsou dusledkem prohlubovani ekonomickych rozdilu mezi vyspelymi a zaostavajicimi regiony nebo vysledkem pouzivani novych technologii. v bezpecnostnim prostredi, ve kterem se nachazi i ceska republika, se celkove projevuje tendence k narus",318,42,132,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
14,"##tani nevojenskych ohrozeni a k poklesu primych vojenskych ohrozeni. jednotlive hrozby se vsak casto prolinaji a vyzaduji asymetricke reakce. bezpecnostni prostredi se vyznacuje znacnou neurcitosti, kdy hrozby a jejich pripadne aktery nelze jednoznacne identifikovat, a je tedy treba byt pripraven pruzne re",308,42,133,3,czechrepublic_2002_KoncepceVystavbyProfesionalniArmady_noneng.md,2025-01-28 18:57:03
