chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"` ` ` military strategy of the czech republic prague 2002 contents a. introduction 2 b. assessment of the security situation 3 c. mission and tasks of the armed forces of the czech republic 5 d. strategy of military defence of the czech republic 8 e. defence assets and resources 12 f. conclusion 15 ` ` ` - - - - - ` ` ` a. introduction 1. military strategy of the czech republic ( "" military strategy "" hereafter ) is a basic document for the development and employment of the armed forces of the czech republic1 ), based on the principles of defence policy as defined by the security strategy of the czech republic",617,116,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
2,". it reflects the basic provisions of nato strategic concept and related nato military committee guidance for the military implementation of alliance strategy, assessment and expected development of the security environment, as well as the principles of the upcoming reform of the armed forces of the czech republic. 2. the military strategy, together with the relevant legislation, belongs to the basic security documents of the czech republic which, along with the membership of the czech republic in the north atlantic treaty organisation ( "" nato "" hereafter ) and with the obligations of the international law, creates political tasking for execution of military tasks of defence of the country and their definition vis - a ` -",732,117,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
3,"vis other bodies that take part in ensuring security of the country. it also creates, in accordance with the policy of the czech republic, conditions for active participation of the armed forces of the czech republic in the implementation of the european security and defence policy ( "" esdp "" hereafter ). 3. the previous military strategy of the independent czech republic was approved by the government of the czech republic in march 1999, immediately after the czech republic ' s accession to nato. due to a very short time between the accession and the approval of the military strategy, the document could not fully reflect all aspects of the membership. nato membership has principally affected",701,116,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
4,the position of the country in the international security environment and this fact became one of the principal reasons for update of the military strategy and for the reform of the armed forces of the czech republic. other main reasons for these processes were a deeper knowledge of all aspects of nato membership and the assessment of the achieved level of integration within the development of defence capabilities. 4. security of the country is provided by a complex system of measures enabling the armed forces to act either independently or in assistance role for other bodies participating in ensuring security of the country. in this sense the military strategy expresses the basic attitudes and ambitions of the czech republic in the areas of military,760,124,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
5,"defence and the share of the armed forces of the czech republic in ensuring the security ; it sets out their mission, main tasks, principles of use and development, including specification of the necessary assets and resources. ` ` ` - - - - - ` ` ` 5. the chapter titled assessment of the security situation offers a brief review of security threats and risks ; they are the reason why it is necessary to create the capabilities for ensuring military defence. the chapter titled missions and tasks of the armed forces of the czech republic expresses what the armed forces of the czech republic must be able to fulfil in order to ensure the security interests of the",666,120,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
6,"country. the chapter titled strategy of military defence of the czech republic expresses how the defence will be provided and how the armed forces of the czech republic should be prepared for this. the chapter titled defence assets and resources answers the question by what means the tasks of the czech republic? s defence will be executed and what main assets and resources will be needed. b. assessment of the security situation 6. external security environment of the czech republic has fundamentally changed by its accession to nato. by this step, one of the main strategic goals of the security policy of the country has been achieved, ensuring security of the czech republic within the current security environment in",724,119,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
7,"the best possible way. beside strengthening its position in the community of democratic countries and its integration into the strongest defence structure of the present world, the czech republic has assumed an appropriate part of responsibility for the security of its allies and for the implementation of nato security policy. 7. an essential role for the security of the euro - atlantic region is played by the maintenance and development of the transatlantic link, where nato plays a central role in the security - political and defence dimension. the challenges that nato is facing as a result of the developments of the security environment and its engagement in the war on terrorism lead to accentuation and shifting of some priorities and",746,121,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
8,"to widening of the spectrum of the tasks to be dealt with. that corresponds with nato enlargement, internal adaptation and development of nato capabilities, deepening the cooperation with the partners and other non - member countries. 8. as reflected in the common foreign and security policy ( cfsp ), the importance of the european union for ensuring the european security is also being strengthened. further integration of europe is accompanied by an increase in the capabilities of the common european security defence policy ( cesdp ). it will provide the european union with the tools for an independent execution of peacekeeping, rescue and humanitarian operations. the necessary military capabilities, complemented",722,110,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
9,"by police forces and other ` ` ` - - - - - ` ` ` civilian components, are being created through implementation of the european headline goal ( ehg ). 9. internal security of the czech republic is affected by a number of threats and risks. their level is assessed on a regular basis and subsequently reflected in the tasks of the relevant components of the security system. the current trends of growing extent and importance of certain threats and risks are transferred to the increased demands that the armed forces of the czech republic be able to assist the non - military security bodies. 10. with respect to the security strategy of the czech republic, the following",671,119,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
10,"vital and strategic interests are essentially related with the field of activity of the armed forces of the czech republic : ` ` ` - ` vital interests : ensuring of existence, sovereignty, territorial ` ` ` ` integrity, principles of democracy and the rule of law and creation of fundamental conditions for the life of the czech republic? s citizens ; ` ` ` - ` strategic interests : increase in the defensive capabilities of ` ` ` ` the czech republic and its share in the defence of the allies, participation in operations led by nato, other international organisations and ad - hoc coalitions, reinforcing of regional cooperation, nato enlargement, continuation of",667,114,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
11,"the disarmament process, continued u. s. presence in europe, strengthening of security in the euro - atlantic region, participation in the esdp. 11. based on the assessment of the security threats and risks defined in the security strategy of the czech republic, nato strategic concept and related intelligence assessments, the security situation of the czech republic is generally characterised, from the viewpoint of possible impacts on the area of defence and activities of the armed forces, as follows : ` ` ` - ` occurrence of a large - scale conventional aggression against the ` ` ` ` czech republic and nato in the foreseeable timeframe is highly unlikely and a",669,111,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
12,"potential threat will be disclosed sufficiently in advance to enable adequate measures to be taken ; however, in a long - term perspective, this possibility, as well as an attack by weapons of mass destruction, cannot be ruled out. therefore, it must be considered in the concept of development and preparation of the armed forces of the czech republic ; ` ` ` - ` currently, ` ` a ` ` serious ` ` security ` ` threat ` ` is ` ` represented ` ` by ` ` ` ` countries, non - governmental groups and organisations that do not respect the principles of international law and democracy and commit violence, encroach human rights and",627,116,130,0,czechrepublic_2002_MilitaryStrategy.md,2025-01-28 18:54:41
