chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # he zech epublic # t c r # # # # # and its # # rofessional rmed orces # p a f,80,25,35,0,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
2,"# # # # # # jaroslav rousar ministry of defence of the czech republic prague, march 2006 - - - - - © ministry of defence of the czech republic – military information and service agency, 2006 isbn 80 - 7278 - 313 - 0 ( english edition ) isbn 80 - 7278 - 312 - 2 ( czech edition, hardback ) isbn 80 - 7278 - 331 - 9 ( czech edition, paperback ) 2 - - - - -",354,82,98,1,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
3,"# # ntroduction # i _ the czech republic and its armed forces are two notions that are inseparably linked with each other. _ _ the country in the heart of europe, and an institution that is essential for defence of its territory and _ _ protection of its population. in past and in present … _ _ the publication you are now browsing through describes the most important milestones in the development _ _ of the czech statehood ; gradual changes from the dawn of its history up to the present times. it also _ _ reminds numerous cultural and historical monuments created by generations of our forefathers : ancient _ _ towns",623,114,130,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
4,", gothic and renaissance castles, jewels of folk architecture, collections of museums and art galleries. _ _ many of them are so unique and significant that they have been inscribed on the unesco world heritage _ _ list as monuments of outstanding value to humanity, of importance that reaches far beyond the limits of _ _ our territory. _ _ the latest chapter in the history of our nation starts in november 1989. the totalitarian regime in _ _ czechoslovakia gave way, and a perspective of essential changes opened for our country, a way to restoration _ _ of a sovereign democratic nation. key economic reforms and a reform of the state administration have _ _ become a",672,118,130,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
5,"point of departure for our return to the family of european democratic nations. by gradual _ _ integration into the european structures, the czech republic has confirmed its fidelity to democratic _ _ traditions of the pre - war “ first republic ” and the period between the wars. its admission to the structures _ _ representing the framework of european and world democracy and security – to nato in march 1999 and _ _ to the european union in may 2004 – has been a convincing proof of that commitment. _ _ our armed forces and their core – the armed forces of the czech republic – have gone through an _ _ equally essential and profound change. the czech republic ’",668,123,130,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
6,"s accession to the north atlantic alliance _ _ has opened new opportunities in providing security of our country, as in case of threat we can now rely _ _ on the assistance of the alliance member countries. at the same time, nato membership has enabled _ _ us to embark on an essential reform of the armed forces, a reform based on a full professionalisation. _ _ as a result, the conscripts, an inseparable part of our armed forces for decades, have been replaced by _ _ professional soldiers as of 1 january 2005. _ _ implementation of the reform of the armed forces has been currently focused on the achievement of initial",625,114,130,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
7,"_ _ operational capabilities of the armed forces of the czech republic. it means to train, prepare and test the _ _ units of a brigade task force to be ready for operational employment by 31 december 2006. after that date, _ _ the reform process is going to continue ; it will result in forces with capabilities in all respects comparable _ _ to those of the armed forces of other nato countries, and with a structure, armament, equipment, level of _ _ preparedness and personnel numbers corresponding to realistic possibilities of the czech republic by 2012. _ _ the aim is to have mobile, modern and efficient armed forces, capable of effectively supporting the",663,116,130,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
8,czech _ _ republic ’ s security interests by having an adequate and balanced capability to comprehensively meet the _ _ tasks ensuing both from the czech republic ’ s constitution and other laws and from our nato and eu _ _ membership. _ - - - - - 4 - - - - - * * _ the prague castle _ * * 5 - - - - - 6 - - - - -,313,76,80,2,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
9,"# # he zech epublic # t c r the present - day czech republic, as one of the two succession states of the czech and slovak federative republic, emerged on 1 january 1993 ( the other newly established country being the slovak republic ). historically it resumes the tradition of the czechoslovak republic. it consists of the historical lands of bohemia, moravia and the south - eastern part of silesia. the peaceful division of the czech and slovak federative republic and the fact that friendly relations have been preserved between populations of both succession states went down in european history, particularly in the context of disintegration of the former yugoslavia",671,111,130,3,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
10,"and the follow - up events in the balkans, as an important example of a civilised resolution of a nationality dispute. the czech republic is an independent, united state based on the principles of democracy and the rule of law. its capital is prague ( other major towns are brno, ostrava, plzen, liberec, hradec kralove, ceske budejovice, pardubice etc. ) austria slovakia karlovy vary brno - - - - -",400,70,102,3,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
11,"# # # basic data on the czech republic _ residence of the government of the czech republic _ * * area : * * 78, 864 km [ 2 ] ( out of that bohemia 52, 769 km [ 2 ], moravia and silesia 26, 095 km [ 2 ] ) * * geographic position : * * central europe * * climate : * * a combination of oceanic and continental climate the warmest month – july ( 20 °c ) the coldest month – january ( - 2 °c ) * * population : * * c. 10. 3 million ( out of that the capital city of prague c. 1.",474,114,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
12,"2 million ) * * demographic composition : * * czechs ( 81 % ), moravians ( 13 % ), slovaks ( 3 % ), polish, germans, silesians, roma and others ( 3 % ) * * official language : * * czech * * currency : * * czech crown ( czk ) = 100 hellers * * country code : * * cz * * time zone : * * gmt + 1 hour * * total length of national border : * * 2290 km ( max. width of the territory is 278 km, length 493 km ) * * neighbouring countries ( length of common",450,109,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
13,"border ) : germany ( 810. 3 km ) * * poland ( 761. 8 km ) austria ( 466. 3 km ) slovakia ( 251. 8 km ) _ note : the czech republic ranks among medium - sized european countries ; in europe it ranks 21th by area and 14th by population. _ _ house of the deputies of the parliament _ _ the prague castle – residence _ _ senate of the parliament _ _ of the czech republic _ _ of the president of the republic _ _ of the czech republic _ 8 - - - - - constitutional relations, state system and rights and duties of citizens are regulated by the constitution",551,118,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
14,"of the czech republic of 16 december 1992. the constitutional order of the czech republic also includes the list of basic rights and freedoms. state power in the czech republic is executed through legislative, executive and judicial authorities. * * • state system : * * a republic headed by a president elected for a term of 5 years by both houses of parliament on their joint session. * * • legislative authority : the parliament of the czech republic – the highest legislative body ; it has two * * houses – the house of deputies and the senate. the house of deputies consists of 200 deputies elected for 4 years. the senate has 81 senators. their term is",658,120,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
15,"6 years, every second year a third of senators is being re - elected. the composition of political powers in the parliament emerges as a result of free elections. currently, the following political parties are represented in this legislative authority : civic democratic party ( ods ) czech social democratic party ( cssd ) communist party of bohemia and moravia ( kscm ) christian - democratic union – czech people ’ s party ( kdu - csl ) union of freedom – democratic union ( us - deu ) * * • executive authority : president of the republic ( head of state ) and government ( the highest executive * * authority of the state power",632,117,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
16,"; appointed and recalled by the president, accountable to the parliament of the czech republic ). the government consists of the prime minister, deputy prime ministers and ministers. * * • judicial authority : it is executed, in the name of the republic, by independent courts via independent * * judges. the courts ’ jurisdiction and organisation is defined by the law. * * • administrative structure : territorial self - governing entities – 14 regions ( higher units of territorial * * administration ) and 6258 municipalities ( basic territorial units ). liberec region usti nad labem region karlovy vary capital city region of prague pardubice central bohemia",664,109,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
17,region moravia - silesia region region plzen region olomouc region vysocina region zlin region southern bohemia region southern moravia region * * higher units of territorial administration of the czech republic ( as of 1 january 2000 ) * * * * region * * * * code * * * * region * * * * code * * capital city of prague pha hradec kralove hkk central bohemia stc pardubice pak southern bohemia jhc vysocina vys plzen plk southern moravia jhm karlovy vary kvk olomouc olk usti nad labem ul,488,92,130,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
18,##k zlin zlk liberec lbk moravia - silesia msk liberec region usti nad labem region karlovy vary capital city region of prague pardubice central bohemia region moravia - silesia region region plzen region olomouc region vysocina region zlin region southern bohemia region southern moravia region - - - - -,305,50,79,4,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
19,"# # # state symbols of the czech republic _ national flag _ _ state coats of arms – large _ _ state coats of arms – small _ _ national seal _ _ national colours _ _ presidential flag _ _ national anthem ( kde domov muj – where is my home, a song from an 1834 singspiel by frantisek skroup and josef kajetan tyl ) _",314,68,82,5,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
20,"# # # # # # kde domov muj? _ kde domov muj, _ _ kde domov muj? _ _ voda huci po lucinach, _ _ bory sumi po skalinach, _ _ v sade skvi se jara kvet, _ _ zemsky raj to na pohled! _ _ a to je ta krasna zeme, _ _ zeme ceska, domov muj, _ _ zeme ceska, domov muj! _ 10 | col1 | col2 | col3 | | - -",292,77,130,6,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
21,- | - - - | - - - | - - - - -,29,15,17,6,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
22,# # # # # sthe czech republic ' s membership in important international organisations,85,15,18,7,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
23,# # # # # # the united nations ( un ) the czech republic as a newly independent country has been continuing the previous long - time activities of the czechoslovak republic in the un. the czechoslovak republic was one of the 51 founding members of the un since 24 october 1945. the czech republic was admitted as a full member of the un at the renewed 47th session of the general assembly on 19 january 1993 and thus became the 179th full member of the organisation. the unanimous admission of the czech republic was an expression of trust and support to the new country. the first important achievements of the czech republic included its appointment as an elected member of the,679,123,130,8,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
24,"security council ( 29 october 1993 ), its election into the international law committee ( until 1997 ) and the committee on information ( from 1994 ). the czech republic assumed membership in place of the czechoslovak federal republic in the committee on the peaceful uses of outer space ( copuos ), the committee on decolonisation, the special committee on the un charter, and in other un committees and bodies. within the activities of the economic and social council it was elected for the period from 1993 to 1995 to the statistical committee, human rights committee, commission on narcotic drugs ( cnd ) including its regional authority for europe, commission on sustainable",679,112,130,8,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
25,"development and commission for transnational corporations. it is also the member of the trade and development council under the authority of the un conference on trade and development ( unctad ). during the existence of the independent czech republic, czech activities within the un peacekeeping operations in various parts of the world have increased. czech soldiers have been participating in observer missions and czech military contingents take part in peacekeeping operations. the czech republic is doing well in the un, which is also proven by the fact that the un information centre in prague has continued to operate. in its current position it can fulfil its tasks at a higher level not only in the",707,115,130,8,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
26,"czech republic, but also throughout central and eastern europe. the election of the un general assembly chairman on 8 july 2002 was another prominent success of czech diplomacy and evidence of the czech republic ’ s prestige in the un. for the first time in the history of the czech republic and former czechoslovakia, a czech candidate was elected chairman. taking part in the un will always be an inseparable part of czech foreign policy, since the un remains – despite the criticism its activities sometimes evoke – the backbone of the world ’ s multilateral diplomacy.",572,97,110,8,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
27,"# # # # # # the north atlantic treaty organisation 1999 was a historic year for the czech republic. the climactic moment of this year occurred on 12 march, when the seven - year effort to integrate into the transatlantic security structures was crowned at the harry truman library in independence, missouri – the czech republic has become a full member of the north atlantic alliance. the czech republic ’ s accession to nato had been one of the main strategic aims of its foreign policy. the event demonstrated the czech republic ’ s clear intention of being incorporated into the euro - atlantic community of democratic countries and take part in its development. 11 - - - -",676,120,130,9,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
28,"- by joining nato, the czech republic, for the first time in its history going as far back as the founding of czechoslovakia, has become part of a functioning system of collective defence. the new alliance has changed the system of its relationships with the rest of the world and significantly widened the horizon of czech interests – ranging from crisis management within europe to the global context. after more than six years of its nato membership, the czech republic is considered an active and responsible member. nato membership has resulted in further growth of the czech republic ’ s international prestige and its foreign policy opportunities. after its accession to nato, the czech republic has strengthened its responsibility",738,119,130,9,czechrepublic_2006_ProfessionalArmedForces.md,2025-01-28 18:54:59
