chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# cyber defence strategy of the czech republic,46,8,10,0,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
2,# # 2018 – 2022,15,5,8,1,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
3,# # # # # national cyber operations centre - - - - -,52,14,16,2,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
4,"# # # introduction ensuring security of citizens, protecting sovereignty, territorial integrity, principles of democracy and the rule of law belong to the state ’ s fundamental roles. to sustain these values, the state also needs a complex system of state defence based on a long - term vision. substantial social and technological developments have generated the need to change routine forms and methods applied in the field of defence. current conflicts are increasingly waged by asymmetric warfare methods, with many activities taking place in cyberspace. in this context, also fast development of artificial intelligence and robotic systems must be mentioned. the czech republic considers build - up of defence capacities in cyber",734,113,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
5,"##space vital, also with respect to its nato membership, since nato acknowledges cyberspace as a planning and operational domain and a cyber attack as a potential activator of article 5 of the north atlantic treaty. therefore, in accordance with terms of article 3 of the north atlantic treaty, the parties to the treaty should maintain and develop individual as well as collective capabilities to resist even cyber attacks. the czech republic responds to the above mentioned facts and gradually adopts necessary measures. yet, handling of cyber attacks has been hampered by system shortcomings. even though cyber security has reached a high level, a system solution of cyber defence is at the beginning",703,112,132,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
6,"only. moreover, understanding and definition of these terms differ. for the explanation it is convenient to say that according to the government ’ s approach, cyber defence is an autonomous and specific branch of a wider cyber security concept. in this context, cyber defence is perceived as part of state defence ensured on the basis of the act on ensuring defence of the czech republic. the act defines state defence as a complex of measures taken to ensure sovereignty, territorial integrity, principles of democracy and the rule of law, and to protect the lives of citizens and their property from an outer attack. this defence includes building - up of an efficient state defence system, preparation",704,116,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
7,"and engagement of relevant forces and means and participation in the collective defence system. compared with that cyber security is perceived as a complex of tools aimed at ensuring cyberspace protection. these tools can be of varied nature – legal, organizational, 1 - - - - - educational, technical, etc. to put it simply, cyber security is supposed to ensure confidentiality, integrity and availability of information and data in the cyberspace. cyber defence differs from cyber security mainly in the nature and intensity of attacks, with no possibility to define exact criteria. therefore, readiness for cyber attacks must be complex and must not focus on the security field only. the state",696,111,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
8,"must develop also its capabilities to resist even such attacks that might activate the state defence. thus, cyber defence would be activated only in case of the most intense attacks. a specific feature of cyber defence will be the fact that it will be active not only in emergencies – mostly in cooperation with other defence bodies of the czech republic, but also permanently in non - emergency situations. a cornerstone of developing an efficient cyber defence system in the czech republic was a government ’ s requirement anchored in the action plan for the national cyber security strategy 2015 – 2020, where a requirement for building - up and strengthening of cyber defence capabilities was set forth. the responsibility for",730,121,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
9,"cyber defence has been assigned to the national cyber operations centre ( hereinafter ncoc ). the concept has been based on conscious understanding of differences between cyber security and cyber defence. conceptual conditions of proper state defence in cyberspace are defined by this cyber defence strategy, divided into a public and a non - public part. the public part includes basic visions and, generally, also individual objectives, describing the planned end state of individual areas of the problem concerned. the public part is more general due to the nature of the matter at hand, whereas the non - public part brings a list of specific measures planned to be taken to meet individual objectives",705,114,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
10,". the defined measures stem from defence policy principles of the czech republic, reflect current trends of modern defence doctrines and are in full compliance with basic rules of a democratic state. the preparation of these measures respected the premise that the defence is here to maintain and protect basic rights and freedoms of individuals as well as the above mentioned principles and values, since security and freedom do not contradict one another. there is no freedom without security. there is no security without freedom. thus, the defence measures have been prepared on the proportionality principle to ensure that the czech republic is a democratic and safe state with capabilities to protect these values. 2 - - -",728,118,130,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
11,- -,3,2,4,3,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
12,"# # # cyber defence key challenges in the czech republic there is a rather huge number of potential attackers able to carry out a cyber attack that would activate cyber defence of the czech republic, including both state and non - state actors. cyber attacks are namely ideal tools for damaging political, business or other targets, and also a strong tool for the attackers to enforce their own will. at the same time, it is often very difficult to identify the attacker, mainly in real time, which decreases the risk of a potential adequate response. these facts along with relative absence of geographic and similar limitations offer a great advantage to the attacker. primary targets of these",695,118,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
13,"cyber attacks can be especially systems closely interconnecting the computer environment with the real infrastructure, for example in water management, energetics, _ etc. the attacks can even directly target components of the defence _ infrastructure. as to cyber defence of the czech republic, the most important threat stems from growth of offensive cyber capabilities in potentially hostile states. other significant threats include a growing threat of cyberterrorism and systematic strengthening of cybercrime structures as well as mutual interconnection of state and non - state attackers. priorities in the field of cyber vulnerabilities overlap to a great extent in both cyber security and cyber defence.",711,104,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
14,"the most crucial vulnerabilities are low digital literacy and insufficient awareness of individual users of security rules to be observed in cyberspace, mainly in connection with the growing number of the internet of things ( iot ) appliances. furthermore, cyber defence sees increasing vulnerability in growing dependence of the state security forces on information and communication technologies. 3 - - - - - * * most important challenges in detail : * * * * new trends of influence promotion * * recently, the role of non - conventional and unprecedented methods used to achieve political and strategic goals has been growing permanently. the battles have been fought in asymmetric forms. it has become",705,114,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
15,"increasingly difficult to distinguish outer attacks from inside ones. tools of power influence enforcement frequently shift from typical military campaigns to information operations. in this context, the cyberspace plays an important role as part of a broader concept of influence promotion. a real threat stems from engagement of modern robotic military, but also non - military systems or artificial intelligence for these purposes. the threats posed to sovereignty, territorial integrity, principles of democracy and the rule of law have amplified significantly. * * state actors * * the past decade has repeatedly witnessed cyber attacks worldwide. given their sophistication and scale, they have been directly or indirectly ascribed to state actors. individual",765,112,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
16,"states have built strong cyber capacities in different forms, from offensive military capabilities to groups covertly working for the states concerned. they focus on industrial espionage, intelligence collection, disinformation spreading, but also on attacks causing casualties and damage to health and property. this threat is a priority of cyber defence, since the attackers get sufficient material and financial backup to carry out the most intensive attacks. * * cyberterrorism * * a terrorist attack is mostly perceived as a physical threat. however, various terrorist groups more and more frequently declare to enhance their cyber activities. so far, they have used cyberspace mainly as a recruitment or information platform",730,108,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
17,". nonetheless, we expect them to master the skills to carry out even relatively sophisticated cyber attacks soon. * * growing number of iot appliances * * in late 2017, about 20 billion appliances were connected to the internet worldwide. predictions suggest that the number might grow up to 30 billion by the end of 2020, with subsequent further exponential growth. the direct threat does not stem from the number 4 - - - - - of iot appliances, but from their often weak or none protection, which enables the attackers to gain control over these appliances and use them for cyber attacks. * * low digital literacy and insufficient awareness of users of security rules to",671,117,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
18,"be * * * * observed in cyberspace * * this has been a long - known problem. however, growing dependence of the society on information and communication technologies has made it more visible. with regard to cyber defence of the czech republic, it is necessary to mention only poor knowledge of behavior rules in cyberspace and proper operation of the cyberspace among senior state or military officials. the mostly used methods of attackers operating at all cyberspace levels include spear phishing campaigns, malware attacks, compromising of systems through social engineering or manipulation of legitimate user accounts. * * growing dependence of national defence bodies on information and communication * * * *",712,113,130,4,czechrepublic_2018_CyberDefenceStrategy.md,2025-01-28 18:55:21
