chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,y lik b u p e e r k s e gie c e at r t a s n n a r b o! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ),101,41,50,0,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
2,"# predmluva ministryne obrany! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) ceska republika a jeji spojenci celi mimoradne spatne bezpecnostni situaci. rusko svou barbarskou agresi vratilo do evropy mezistatni valku velkeho rozsahu a dava jasne najevo, ze jeho mocenske ambice zdaleka nekonci na ukrajine. dosud se nes",319,56,130,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
3,##mirilo s rozpadem sovetskeho bloku a se vstupem zemi stredni a vychodni evropy do nato a eu. pro dosazeni svych mocenskych cilu nevaha pouzit masivni vojenskou silu a zivoty vojaku i civilnich obyvatel jsou mu lhostejne. tato situace vyzaduje zasadni zmenu naseho pristupu k obrane. po dlouhem obdobi zanedbavani,314,49,132,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
4,"nasich obrannych kapacit jsme si znovu uvedomili, ze obrana je jednim z hlavnich ukolu statu a nezbytnym predpokladem ekonomicke prosperity. nase vlada bere obranu vazne a usiluje o to, abychom rychle napravili nedostatky, ktere v minulych letech vznikly v dusledku politickeho nezajmu a chronickeho podfinancovani. proto d",323,47,130,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
5,"##nes armada ceske republiky prochazi nejvetsi modernizaci ve sve historii. ceska republika nastesti neni na svou obranu sama. vice nez kdykoli drive je zrejme, jak je pro nas dulezita severoatlanticka aliance a obranna spoluprace s nasimi spojenci. clenstvi v nato proto samozrejme zustava zakladem a ramcem ceske obranne politiky. nova obranna strate",352,52,132,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
6,"##gie ceske republiky ( strategie ) vysvetluje, co je nutne ucinit, aby nase obrana byla maximalne verohodna a ucinna a abychom v dostatecnem rozsahu a kvalite prispivali ke spolecne obrane v nato. rada kroku a zmen, ktere jsou ve strategii popsany, pritom jiz probiha. nejdulezitejsim sdelenim nove strategie je duraz na celovlad",330,52,133,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
7,"##ni a celospolecensky charakter obrany. abychom se spolecne s nasimi spojenci dokazali ubranit, musime nejen budovat dobre vyzbrojene, vycvicene a pripravene ozbrojene sily, ale take posilovat celkovou odolnost statu a spolecnosti a pripravovat nasi zemi na prijeti, presuny a podporu ozbrojenych sil nasich alian",314,44,132,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
8,"##cnich spojencu. strategie se proto zabyva take temi predpoklady obranyschopnosti, ktere presahuji pusobnost resortu obrany. nejedna se totiz o "" obrannou strategii ministerstva obrany "", ale o obrannou strategii ceske republiky. svuj dil odpovednosti za obranu zeme mame vsichni. rikam ale zcela jasne : prvoradym ucele",321,46,131,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
9,"##m ceske i aliancni obrany je odstraseni utocnika. nasim cilem neni vest s agresorem valku, ale odradit ho od utoku. pro fungujici odstraseni pritom potrebujeme mit silne obranne kapacity a nezpochybnitelne odhodlani je v pripade napadeni pouzit. jana cernochova ministryne obrany ceske republiky 4. rijna 2023 obrannou strate",327,48,132,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
10,##gii ceske republiky schvalila vlada 4. rijna 2023.,52,8,26,1,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
11,# hlavni sdeleni - rusko napadenim ukrajiny zahajilo nejvetsi vojensky konflikt v evrope od konce druhe svetove valky. - pravdepodobnost vojenskeho napadeni ceske republiky ( cr ) nebo nektereho zjinych statu nato a eu je nejvyssi od konce studene valky. rusko bude dlouhodobe predstavovat nejzavaznejsi hrozbu,310,46,130,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
12,bezpecnosti cr a jejich spojencu. - valka na ukrajine potvrdila naprostou nezbytnost naseho aktivniho clenstvi v nato. ceska republika spolecne se svymi spojenci posiluje schopnost nato odradit protivnika od utoku a ubranit se agresi. - v dusledku rostouci agresivity ruska je hlavni ulohou ceske obranne politiky vs,316,47,130,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
13,"##estranna priprava na dlouhotrvajici obrannou valku vysoke intenzity s technologicky vyspelym protivnikem vybavenym jadernymi zbranemi. [UNK] prvnim prioritnim ukolem je proto budovat dobre vyzbrojene, vybavene, vycvicene a v boji udrzitelne ozbrojene sily nasaditelne do operaci kolektivni obrany. [UNK] druhym prioritnim ukole",329,41,133,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
14,"##m je vsestranna operacni priprava uzemi cr a zabezpeceni prijeti, presunu a podpory potencialne velkeho mnozstvi spojeneckych sil. - obrana neni pouze ukolem ministerstva obrany a armady. podminkou obranyschopnosti cr je zapojeni vsech potrebnych organu verejne spravy i spolecnosti jako celku. - nas stat, spolecnost i ozbroje",329,47,132,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
15,"##ne sily jsou vystavovany systematickemu nepratelskemu hybridnimu pusobeni. hrozbu pro cr predstavuji kyberneticke utoky, dezinformacni kampane, ekonomicky natlak a sabotazni, subverzni a zpravodajske aktivity. - zakladnim nevojenskym predpokladem obranyschopnosti a soucasti verohodneho odstraseni je proto posilovani o",321,37,132,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
16,"##dolnosti statu, spolecnosti a obcanu. - obranu cr nelze zajistit pouze profesionalnimi vojaky. na obrane se musi vice podilet pripravene a dostupne zalohy ozbrojenych sil. - ceska republika proto buduje schopnost valecneho rozvinuti svych ozbrojenych sil vcetne pripravy zaloh, systemu mobilizace, potrebne infrastruktury",323,43,132,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
17,"a porizovani zasob materialu. - obranny a bezpecnostni prumysl je jednim z piliru obrany, zejmena v oblasti zajisteni bezpecnosti dodavek a bojove udrzitelnosti ozbrojenych sil. za timto ucelem bude prohlubovan dialog a partnerstvi mezi statem a prumyslem. - ceska republika bude vytvaret predpoklady pro zapojeni ob",316,46,130,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
18,##ranneho a bezpecnostniho prumyslu do systemu hospodarske mobilizace. - naprosto nezbytnou podminkou obranyschopnosti je dostatecne financni zajisteni. ceska republika proto bude na svou obranu vydavat kazdy rok nejmene 2 % hdp a v pripade potreby pristoupi k dalsimu navyseni obrannych vydaju nad tuto uroven. - sp,316,46,132,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
19,"##olehliva obrana rovnez vyzaduje dostatecne pocetny, motivovany, kompetentni a dobre pripraveny personal pusobici ve vsech oblastech klicovych pro obranu. 1. * * obrana statu patri mezi jeho nejdulezitejsi ukoly. * * je nezbytna pro zajisteni zivotnich bezpecnostnich zajmu uvedenych v bezpecnostni strategii",309,42,132,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
20,ceske republiky. 4,18,3,10,2,czechrepublic_2023_DefenseStrategy_noneng.md,2025-01-28 18:57:40
