chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# security strategy of the czech republic 2023 - - - - -,56,13,16,0,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
2,"# # introductory word from the prime minister dear fellow citizens, after eight years, the government presents to you a new security strategy. more than ever before, this government document speaks not only to the different levels of our public administration system and to the government itself, but it reaches out to our civil society and to every individual. it engages the parliament and recognizes its indispensable role in our security. the fact is that we will never be able to safeguard our security interests completely unless every one of us is aware of and willing to do his or her part. this security strategy is uncommonly open in naming the sources of threats and showing",685,116,130,1,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
3,"how they have forced their way into different aspects of our lives. we believe that to make good decisions, whether in strategic or daily matters, one must be aware of these threats, their reality and their complex interplay. understanding our security environment will help us become a more resilient society. this security strategy does not gloss over the increasingly dire state of the international security environment. it does not reduce russia ‘ s aggression against ukraine to a struggle for the sovereignty and territorial integrity of ukraine. it clarifies how the war represents a threat to the international order as a whole. if the west fails in its responsibility to protect the order,",699,113,130,1,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
4,"it will open the door to potentially even more destructive conflicts. this security strategy shows how external threats, including the risks brought by climate change, directly affect our internal security. precipitating development of technologies and the cyber and information space, along with our economic dependencies, makes the impacts even more severe. czechia ‘ s anchoring in international relations ; the building, development and appropriate financing of its armed forces ; the arrangements we make for our economic, cyber and environmental security ; and the way we build a resilient system and society — all these areas require long - term, strategic and interconnected approaches. i am convinced that",714,108,130,1,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
5,"the new security strategy provides a solid groundwork for this holistic understanding of security. dear fellow citizens, i am presenting to you a document that is realistic and tells you that happier times are not necessarily just around the corner. many of you may see security threats, interests, and priorities in a different light than the government does. i will be very glad if this security strategy inspires you to reflect on and take interest in our common security. petr fiala, prime minister of the czech republic - - - - -",534,92,107,1,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
6,# # content introductory word from the prime minister....................................................................... 1 key messages of the security strategy of the czech republic................................. 4 i. introduction,237,23,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
7,................................................................................................................................,128,1,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
8,..... 5 ii. security policy principles of the czech republic........................................................ 7 iii. security interests of the czech republic................................................,212,18,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
9,....................... 9 iv. security environment....................................................................................................,150,5,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
10,........ 12 characteristics of the security environment........................................................ 12 security threats and sources of instability...................................................,209,14,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
11,.......... 13 v. strategy to promote the security interests of the czech republic................... 19 collective dimension of defence and security..................................................... 21 foreign policy and diplomacy.....................,254,25,130,2,czechrepublic_2023_SecurityStrategy.md,2025-01-28 18:56:25
