chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# danish defence agreement 2010 – 2014 copenhagen, 24 june 2009 the liberal party, the social democratic party, the danish people ’ s party, the socialist people ’ s party, the conservative party, the radical liberal party and the liberal alliance party have entered into the following agreement regarding danish defence for the period 2010 - 1014. * * introduction * * the primary purpose of the danish armed forces is to enforce the sovereignty of the kingdom of denmark and to ensure the continued existence and integrity of the country. in the light of security policy developments in recent decades, the danish armed forces are also assuming an increasing role as one of several important instruments of",708,118,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
2,"a pro - active danish foreign and security policy that, whilst respecting human rights, can contribute to the prevention of conflicts and war as well as the promotion of democracy and freedom in the world. in this context and in the light of the absence of a conventional threat to danish territory, the danish armed forces are currently undergoing an extensive transformation from a traditional mobilisation defence to a modern deployable defence force. by international standards, the danish armed forces have progressed far in this transformation process, and it is vital that this process is continued. denmark ’ s membership of nato is a cornerstone of danish security and defence policy. in a strategic perspective denmark",728,116,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
3,"’ s sovereignty is secured through nato ’ s article 5 commitment to collective defence of alliance territory. at the same time, nato provides a framework for the participation of the danish armed forces in international missions. denmark will thus continue to work in favour of a transformation of the alliance in tandem with the transformation of the military forces of member states, seen also in relation to a strengthening of the demands placed by the alliance on the usability of these military forces. - - - - - an active danish involvement in the un is another cornerstone of danish security and defence policy. denmark should therefore work to ensure that the un continues to constitute the foundation of the",716,121,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
4,"international system as the source for global legitimacy and the establishing of universal norms. furthermore, denmark should contribute to enhancing the un ’ s capability for the conduct of peacekeeping operations. this could be achieved partly through focused cooperation in nordic circles. the already ongoing nordic cooperation on the training and instruction of african peacekeeping forces will be continued and intensified, and potential opportunities for joint nordic peacekeeping operations within the un framework will similarly be pursued. furthermore, in the event of the discontinuation of the danish eu defence opt - out, the danish armed forces must be able to participate in eu operations outside union territory relating to peacemaking, peacekeeping, conflict resolution and",790,114,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
5,"humanitarian assistance as well as to strengthening international security in accordance with the principles of the un charter. the security policy platform for this agreement is based on the security policy recommendations set out in the report drafted by the 2008 defence commission. in relation to the future role of the danish armed forces, it is, amongst other issues, concluded in the report, that the demand for danish military contributions will not be diminished, and thus a continued transformation of the danish armed forces is absolutely necessary. western military forces, including the danish armed forces, must continue to be able to fight conventional conflicts, but there will be an increasing need to be able to participate in",744,117,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
6,"other types of conflicts, such as counter - insurgency operations, peacemaking operations and reconstruction efforts. in summary, the defence commission report recommends that the present national level of ambition regarding the ability of the danish armed forces to contribute to international operations be maintained. on this basis, the level of ambition determined by the political parties behind the defence agreement ( hereinafter referred to as the parties to the defence agreement ) for the danish armed forces is described in the present defence agreement ’ s section on the structure and tasks of the danish armed forces, which thus serves as the basis for the agreement. at the same time, the arctic regions are expected",731,115,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
7,"to gain increasing international importance. the melting of the polar ice cap as a result of global warming will open new opportunities for the extraction of raw materials and the opening of new shipping routes. the rising activity will change the region ' s geostrategic dynamic and significance and will therefore in the long term present the danish armed forces with several challenges. the tasks of the danish armed forces can be divided into national and international tasks. - - - - - the national tasks comprise – besides monitoring of the national territory and enforcement of sovereignty – a range of more civilian - oriented tasks in support of danish society, such as search and rescue operations, environmental",722,119,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
8,"tasks as well as providing support to a number of other public authorities, such as the police, the emergency rescue services and the tax authorities. the international tasks will typically fall within the following main areas : armed conflict, stabilisation tasks and international policing. in relation to the international tasks, the defence commissions report points out that the danish armed forces ’ deployable capabilities in principle should be capable of being deployed globally. this means, for example, that the danish armed forces should have the ability to deploy forces in areas which feature demanding climate and terrain conditions, such as desert and mountain areas. in addition, the danish armed forces should be able",735,113,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
9,"to operate in areas with limited infrastructure as well as in urbanised areas. combined, these operational conditions will therefore place great demands on the danish armed forces ’ personnel, equipment, training, logistical capability and mobility, including for example strategic maritime and air transport capability. in addition, the defence commission report states that it is expected that the future operational environment will continue to place great demands on the operational units of the danish armed forces, with regard also to training and equipment. past developments and expected future developments within international operations indicate, for example, that the future operational environment could be characterised by a high threat level. the accompanying need to protect personnel places",807,114,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
10,"great demands on the equipment, personnel and training of contingents. at the same time, it is expected that the danish armed forces, in connection with international missions, must increasingly be prepared to encounter both asymmetric instruments of warfare ( e. g. improved explosive devices ( roadside bombs ) and suicide attacks ) and more conventional instruments of warfare ( e. g. indirect fire from rockets and mortars ). more technologically advanced instruments of warfare, such as long - range rockets and missiles as well as cyberspace attacks against computer systems, must also be expected to be used against danish contingents from all three armed services. at the same",684,108,130,0,denmark_2009_DefenceAgreement.md,2025-01-28 18:54:27
