chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,10 april 2014,13,3,5,0,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
2,"# # organisation of the management of the danish defence and addition to defence agreement 2013 - 2017 a reorganisation of the senior management will contribute to the further efficiency improvement of the danish defence according to the political defence agreement 2013 - 2017. at the same time, this will provide an opportunity for simplifying the current organisation and reducing the number of levels and authorities within the danish defence. an organisational change will also provide an opportunity for adjusting the organisation of the management of the danish defence to meet future requirements in relation to a co - ordinated and efficient use of resources and handling of tasks. in connection with the amendment of the danish defence act",749,119,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
3,", the government indicated its willingness to discuss a specific proposal for an organisational change of the management of the danish defence with the parties of the ‘ folketing ’ ( danish parliament ), as the current defence agreement states that the area of the joint forces within the danish defence is to be strengthened. in relation to the authority contained within the danish defence act, stating that the minister of defence may administratively determine the more detailed organisation of the management of the danish defence, the parties to the agreement note that it is the government ’ s responsibility to determine the more detailed organisation and limitation of the department of the ministry of defence. also, the parties",738,119,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
4,"to the agreement note that the overall structural organisation of the danish defence is bound by conditions stipulated in the agreement. on the basis of this, and after discussions between the government ( the social democrats and the social - liberal party ), the liberal party ( ‘ venstre ’ ), the socialist people ’ s party, the danish people ’ s party, the liberal alliance and the conservatives, in addition to the political defence agreement 2013 - 2017, the following has been agreed on : there is a consensus to change the organisation of the management of the danish defence in order to significantly simplify the structure, and to achieve a further efficiency improvement.",682,115,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
5,the operational parts of defence command denmark will be merged with the three operational commands into a new joint services military command ( the joint defence command ) under the - - - - - management of the chief of defence. the chief of defence remains the senior military advisor to the minister of defence. the chief of defence will be placed together with part of his staff ( expected up to abt. 125 full time employees ) at the department of the ministry of defence. the majority of the remaining part of the joint defence command will be placed in karup. the joint defence command is to be organised in such a manner that the joint services area will be,663,121,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
6,"strengthened without weakening the professional environments and identities of the special services. the arctic command and the special operations command will enter as authorities into the joint defence command, referring directly to the chief of defence, but with the necessary independent profile and structure defined by the nature of the assignments and the geographical locations of the commands. this is done with a view to the chief of defence ensuring an increased focus on the arctic and the special operations forces with regard to planning and force production, thus also ensuring the necessary support. in accordance with the political defence agreement 2013 - 2017, the parties to the agreement find it of vital importance that these areas should be prioriti",772,120,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
7,"##zed. the arctic command will remain in nuuk. the special operations command will be placed in aalborg. overall planning, resource allocation, and fiscal management will be integrated and joined at the department of the ministry of defence. personnel strategy will also be placed at the department. the chief of defence will be in charge of the military consultancy, which will form the basis of the overall planning and resource management, including of the support services. the chief of defence will thus be able to influence decisions regarding investments in and maintenance of equipment. the chief of defence will be in charge of the maintenance of the equipment of the defence, cf. below",695,112,133,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
8,". the chief of defence will be responsible for the budget pertaining to the operational area. in connection with the establishment of the joint defence command as a new independent authority, which in part will be placed together with the department of the ministry of defence, the ‘ folketing ’ and the public are ensured the same access to the military recommendations and assessments of the chief of defence, as has been the case so far. - - - - - the role and responsibility of the chief of defence with regard to the equipment area and in relation to fiscal management, etc., are described in more detail in appendix 1 and 2, respectively. appendix 3",655,116,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
9,"shows the new overall structure for the organisation of the ministry of defence. appendix 4 is a tentative rendition of the joint defence command, as the chief of defence will determine its organisation in more detail within the framework of this agreement. an annual yield of dkk 170 million is to be achieved by the full implementation of the reorganised management of the danish defence, which will contribute to securing the fiscal aspect of the political defence agreement 2013 - 2017. the defence health service will be assigned to the joint defence command and will be moved from skalstrup to aarhus. the aviation medical clinic is expected to be moved to skrydstr",671,112,130,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
10,"##up. skalstrup will be sold. the maritime surveillance centres will be joined in frederikshavn. the parties to the agreement concur that the number of defence workplaces in bornholm should be maintained despite the closing of the maritime surveillance centre in bornholm. the defence is tasked with drafting a model for this. the model will be presented to the parties to the agreement in the middle of 2014, at the latest. the military units, staffs, and schools, incl. the defence academy, of the defence are to be assigned to the joint defence command. the equipment area will be reorganised with",600,99,132,1,denmark_2014_OrganisationDefenceAddition.md,2025-01-28 18:54:21
