chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"1 1! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) 1 t + 2411 a - 1 1 dansk diplomati og forsvar i en brydningstid verdensmal som ramme for fremtidens udviklingspolitik, stabilisering og økonomisk diplomati / kapitel x / a vejen frem for danmarks interesser og værdier mod 2030 udredning om",337,75,130,0,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
2,"dansk udenrigsog sikkerhedspolitik, maj 2016",44,5,19,0,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
3,"# forord den 15. september 2015 blev jeg bedt om at sta i spidsen for en udredning om danmarks internationale engagement. at regeringen har valgt at bede en person om at sta i spidsen for udredningen - og ikke et ekspert - eller embedsmandsudvalg - har jeg valgt at tolke sadan, at regeringen har ønsket en udredning med kant, som lægger op til en politisk og folkelig debat. denne udred",387,70,130,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
4,"##ning er skrevet i en brydningstid i mere end en forstand. tiden bærer præg af global magtspredning, demografiske udfordringer og en rivende teknologisk udvikling. den europæiske sikkerhedsorden er udfordret. europas næromrade er præget af tilbagevendende kriser, mens eu ' s sammenhængskraft og evne til at tilbyde kollektive løsninger er sat pa prøve",353,52,133,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
5,". endelig abner isens afsmeltning arktis. uden sammenligning i øvrigt befinder ogsa dansk diplomati og forsvar - de primære udenrigspolitiske institutioner i danmark - sig i en brydningstid. bade forsvaret og udenrigsministeriet har under skiftende regeringer haft faldende bevillinger. i en omskiftelig verden stiller det krav til prioritering, fokus og effe",359,51,130,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
6,"##ktiv interessevaretagelse. regeringen har bedt om et bud pa danmarks strategiske interesser, en stærkere samtænkning og koordinering af de eksterne politikomrader samt danmarks kerneopgaver frem mod 2030. udredningen giver sit bud pa disse tre ting, men det er habet, at udredningen vil tjene som udgangspunkt for en bred samfundsdebat. det er pa sin vis allerede lykked",372,56,132,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
7,"##es. der har under udredningsarbejdet været en livlig debat i dagbladene, pa de sociale medier, i tv og under arrangementer hos tænketanke og interesseorganisationer rundt om i landet. som led i udredningsarbejdet har jeg mødtes med en lang række kapaciteter inden for hver deres omrader - over 100 i ind - og udland. og jeg har deltaget i en række",349,60,132,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
8,"debatarrangementer, konferencer og rundbordsdiskussioner. sammen med mine medskribenter i det sekretariat, der blev oprettet til støtte for udredningsarbejdet, har jeg ogsa genbesøgt tidligere danske og udenlandske udredninger og rapporter. den eksterne følgegruppe har bidraget med inspirerende indspil til udredningen og har givet konstruktivt medspil",353,44,130,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
9,"og modspil fra start til slut. udredningens anbefalinger og konklusioner er dog helt pa mit eget ansvar. med de snævre tidsrammer og det brede mandat har udredningsopgaven kun kunnet løses med en uvurderlig indsats fra udredningssekretariatet bestaende af mikael ekman, mogens christoffersen og ole sidenius. udenrigsøkonomisk analyseenhed, ruslandskontoret og handelspolitis",375,50,130,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
10,"##k kontor i udenrigsministeriet, forsvarets efterretningstjeneste og rolf holmboe har lagt et stort arbejde i de analysebidrag, som udredningen i vidt omfang bygger pa. det samme har den interne skrivegruppe bestaende af fem souschefer i udenrigsministeriet og fire kontorchefer i forsvarsministeriet, der har leveret bistand til analyse - og sk",346,50,132,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
11,"##rivearbejdet. endelig har der været værdifuld sparring med en kreds af ambassadørkollegaer. det er min forhabning, at denne udredning kan inspirere til en ny made at tænke og formulere dansk udenrigspolitik pa. københavn, den 1. maj 2016 peter taksøe - jensen ambassadør",272,42,108,1,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
12,"# særlig tak til bidragsydere mange har bidraget til udredningen. ud over de utallige mennesker, der har stillet sig til radighed for møder og samtaler, har en lang række medarbejdere i særligt udenrigsministeriet og forsvarsministeriet bidraget med faktuelle bidrag og sparring pa deres fagomrader og fortjener alle en stor tak. desuden",337,51,130,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
13,"har en række personer stillet sig særligt til radighed og leveret en stor indsats hele vejen gennem arbejdet med udredningen. de fortjener en særligt stor tak. udover de tre medarbejdere i udredningssekretariatet gælder det : den eksterne følgegruppe med repræsentanter fra forskningsmiljøet, erhvervsorganisationer mv. : anne steffen",334,47,130,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
14,"##sen, birgitte qvist sørensen, catharina sørensen, helle malmvig, henrik breitenbauch, jens klarskov, karen hækkerup, karsten dybvad, kjeld erik brødsgaard, lykke friis, martin marcussen, mikkel vedby rasmussen, nanna hvidt, niels wang, ole wæver, philipp schroder, poul engberg - pedersen, rebecca adler - nissen, sten rynning og torben moger pedersen.",354,48,132,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
15,"den interne skrivegruppe bestaende af souschefer fra udenrigsministeriet og kontorchefer fra forsvarsministeriet : søren jacobsen, jakob linulf, lotte machon, lars von spreckelsen - syberg, kristoffer vivike, joachim finkielman, jens oddershede, lars salquist og thomas kvistholm thrane. medarbejderne i udenrigsministeriets analyseenhed : morten lykke lauridsen, torkild by",374,46,130,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
16,"##g, jacob warburg og poul erik dam kristensen. en række medarbejdere i forsvarets efterretningstjeneste. det netværk af ambassadører, der har været knyttet til udredningen : anders carsten damsgaard, carsten staur, casper klynge, christian dons christensen, danny annan, hanne fugl eskjær, lars gert lose, mette thygesen, michael zilmer - johns, niels boel abrahamsen, ole",373,53,132,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
17,"thonke, trine rask thygesen, tove degnbol og vibeke pasternak jørgensen.",72,10,30,2,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
18,# indhold | sammenfatning i indledning xiv | 5. 2. 3 styrket indsats i lande i skrøbelige situationer 54 5. 2. 4 samtænkte stabiliseringsindsatser 55 5. 2. 5 forebyggelse af migration 56 5. 2. 6 pejlemærker for ny udviklingspolitisk strategi 57 5. 3 økonomisk diplomati 58 5. 3. 1 dansk erhvervslivs internationalisering 59 5. 3. 2 geografisk,342,57,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
19,"og sektormæssig prioritering 60 5. 3. 3 globale spilleregler og handelspolitik 61 5. 3. 4 teknologi, innovation og arbejdskraft 63 5. 4 myndigheder og vækstradgivere 64 5. 5 finansiering og projektledelse 65 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",301,79,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
20,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
21,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
22,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
23,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
24,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
25,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
26,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
27,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
28,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
29,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
30,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
31,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
32,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
33,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | kapitel 1. en interessebaseret, samtænkt og fokuseret udenrigspolitik 1 1. 1 danmarks afsæt i verden 2 1. 2 udenrigspolitikken",276,94,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
34,##s formal og metode 3 1. 3 danmarks nationale interesser og værdier 3 1. 4 fordele ved en interessebaseret udenrigspolitik 4 1. 5 hvordan fastlægges danmarks interesser? 4 1. 6 prioriteringsværktøj 5 1. 7 koordinerede indsatser mod fælles mal 6 | kapitel 6. forsvarets opgaveløsning 69 | | | kapitel 2. den globale udvikling mod 2030 7 2. 1 ud,344,60,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
35,"##viklingstræk 8 2. 1. 1 europa ved en korsvej 8 2. 1. 2 europæisk sikkerhedsorden under pres 9 2. 1. 3 konflikter, skrøbelighed og ekstremisme 9 2. 1. 4 isens afsmeltning abner arktis 10 2. 1. 5 det økonomiske tyngdepunkt rykker mod øst 10 2. 1. 6 befolkningsvækst skaber grobund for migration 12 2. 1. 7 megaby",312,57,133,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
36,##er med globale ambitioner 13 2. 1. 8 klimaforandringer og energiproduktion 13 2. 1. 9 teknologisk sammenkoblede samfund 14 2. 2 pa vej mod en ny international orden 14 2. 3 globalt samarbejde med magt pa flere hænder 15 | 6. 1 | rammer for forsvaret 70 | | | 6. 2 | strategiske vilkar for kongeriget danmark 71 | | | 6. 2. 1 | usa og den globale magts,353,71,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
37,##predning 71 | | | 6. 2. 2 rusland og den europæiske sikkerhedsorden 71 6. 2. 3 ændrede vilkar i østersøregionen 72 6. 2. 4 arktis i forandring 72 6. 2. 5 skrøbelige og sammenbrudte stater 73 6. 2. 6 en konstant terrortrussel 73 6. 2. 7 spredning af masseødelæggelsesvaben og fremføringsmidler. 73 6. 2. 8 cyber 73,315,58,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
38,6. 2. 9 ændrede sikkerhedspolitiske vilkar 74 6. 3 et aktivt danmark i det internationale forsvarssamarbejde 75 6. 4 nato garanterer danmarks sikkerhed 75 6. 5 forsvarets ressourcesituation nu og i fremtiden 77 6. 6 forsvarets fremtidige indretning 79 6. 6. 1 søværnet 80 6. 6. 2 hæren 81 6. 6. 3 flyvevabnet 81 6. 6. 4,319,57,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
39,"specialoperationsstyrker 82 6. 6. 5 cyberkapacitet 82 6. 6. 6 hjemmeværnet 82 6. 6. 7 beredskabet 83 6. 6. 8 forsvarets rolle i arktis 83 | | | kapitel 3. udenrigstjenestens opgaveløsning 17 3. 1 udenrigstjenestens aktuelle rammer 18 3. 1. 1 globaliseringens vilkar og nye tendenser 19 3. 1. 2 bevillinger, repræsentation",321,53,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
40,##er og medarbejdere 20 3. 2 fremtidens udenrigstjeneste 21 3. 3 fremtidens diplomat 22 3. 4 fremtidens ambassade 22 kapitel 4. danmarks strategiske interesser i en forbundet verden 25 4. 1 multilaterale indsatser og international orden 26 4. 1. 1 den europæiske union 26 4. 1. 2 nato 29 4. 1. 3 fn og det multilaterale system 30 4. 1. 4 international retsord,359,63,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
41,##en og menneskerettigheder 31 4. 2 danmarks bilaterale interesser og indsatser 32 4. 2. 1 europa og usa 32 4. 2. 2 rusland og østeuropa 33 4. 2. 3 arktis 35 4. 2. 4 mellemøsten og nordafrika 37 4. 2. 5 afrika syd for sahara 38 4. 2. 6 asien 40 4. 2. 7 latinamerika 41 4. 3 danmark i en sammenkoblet verden 42 4. 3. 1 borgerservice og beredskab,344,70,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
42,42 4. 3. 2 public diplomacy og krisekommunikation 45 | kapitel 7. vejen frem for danmarks interesser og værdier 85 7. 1 danmarks strategiske orientering 86 7. 2 kerneopgaver og prioriteter 87 7. 3 samtænkning og koordinering af danmarks udenrigspolitik 87 7. 3. 1 en samtænkt udenrigspolitik 87 7. 3. 2 en national udenrigs - og sikkerhedspolitisk strate,354,58,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
43,"##gi 88 7. 3. 3 omradestrategier for kerneopgaverne 88 7. 3. 4 den interne beslutningsproces - koordinerede regeringsbeslutninger 88 7. 3. 5 den eksterne beslutningsproces - folketingets inddragelse... 89 7. 4 konklusion 89 | | | kapitel 5. udvikling, stabilisering og økonomisk diplomati... 47 | bilag | 91 bilag 1 : kommissorium 92 bilag",339,54,132,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
44,2 : sammenfatning af følgegruppens drøftelser 94 bilag 3 : arrangementer og institutioner konsulteret under udredningsarbejdet 102 | | 5. 1 | fn ' s verdensmal og danmarks globale engagement 48 | | | 5. 2 | nytænkning af udviklingspolitik og stabilisering 49 | | | 5. 2. 1 | hovedindsatsomrader 52 | | | 5. 2. 2 bæredygtig vækst gennem partnerskaber 52,352,63,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
45,| baggrundsanalyser og datagrundlag i separat bilagsbind | | | med afsæt i kongeriget danmarks særtræk og placering i verden … | | - - - | | udenrigspolitikken skal varetage danmarks nationale interesser og værdier | | - - - | | … og offentlig debat om danmarks rolle i verden | | - - - - - - - - - - - - - - - - - - - - - - - - - - -,334,81,130,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
46,- - - - - - - - - - - - - - - - - - - - - - - - | | … skaber behov for et frisk kig pa de udenrigspolitiske prioriteter … | | - - - |,133,44,59,3,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
47,"# sammenfatning "" brydningstid : … tid med uro og omskiftelser "" global magtspredning, nye trusler og hastig teknologisk udvikling … dansk diplomati og forsvar skal i de kommende ar operere i en verden, der pa mange mader befinder sig i en brydningstid. det økonomiske tyngdepunkt forskyder sig mod asien, den teknologiske udvikling ændrer vilkaren",348,55,130,4,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
48,"##e for mennesker, virksomheder og myndigheder. europas sikkerhed og værdigrundlag udfordres, og næromradet præges af kriser og sammenbrud, som har stor betydning for danmark. mulighederne og udfordringerne er mange og mangeartede, og ressourcerne begrænsede i en tid, hvor dansk diplomati og forsvar under skiftende regeringer har haft faldende bevill",352,49,132,4,denmark_2016_DefenceDiplomacy_noneng.md,2025-01-28 18:57:05
