chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,agenda nacional de seguridad interna y externa seguridad interna y externa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ),121,27,44,0,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
2,"# hacia una nueva politica de seguridad interna y externa seguridad, soberania y democracia, siglo xxi ag nda nac ona d s gur dad nt rna y xt rna! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png )",192,45,76,1,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
3,# hac a una nueva polit ca de segur dad nterna y externa segur dad soberan a y democrac a s glo xx gustavo larrea cabrera ministro coordinador de seguridad interna y externa equipo de redaccion :! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) gustavo larrea ministro coordinador de seguridad interna y externa magdalena molina riofrio secretaria tecnica daniel ponton - consultor colaboradores,393,72,130,2,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
4,": ivan arias sanchez santiago perez gerente de la empresa praismel, s. a. responsable de la encuesta nacional agosto 2008 ministerio coordinador de seguridad interna y externa benalcazar 675 y espejo, edificio la union telfs. : ( 593 ) 2 2580 - 737 / 2954 534 www. micsie. gov. ec impresion : j. m. impresores diseno y diagramacion : oswaldo davila quito - ecuador septiembre, 2008",381,66,127,2,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
5,# # indice | presentacion | 7 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | capitulo i : proceso de construccion de la agenda de seguridad interna y,292,115,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
6,"externa | 14 | | 1. 1 metodologia democratica | 16 | | 1. 2 resultados de los procesos de construccion de la agenda de seguridad | 17 | | 1. 3 vision contextual y operativa de la agenda de seguridad | 21 | | capitulo ii : hacia una nueva politica de seguridad interna y externa | 25 | | 2. 1 seguridad, soberania y democracia, siglo xxi | 26 | | capitulo iii : hacia una nueva pol",380,80,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
7,##itica de estado de seguridad interna y externa | 39 | | 3. 1. diferenciaciones necesarias | 39 | | 3. 2. america latina y su historia de seguridad | 48 | | capitulo iv : la seguridad en ecuador | 65 | | 4. 1 breve historia sobre la doctrina de seguridad en ecuador | 65 | | 4. 2 la doctrina de la seguridad nacional y las dictaduras en ecuador : anos 60 y 70 | 69 | | 4. 3 la vuelta a,386,86,132,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
8,"la democracia : decada de los 80 | 71 | | 4. 4 decada de los 90 | 73 | | 4. 5 decada del 2000 | 78 |! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png ) 4. 6 hecho inedito a la violacion de la seguridad y soberania de los estados : bombardeo a angostura, provincia de sucumbios, ecuador por parte del gobie",348,88,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
9,"##rno colombiano el 1 de marzo de 2008 87 presentacion! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png )! [ 4 _ image _ 2. png ] ( 4 _ image _ 2. png ) dra. magdalena molina riofrio secretaria tecnica del ministerio coordinador de seguridad interna y externa el gobierno de la revolucion ciudadana del economista rafael correa, presidente",382,83,133,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
10,"constitucional de la republica del ecuador, tiene como eje fundamental transformar el sistema politico neoliberal, que ha agudizado la inequidad y la corrupcion, para transformarlo en un sistema de profundizacion de la democracia en todos los ambitos que le corresponden al estado ecuatoriano, desde el acceso de sus ciudadanos a los derechos sociales basicos, a la justicia, equidad, acceso a las oportunidad",409,62,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
11,"##es de desarrollo, a la participacion de una economia solidaria ; es decir : al buen vivir con calidad de vida, dignidad y desarrollo sustentable. estos avances requieren, a la vez, la transformacion del sistema de seguridad del ecuador, que fue disenado en la epoca de la doctrina de la seguridad nacional, una doctrina militarista y represiva, disenada para la defensa limitrofe de los territorios",400,65,132,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
12,"y para la supresion, con caracter policial, de los grupos que supuestamente amenazaban el orden publico. esta doctrina, que se aplicaria en todo el continente durante la epoca de la guerra fria, permitio que las fuerzas de | capitulo v : la agenda nacional de seguridad interna y externa | 93 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",364,87,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
13,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - | | 5. 1 hacia una politica de seguridad, soberania y democracia del siglo xxi | 93 | | 5.",276,113,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
14,2 la seguridad en el contexto actual de la revolucion ciudadana | 94 | | 5. 3 principio de la democracia participativa | 97 | | 5. 4 la nueva politica de seguridad con un enfoque integral | 98 | | 5. 5 lineamientos basicos para el sistema nacional integral de seguridad | 102 | | capitulo vi : lineamientos de politicas publicas sectoriales de seguridad interna y externa | 104 | | 6. 1 metodologia,398,76,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
15,democratica de la agenda se seguridad soberania y democracia. | 104 | | 6. 2 politica general de seguridad interna y externa. | 110 | | 6. 3 lineamientos de politicas intersectoriales de seguridad interna y externa | 111 | | anexos | 115 | | anexo a : encuesta nacional sobre percepciones de la ciudadania en temas de seguridad interna y externa | 117 | | anexo b : foros regionales - propues,392,74,130,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
16,##tas amenazas y estrategias comunes | 128 | | anexo c : extracto del listado de instituciones presentes en los siete foros regionales de seguridad interna y externa | 140 |,173,31,60,3,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
17,"# # objetivo de la agenda seguridad actuaran frente a las amenazas internas, con enfrentamientos en contra de individuos o grupos politicos de caracter insurgente u opositor. construir la agenda nacional de seguridad interna y externa a traves del dialogo y la concertacion con la ciudadania, las instituciones del estado y las organizaciones de los distintos sectores de la sociedad civil con una vision de seguridad, soberania",428,67,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
18,"y democracia. hoy, en pleno siglo xxi, ecuador avanza con nuevos brios, con los nuevos horizontes democraticos de una patria nueva. como parte intrinseca de este nuevo modelo democratico, que da nacimiento a las politicas transformadoras, el ministerio coordinador de seguridad interna y externa del ecuador ha emprendido un esfuerzo de coordinacion y articulacion para lograr una transformacion, acorde con las politicas del actual gobie",438,65,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
19,"##rno nacional y el plan nacional de desarrollo. coordina, estrechamente, las instituciones que son parte del gabinete de seguridad : ministerio de defensa nacional, ministerio de gobierno y policia, ministerio de relaciones exteriores y comercio exterior, ministerio de justicia y derechos humanos, secretaria nacional anticorrupcion, secretaria tecnica de plan ecuador, y secretaria tecnica de gestion de riesgos, ( estas dos ultimas, son secret",447,63,133,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
20,"##arias adscritas al ministerio coordinador de seguridad ) organismos institucionales que, por su naturaleza juridica, tienen el mandato de impulsar e implementar las politicas publicas para precautelar la seguridad interna y externa del pais y la de su mandante, que es el pueblo ecuatoriano, en sus respectivos ambitos de gestion gubernamental. esta nueva politica de seguridad se institucionaliza como politica de",416,61,131,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
21,"estado para sentar las bases y los principios democraticos que renuevan la doctrina nacional de seguridad interna y externa, bajo los principios de los derechos humanos, establecidos en la constitucion de la republica del ecuador ; del derecho internacional que precautela el derecho a la no intervencion y soberania de los pueblos, y del derecho internacional humanitario. bajo esta proyeccion, el ministerio coordinador de seguridad interna y",444,67,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
22,"externa diseno el proyecto construccion de la agenda de seguridad con enfoque de soberania, derechos humanos y democracia. la gestion de este proceso, en coordinacion activa y propositiva con las instituciones que conforman el gabinete de seguridad, se ha centrado en la tarea de impulsar una metodologia democratica con mecanismos de participacion ciudadana e interinstitucional. se partio, en",394,58,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
23,"su primera fase, con la realizacion de la encuesta nacional sobre la percepcion de la ciudadania sobre seguridad interna y externa, dirigida a los diversos sectores ciudadanos, tanto en las areas urbanas como en las rurales del pais. las siguientes fases se han realizado en consecutivos dialogos, bajo la modalidad de foros regionales y mesas de trabajo. metodologias y modalidades que abrieron la oportunidad",410,64,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
24,"para debatir y consensuar los distintos ambitos de seguridad interna y externa, a fin de garantizar que esta nueva politica de seguridad sea fruto del consenso de la sociedad civil con las instituciones del estado. las propuestas recogidas dan las pautas para la nueva politica de seguridad, sobe - dentro de estos compromisos del gobierno de la revolucion ciudadana, el ministerio coordinador de segur",402,64,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
25,"##idad interna y externa, con las instituciones de su gabinete, impulsa la nueva politica de seguridad, soberania y democracia, como politica del estado ecuatoriano con una vision democratica y de derechos humanos, correspondiente a los desafios del siglo xxi, y a la politica de seguridad global que se ensana en justificar la violacion de la soberania de los pueblos, so pretexto de la lucha contra el terrorismo. 8 9 rania",425,70,133,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
26,"y democracia, y se transformaran en politicas publicas y planes de accion que formaran parte de la agenda de seguridad de la ciudadania y del estado ecuatoriano. este proceso se constituye en la reafirmacion de la revolucion ciudadana ecuatoriana ; fortalece, en la practica, la democracia participativa, la vigencia del estado social de derecho ; e imprime una politica de seguridad interna y externa integ",407,65,130,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
27,"##racionista latinoamericana que parte desde sus propios intereses comunes en la construccion de los territorios de paz, solidarios, dignos y soberanos, sumandose, asi, a los esfuerzos de la region que emergen, hoy, con claridad e identidad propia. la agenda nacional de seguridad interna y externa, recogida en el presente libro, plantea el concepto integral de seguridad, soberania y democracia, como politica de estado",421,63,132,4,ecuador_2008_NationalSecurityAgenda_noneng.md,2025-01-28 18:58:05
