chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,dela defeidsa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png ) agenda politica de la defensa eco. rafael correa delgado presidente constitucional de la republica valm. homero arellano lascano mini,335,85,130,0,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
2,##stro de coordinacion de seguridad javier ponce cevallos ministro de defensa nacional dra. rosa mercedes perez viceministra de defensa nacional subsecretaria de defensa subsecretaria de planificacion y economia de la defensa subsecretaria de apoyo al desarrollo adrian lopez andrade alejandra teran zumarraga colaboracion senplades manthra editores diseno y diagramacion 2011. quito - ecuador,393,53,119,0,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
3,# # indice | presentacion | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | prologo,269,124,130,1,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
4,| | | introduccion. | | | i. - | marco normativo y de planificacion. | | diagnostico | | | ii. - | escenario 2013. | | iii. - | | | iv. - | concepcion politica de la defensa del estado. | | v - | politicas y estrategias de la defensa. | | ambitos de la defensa | | | 1. politica y gestion | | | 2. militar. | | | 3. apoyo al desarroll,334,79,130,1,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
5,##o. | | | 4. cooperacion interinstitucional e internacional. | | | 5. derechos humanos y derecho internacional humanitario.. 47 | | | 6. ambiente | |,150,27,52,1,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
6,"# la seguridad es tarea de todos or mandato de la constitucion de montecristi, el ecuador, estado soberano y democratico, reconoce y garantiza a todas las personas y colectivos, entre otros derechos, los que se refieren a gozar de : una cultura de paz, integridad personal, seguridad humana ;! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 1. png ] ( 4",367,75,130,2,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
7,"_ image _ 1. png ) proteccion integral y armonia con el buen vivir. con los lineamientos y las politicas construidas desde el nuevo enfoque de la seguridad, hoy entregamos a la ciudadania el "" plan nacional de seguridad integral "" y ocho agendas de los ministerios y secretarias que conforman el sector e incluyen una vision estrategica, en el entendimiento inmutable de que el ser humano es la razon de toda accion estatal.",424,74,130,2,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
8,"esta planificacion, construida desde un enfoque integral, refleja el trabajo coordinado, instituido por el gobierno de la revolucion ciudadana, que articula politicas transversales alineadas a : la constitucion, la ley de seguridad publica y del estado y, por supuesto, al plan nacional para el buen vivir. para el gobierno nacional, la seguridad es una prioridad, superando concepciones sectarias y planteando el nuevo",419,62,130,2,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
9,"paradigma de la seguridad integral en el ecuador. ademas, se han destinado importantes recursos economicos y humanos para enfrentar con firmeza a la delincuencia. en respuesta a la voluntad del pueblo ecuatoriano, expresada en las urnas, el 7 de mayo de 2010, al aprobar la consulta popular, hoy esta en marcha la transformacion total de la justicia, paso gigantesco de lucha contra la impunidad, atrapada en la incapacidad y la corr",433,71,130,2,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
10,"##upcion, pues no habra seguridad mientras no acabemos con la impunidad, que es sinonimo de injusticia. la seguridad integral no se alcanza con esfuerzos aislados, por el contrario, exige el autentico compromiso de todos y todas, desde los mas diversos ambitos. de la misma manera, es indispensable orientar una inmediata transformacion cultural, tendiente a ratificar la conviccion de que somos un pais de paz y",412,65,132,2,ecuador_2011_DefensePolicyAgenda_noneng.md,2025-01-28 18:56:44
