chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national security concept of the republic of estonia,54,9,11,0,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
2,# # ( 2004 ) - - - - -,22,10,12,1,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
3,"# # # contents * * introduction * * 1. * * the national security policy goal, basic guidelines and security threats * * 1. 1. the national security policy goal and basic guidelines 1. 2. security policy developments in the world and estonia ’ s position in the international security environment 1. 3. threats to national security 2. foreign policy in ensuring national security 2. 1. nato 2. 2. european union 2. 3. other international organisations 2. 4. bilateral and multilateral security relations 2. 4. 1. transatlantic relations 2. 4. 2. security relations in the baltic sea region 2. 5. participation",608,102,130,2,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
4,in international peace and security efforts 2. 5. 1. international crisis management 2. 5. 2. international fight against terrorism 2. 5. 3. arms control and confidence building measures 3. estonian military defence 3. 1. military defence in ensuring national security 3. 2. the role of the defence forces and defence league in implementing the national defence policy 4. protecting constitutional order and sectors of vital importance ; * * ensuring public safety * * 4. 1. consolidating the rule of law 4. 2. enhancing internal security 4. 2. 1. the activities of security agencies 4. 2. 2. maintaining law and,612,100,130,2,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
5,"order 4. 2. 3. ensuring border security and migration control 4. 2. 4. crisis management and emergency services 4. 3. strengthening economic, social, and environmental security 4. 3. 1. strengthening economic security 4. 3. 2. enhancing social safety 4. 3. 3. enhancing environmental safety - - - - - * * introduction * * the national security concept of the republic of estonia ( 2004 ) has been drawn up by the government. it presents the goal and guidelines of estonia ’ s national security policy and a general evaluation of the existing security environment. this document has been drawn up and adopted on the basis of",623,107,130,2,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
6,"the peacetime national defence act. the national security concept, adopted in 2001, dealt with the period when estonia was heading towards north atlantic treaty organisation ( nato ) and european union ( eu ) accession. the achievement of these goals has created a need for the reorganisation of the nation ’ s activities concerning national security, while maintaining the nation ’ s basic course in this sphere. the national security concept is a document with a medium - term perspective. it will be revised according to changes in the security environment, and as new options develop for ensuring and enhancing estonia ’ s security.",636,104,116,2,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
7,"# # # 1. the national security policy goal, basic guidelines and security threats * * 1. 1. _ the national security policy goal and basic guidelines * * the goal of the estonian national security policy is to preserve estonia ’ s independence and sovereignty, territorial integrity, constitutional order, and public safety. estonia ’ s security is ensured in accordance with the law by making use of all foreign and domestic policy means. membership in nato, the eu, and other international organisations, as well as successful bilateral and multilateral relations, make it possible to defend estonia ’ s interests and to achieve the national security policy goal. the estonian national security policy",702,113,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
8,"is based upon the principle that security is indivisible, upon the need for international security cooperation, and upon the common defence of democratic values. as a member of nato and the eu, estonia wishes to ensure its national security, and thereby, to also enhance the international security environment. membership in alliances with common democratic principles and goals is the main basis for, and guarantee of estonia ’ s national security. estonia abides by the principle, that every nation has the right and freedom to choose its own solutions for its security needs and that every nation is obligated to not threaten the security of other nations. the estonian national security policy",697,111,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
9,"and its implementation are not directed against any other nation. proceeding from its national interests as well as its membership in nato and the eu, estonia abides by the following guidelines in its national security policy : - - - - - - to actively participate in the work of both nato and eu structures as well as to improve cooperation with other member states ; - to participate in the international security system and corresponding cooperative endeavours, including international crisis management and peace operations, in accordance with estonia ’ s commitments and capabilities ; - to develop estonia ’ s military defence in cooperation with its allies so as to ensure the nation ’ s defence capability ; - to ensure",726,122,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
10,"the democratic development of society and to enhance the nation ’ s internal security ; - to enhance social, economic, and environmental stability. to achieve the national security policy goal, estonia ensures, that the means for carrying out foreign policy, for defending the nation militarily, for ensuring constitutional order, for ensuring public safety, and for protecting sectors of vital importance will all be applied in a mutually coordinated fashion. the risk analysis and threat assessments drawn up by the ministries and security agencies constitute an essential basis for formulating the national security policy, and also help the government to determine the short - term national security policy guidelines and the most important spheres of",755,114,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
11,"cooperation between government agencies. * * 1. 2. _ international security policy developments and estonia ’ s position in the * * * * international security environment * * estonia ’ s national security is directly connected with developments in the international security environment. euro - atlantic security cooperation and integration, including the enlargement of both nato and the eu, have reduced the threat of large - scale military conflicts in europe. the globalisation of economic and social processes and communication is creating close links between nations and exerting a crucial effect upon the security environment. despite positive developments, the international security environment has not reached a state of stability. for estonia,",754,112,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
12,"the most significant trend in the international security environment is the development of euro - atlantic cooperation - - nato and the eu have enlarged, and the accession of new members is continuing. ever since they were founded, these two structures have ensured europe ’ s peace, stability of social development, and economic growth. membership in both an enlarged nato and eu gives estonia a historically unique opportunity for enhancing its national security. in parallel with multilateral security cooperation within nato, a partnership with the united states and other allies constitutes a major security factor for estonia. with the enlargement of both nato and the eu, there has been a significant increase in the security",732,115,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
13,"and stability of the euro - atlantic region. nato and eu enlargement have also had a positive effect upon the baltic sea region ’ s security environment. the vast majority of the region ’ s states belong to the eu and many of them to nato. the logical continuation of this process will make it possible, in the interests of peace and - - - - - stability, to intensify security cooperation of the nordic countries and the baltic states, both within the framework of euro - atlantic cooperation and regionally. within the changed international security environment, there is an increased threat of an often unpredictable breaking out and evolving of local and regional crises",673,115,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
14,". changes in the security environment, and belonging to nato and the eu, have significantly expanded estonia ’ s security policy interests into regions in which estonia previously had no direct interests. these regions affect the security of estonia and its allies as well as the international security environment and its stability. therefore, special attention should be focused upon them. the security policy changes taking place in the world have been dealt with in the nato strategic concept ( 1999 ) and in other documents, and also in the european security strategy ( 2003 ). changes in the international security environment have brought with them new security threats. the unconventional threats among them are : international terrorism ; the",751,119,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
15,"uncontrolled spread of weapons of mass destruction ; organised crime ; the smuggling of weapons, narcotics, and people ; and the flow of refugees created by crisis situations. in such conditions, no nation or region of the world is beyond danger. for estonia also, many previously non - important threats have become actual. the extensiveness and coordination of terrorism, and the criminal organisations associated with it, is ever increasing. this means, that nato and eu member states must employ effective countermeasures, including the capability and readiness to solve the crises accompanying terrorism. the need for cooperation between nations on a bilateral and multilateral basis, and also",698,106,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
16,"within the framework of international organisations, is constantly increasing. but the ability of international organisations to solve certain security problems has, at the same time, not improved. quickly developing international contacts are increasing the further internationalising of various social and environmental problems. accordingly, there is also an increased possibility that estonia will be threatened by problems, which have originated far from us. due to the nation ’ s smallness and openness, estonia ’ s economy is greatly dependent upon the development of the world economy. from the national security viewpoint, it is essential to develop balanced and transparent economic relations with other countries as well as a stable inflow of foreign investments",773,112,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
17,". shortcomings in these spheres could increase the various threats accompanying the development of the world economy. * * 1. 3. threats to national security * * * * uncontrollable developments in the world and international crises * * the increased probability that new many - faceted and often unforeseeable threats will crop up presents the ensuring of security with new challenges. the most serious - - - - - threats to estonia ’ s security are possible instability and uncontrollable developments in the world, as well as international crises. the security of estonia and its allies is indivisible - - the international security",632,104,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
18,"environment affects estonia ’ s security and vice - versa. the security environment is threatened by both international crises and their consequences. participation in international efforts to prevent and solve crises enables estonia to contribute to the ensuring of international security. with the enlargement of nato and the eu, the security and stability zone in europe has significantly broadened. at the same time, due to the contradictory democratisation processes and foreign policies of certain neighbours of these alliances, it is still not possible to rule out threats to estonia ’ s security. * * threat of a military conflict * * the probability of a military conflict breaking out, that would encompass all of europe",730,115,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
19,", or the threat of a conflict in the baltic sea region has been reduced to a minimum. membership in nato and the eu reduces the threat of war for estonia even more. estonia ’ s national security is neither presently, nor will be in the near future, confronted with a direct military threat. even in the medium and long - term perspective, a military attack against any nato member state is very unlikely. for such a threat to re - emerge, a noticeable power shift in the international security arrangement would have to take place along with a major and long - term worsening of the security environment. such a development, however, is unlikely.",646,115,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
20,"nevertheless, in the long - term perspective, the possibility for the re - occurrence of such a threat cannot be totally excluded. various crises of a military nature are the most likely source of a military threat for estonia ’ s security. a crisis of a military nature, that directly affects estonia, could be activity of a military nature, which is aimed at applying pressure to estonia, or some other nato member, for achieving otherwise unacceptable political decisions or concessions. a crisis of a military nature, directly affecting estonia, could be brought about by : - the unexpected increasing or re - deployment of military forces stationed near estonia ’ s border ; - large -",689,116,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
21,"scale military manoeuvres, which are not in compliance with international arms control treaties, in the direct vicinity of estonia ’ s border ; - the intentional violation of estonia ’ s air space, land border, or territorial waters. a crisis of a military nature directly affecting estonia could also be caused by a politically motivated terrorist attack against estonia, its allies, or neighbouring states. the further reduction of incidents of armed conflict and other military threats is dependent upon the development of international relations as well as nato ’ s, the eu ’ s, and estonia ’ s defence capabilities. - - - - - * * threat of external coercion *",664,112,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
22,"* the threat of direct political or some other coercion being applied with the purpose of altering estonia ’ s basic domestic or foreign policy options is minimal. such pressure could be connected with the activities of the special services of other states as well as politically motivated economic and other measures being applied against estonia. integration into the eu and nato, as estonia ’ s successful political, economic, and social development plus the consolidation of society on the basis of democratic values and the successful maintenance of law and order ensure estonia ’ s ability to avoid the application of such coercion, and, if necessary, to effectively counter it. * * threat of international",712,115,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
23,"terrorism * * although the likelihood of a direct military threat is decreasing, non - conventional threats, primarily the global nature of international terrorism, and the possibility of the uncontrolled proliferation of chemical, biological, and radioactive or nuclear weapons are presenting international cooperation with serious new tasks. international terrorism and organised crime, the latter providing a hotbed for the former, are spreading in areas where national security, law and order, as well as rule of law are failing. the elimination of the threat of terrorism requires quick and effective international cooperation, in which estonia participates within the scope of its commitments and capabilities. in addition to international cooperation, estonia also",771,110,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
24,"implements domestic counter - terrorism measures. * * threat deriving from organised crime * * international organised crime could often be extensively intertwined with the activities of terrorist organisations and be connected with the proliferation of weapons of mass destruction. it is therefore a significant threat factor to international stability and estonia ’ s national security. a noticeable threat to the functioning of the rule of law in estonia, and thereby, to national security, is the possible increase in the influence of international organised crime within society and the accompanying corruption as well as its penetration into politics, the civil service, and the economy. * * threats deriving from human activity and natural disasters * *",760,116,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
25,"the threats deriving from human activity, which influence estonia ’ s national security are : fires and explosions ; transport, radiation, and chemical accidents ; and the crossborder effects of these accidents. especially dangerous for the baltic sea region are older type nuclear power plants. the threat of immediate catastrophe is primarily associated with large enterprises handling dangerous chemicals, and with the intensifying tanker traffic in the baltic sea, especially in the gulf of finland. the worsening condition of the environment is a consequence of the worldwide scope of environmental hazards, and could be connected with climatic changes, the thinning - - - - - of the ozone layer, and",705,110,130,3,estonia_2004_NationalSecurityConcept.md,2025-01-28 18:56:39
