chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# national defence strategy estonia - - - - - - - - - - estonia ’ s new national defence strategy replaces the previous document from 2005. it stipulates that, although there are no existential threats to the nato member states ’ security, the global and regional security environment is becoming more dynamic and more unpredictable. new threats and challenges have emerged, while traditional security issues have not disappeared. in this rapidly evolving security environment, the most serious potential threats to estonia derive from hybrid and combined challenges and from a combination of internal and external developments. therefore, national defence can no longer be limited to military defence alone. only a comprehensive approach to",741,115,130,0,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
2,"defence can guarantee a country ’ s security. based on this central idea, the 2011 national defence strategy stipulates that all major estonian state authorities shall participate in national defence, thus combining military forces with non - military capabilities. estonia ’ s defence policy is based on two intertwined pillars : the promotion of international security, including strong relations with its allies and the credibility of nato ’ s collective defence mechanism ; and the strengthening of estonia ’ s own initial defence capability to ensure the sustainability of the state and its institutions in all possible scenarios. all state authorities related to national defence are responsible for their respective competence both in peacetime and in case of",766,118,130,0,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
3,"war. thus, close interagency coope ration and comprehensive yet flexible command and control system shall complement to estonia ’ s contribution to collective defence. the following is a provisional translation of the national defence strategy of estonia. - - - - -",265,42,52,0,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
4,# # national defence stragegy introduction 5 security environment 6 the changing international security environment estonia ’ s position within the international security environment and the security risks affecting national defence estonian defence policy 8 national defence – main courses of action 10 military defence civil sector support to military defence international efforts ensuring internal security ensuring sustainability of vital services psychological defence national defence planning 24 national defence administration 25 - - - - -,548,76,80,1,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
5,"# # introduction the 2011 national defence strategy is based on the national security concept of estonia, which was endorsed by the riigikogu in 2010, and will serve to replace the current 2005 version of the national military strategy. the government of the republic shall adopt this strategy at the proposal of the minister of defence and it shall be subject to revision every four years. the strategy will serve as a basis for more elaborate development and action plans, of which the more essential are outlined in the section on national defence planning. the government shall make proposals to modify legislation as the need to do so arises in implementing the strategy. the most recent national military",710,118,130,2,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
6,"strategy was approved in 2005. its primary purpose was to outline estonia ’ s military defence development and implementation principles following accession to the north atlantic treaty organisation ( nato ) and the european union ( eu ). integration into nato ’ s collective defence system became the main priority for national defence development. the main objectives of the 2005 national military strategy have been met. the main goal of the new strategy is to update the organisation of national defence in estonia by taking the changing security environment into consideration, while extending the strategy beyond a strictly military approach to include other areas of national defence. the strategy addresses courses of action that are aimed at deterring any possible military",782,121,130,2,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
7,"attack against estonia and is based on the assumption that an external military threat may express itself in its early stages as non - military pressure. in addition to the potential risk of military attack, the government should therefore prepare to counter other deliberate actions targeting estonia and incorporate planning for these into the implementation of security policy. for the purposes of this document, the “ term military attack ” also refers to any other offensive actions comparable to a military attack that are accompanied by damage to estonia ’ s independence, self - sufficiency, territorial integrity, or constitutional order. - - - - -",657,105,117,2,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
8,"# # security environment the changing international security environment estonia has become an integral part of the global security environment. the international security environment is in a state of constant change. the concept of security has expanded, thereby raising security issues in areas where they have not previously been tackled. today, both the preparation and active phase of military conflicts involve the extensive use of non - military measures. in such an environment, only a comprehensive approach to national defence that includes nonmilitary activities and rests on strong internal security, can ensure a country ’ s national defence. propaganda and other non - military leverage can be employed to wound an open society. malevo",749,114,130,3,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
9,"##lent manipulation can destabilise the internal situation and tarnish a country ’ s international reputation, as well as weaken its relationships with allies. the ability to uphold one ’ s reputation and defend it from hostile undermining efforts is inevitable to maintain functional relationships with allies. the importance of geographical distances has decreased, while local, regional and global security has become more interconnected than ever. distant threats may influence the security of estonia and its allies. developments in international security are characterised by dynamism ; therefore, the speed of decision - making and the efficacy of implementing the decisions is becoming increasingly important, particularly for small countries. estonia ’",761,109,132,3,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
10,"s position within the international security environment and the security risks affecting national defence today, thanks to nato and eu membership, estonia is more secure than ever. nato and the eu help to maintain the stability of estonia ’ s international status and its integration into the democratic western world, and extend credible military deterrence and collective defence. despite the generally positive development of european security, conventional threats and tensions between countries remain. therefore, small countries must - - - - - account for the possibility that an unfavourable concurrence of events may result in the international community failing to pay attention to their security issues. both domestic developments and developments in",761,112,130,3,estonia_2011_NationalDefenceStrategy.md,2025-01-28 18:56:12
