chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# international security and estonia 2016 - - - - - layout : kalle muller - - - - - * * foreword by the director general * * 5 * * overview * * 9 * * russia * * 11 foreign policy 11 _ the western military district and russia ’ s armed _ _ forces _ 13 _ russia ’ s military planning towards estonia _ 16 _ russia ’ s aggression in ukraine _ 19 domestic policy 22 economy 25 _ energy security _ 27 * * other threats * * 30 terrorism 30 _ emergence of the so - called islamic state ( daesh ) 30 _ _ how does declaration of a caliphate affect _ _ global jihadism?,559,124,130,0,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
2,_ 33 _ the threat of terrorism in europe and estonia _ 33 conflict in syria 37 libya 41 migration crisis 43 c b th t 45 - - - - - - - - - -,139,37,39,0,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
3,"# foreword by the director general of the estonian information board dear reader, until today, overviews, digests and reports compiled by the eib – estonia ’ s foreign intelligence service dating back more than two decades – have been available only to a restricted group of politicians and officials. naturally, this will remain the case for classified documents. ‘ international security and estonia in 2016 ’ is, however the estonian information board ’ s ( eib ) first publication intended for the public. the idea for preparing a document describing international security environment which surrounds estonia, and is orientated to the estonian and foreign public, first occurred as a response to russia ’",709,113,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
4,"s aggression in ukraine. not a day went by in the wake of annexation of crimea and conflict escalation in eastern ukraine without estonian or foreign press asking : ‘ is narva next? ’. not to mention the numerous attempts to analyse the kremlin ’ s hidden agenda with regard to the baltics. yet public officials remained laconic or altogether silent in their statements resulting in burying the few competent messages that existed under an avalanche of inadequate information. this, in return, led to the public space being filled by doomsday scenarios, half - truths, and with a hunger for sensation. without a doubt, such developments have",641,107,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
5,"a negative effect on a nation ’ s psychological defence. at the same time, estonia has its foreign intelligence service whose main task is to ensure that those with the ‘ need to know ’ have the best possible threat assessments at their disposal. with this publication, we are sharing these assessments with the wider public. i would like to point out some of the key aspects. firstly, this public threat assessment contains information collected and analysed by the eib. as such, the assessments therein may not coincide with those of our partner services in all respects. * * _ the main task _ * * * * _ for the eib is",620,113,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
6,"_ * * * * _ to provide best _ * * * * _ possible threat _ * * * * _ assessments to our _ * * * * _ clients. _ * * - - - - - that does not mean that our assessments dramatically differ from those of our closest partners. secondly, this paper does not cover every major topic – issues, such as russian foreign influence activity, for example, will be left for another time. thirdly, although eib ’ s assessments tend to be marked with a seal of state secret, this publication does not contain declassified material and is not a disclosure of any state secrets. moreover,",568,114,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
7,"the current paper is not a publicly disclosed version of a recent classified threat assessment but is, rather, an entirely new product, specifically created for the wider public. fourthly, to pre - empt potential criticism from experts – this document does not claim a monopoly of truth. the security environment surrounding estonia has, in the recent years, become increasingly dynamic and complex. analysis based on open sources may result in assessments and findings that differ from the ones compiled by the eib. also, as preparing this document took some time, new pivotal events may have occurred resulting in some of eib ’ s assessments being potentially outdated by the time of its",689,112,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
8,"publication. this document should not be used for making assessments on the world order in 2026 or 2050 as it focuses on the most critical events in 2015 – 2016. finally, i would like to emphasize that the eib is not a policy maker and does not decide which foreign, defence or other policy steps should the relevant authorities take based on our assessments. the main focus of this publication is russia. this does not mean that estonia ’ s security is solely influenced by its eastern neighbour or that eib ’ s analysis would only focus on matters concerning russia. estonia is organisationally closely integrated with other nations and naturally shares its partners ’ concerns",679,116,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
9,". rapidly globalising, increasingly it based world has – amongst others – made the definition of security more ambiguous. countries are increasingly using non - state measures and vice versa – non - state actors are trying to act as states. events at geographically remote locations, which often go unnoticed, have a strategic effect on estonia ’ s security context. still, we opted for such focus since the current policies practiced by the incumbent russian government are likely to remain the sole external power threatening the constitutional order of the republic of estonia in the nearest future. of course the previous does not mean that such threats will necessarily materialise. i kindly ask everyone to read this",722,117,130,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
10,"text - - - - - in its entirety, without taking certain sentences or paragraphs out of context. bonne lecture! * * mikk marran * * _ director general _ _ estonian information board _ - - - - - - - - - -",201,45,54,1,estonia_2016_InternationalSecurityAndEstonia.md,2025-01-28 18:55:58
