chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,prime minister ’ s office,25,5,7,0,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
2,# # finnish security and defence policy 2004,44,8,10,1,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
3,# # # # government report 6 / 2004,34,9,11,2,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
4,# # # # # prime minister ’ s office : publications # 18 / 2004 - - - - - - - - - - vns 6 / 2004 vp # # # # government report 6 / 2004,133,40,43,3,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
5,# # finnish security and defence policy 2004,44,8,10,4,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
6,# # # # # # prime minister ' s office : publications | 18 / 2004 - - - - - isbn 952 - 5354 - 60 - 1 issn 0783 - 1609 publisher : prime minister ' s office press : edita subscription of the publication : kirjasto @ vnk. fi tel. + 358 9 1602 2060 - - - - - | publisher : fact sheet prime minister ' s office 24 september 2004 | col2 | col3 | col4 | col5 | | - - - | - - - | - - - | - - - | - - - | | authors (,407,110,130,5,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
7,"name, chairperson and secretary of the organ ) : | | | type of publication : report | | | | | | appointed by : prime minister ' s office | | | | | | date of appointment : | | | title of publication ( also in finnish and swedish ) : finnish security and defence policy 2004 ; government report to parliament 24 september 2004 suomen turvallisuus - ja puolustuspolitiikka 2004 ; valtioneuvoston selonteko eduskunnalle 24. 9. 2004 finlands sakerhets - och forsvarspolitik 2004 ; statsradets",487,90,130,5,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
8,"redogorelse till riksdagen 24. 9. 2004 | | | | | | contents : | | | | | | abstract : the security and defence policy report 2004 makes a broad assessment of finland ’ s security and defence policy as a whole in accordance with a decision made in the government programme. the security and defence policy report 2004 is the government ’ s basic position, setting out the principles and objectives for finland ’ s security and defence policy and providing a framework for its implemen - tation in the different sectors. the report conducts a thorough examination of the change in finland ’ s international environment and its effects on",634,114,130,5,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
9,"finland ’ s capability as well as on comprehensive security into the 2010s. the assess - ment of the environment creates the basis for determining the line of action. based on these, the report shows the development and resource needs that focus on the different dimensions of the capability, external capability, especially crisis management capability, defence, the maintaining of internal security and the safeguarding of society ’ s central basic functions. | | | | | | keywords : reports, security policy, defence policy, foreign policy, foreign and security policy | | | | | | further information : | | | | | | name and number of the series : prime",654,113,130,5,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
10,minister ' s office : publications 18 / 2004 | | issn : 0783 - 1609 | | isbn : 952 - 5354 - 60 - 1 | | pages : 172 | language : en | price : - | | confidence status : public | | distributed by : prime minister ' s office kirjasto @ vnk. fi tel. + 358 9 160 22060 http : / / www. vnk. fi / publications | | published by : prime minister ' s office | | | - - - - - - - - - -,372,98,115,5,finland_2004_SecurityAndDefencePolicy.md,2025-01-28 18:53:52
