chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# review on finland ’ s security cooperation - - - - - - - - - -,64,18,20,0,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
2,"# # review on finland ’ s security cooperation * * ministry for foreign * * * * affairs of finland * * - - - - - issn 0358 - 1489 ( print ) issn 2341 - 8230 ( pdf ) isbn 978 - 952 - 281 - 288 - 9 pdf isbn 978 - 952 - 281 - 289 - 6 e - pub pdf 978 - 952 - 281 - 290 - 2 print : grano oy, jyvaskyla layout : erja hirvonen, grano oy, joensuu - - - - -",348,93,120,1,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
3,# # # # contents * * 1 * * * * summary............................................................................................................. 7 * * * * 2,159,19,130,2,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
4,* * * * significance of the multilateral system...................................................... 27 * * * * 3 * * * * security dimension of the european union.............................................. 37 *,214,27,130,2,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
5,* * * 4 * * * * cooperation under nato partnership and cooperation with the * * * * united states.................................................................................................... 51 * * * * 5,210,28,130,2,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
6,* * * * nordic cooperation and cooperation with sweden.................................. 67 * * - - - - - - - - - -,115,23,59,2,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
7,"# # # # 1 summary the purpose of this review is to provide an overview of the content of international security cooperation under the present guidelines, and to point out the options of said cooperation. the review concentrates on cooperation implemented within the eu, under the auspices of nato partnership, between the nordic countries and, especially on bilateral cooperation with sweden. international cooperation is of the utmost importance to finland ’ s international position and security. it also helps strengthen national defence. the review focuses on these perspectives ; an analysis of the security environment in flux, an in - depth assessment of international security cooperation and questions associated with comprehensive security are not reviewed in this",774,118,130,3,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
8,"context. international law and a rules - based international system are the prerequisites for welfare, security and stable development. defending them is increasingly topical. a key goal of finland ’ s foreign and security policy is to nurture and strengthen this foundation. the un system, in particular, plays a central role in this. however, in europe the principles of the osce and the council of europe also lay an important foundation. the european union, for its part, is finland ’ s most important frame of reference and channel of influence. from the perspective of finland ’ s international position and, broadly speaking, its security the membership of the",667,108,130,3,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
9,"eu has been its most important decision. the extensive vertical and horizontal integration of the eu impacts finland in a profound manner. each of the aforementioned cooperative fora, central to finnish security policy, brings added value to finland, be it from a security policy perspective or from a national defence viewpoint. the fact that the different cooperative structures complement each other, and that there is no conflict between them, is a positive factor. - - - - - development of european capabilities is the shared goal of each structure. whereas nato ’ s dominant objective is to bolster the collective defence capacity, the eu has emphasised crisis management. nordic defence cooperation is tangible",717,113,130,3,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
10,"proof of the goals ’ parallel nature in principle. when it comes to developing finland ’ s national defence, our nato partnership provides the most concrete added value and possibilities. europeans are expected to shoulder more responsibility over their own security. the eu ’ s common security and defence policy and defence cooperation lay the foundation for establishing the base for a european defence capacity in the long term. nevertheless, the structures and capabilities for the eu ’ s mutual defence are not being created. society ’ s values are the basic cornerstones of security. the nordic identity continues to be irreplaceably important to finland. as the international security and defence policy cooperation keeps",729,114,130,3,finland_2013_ReviewOnFinlandsSecurityCooperation.md,2025-01-28 18:56:02
