chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# government ’ s defence report,31,6,8,0,finland_2017_DefenceReport.md,2025-01-28 18:56:34
2,# # # # # # prime minister ’ s office publications 7 / 2017 - - - - - prime minister ’ s office publications 7 / 2017,117,29,31,1,finland_2017_DefenceReport.md,2025-01-28 18:56:34
3,"# # # government ’ s defence report prime ministers ’ s office, helsinki 2017 - - - - - prime ministers ’ s office isbn : 978 - 952 - 287 - 374 - 3 helsinki 2017 - - - - -",171,43,48,2,finland_2017_DefenceReport.md,2025-01-28 18:56:34
4,# # # # # # description sheet | published by | prime ministers ’ s office | col3 | 16. 2. 2017 | | - - - | - - - | - - - | - - - | | authors | publication type government ’ s defence report commissioned by government programme | | | | title of publication | government ’ s defence report ( statsradets forsvarpolitiska redogorelse ) | | | | series and publication number | prime minister ’ s office publications 7 / 2017 | | | | isbn ( printed ) | 978 - 952 - 287 - 373 - 6 | issn ( printed,490,113,130,3,finland_2017_DefenceReport.md,2025-01-28 18:56:34
5,") | 0782 - 6028 | | isbn pdf | 978 - 952 - 287 - 374 - 3 | issn ( pdf ) | 1799 - 7828 | | website address ( urn ) | http : / / urn. fi / urn : isbn : 978 - 952 - 287 - 374 - 3 | | | | pages | 36 | language | english | | keywords | report, defence policy | | | | abstract the government ' s defence report to parliament contains the defence policy guidelines for the maintenance, development and utilisation of finland ' s defence capabilities. the defence report and its implementation",485,110,130,3,finland_2017_DefenceReport.md,2025-01-28 18:56:34
6,ensures that finland ’ s defence capabilities are appropriate for the the demands of the security environment. the defence report was drawn up after the parliamentary study group ’ s report ( parliamentary office report 3 / 2014 ) and after the government ’ s foreign and security policy report ( prime minister ’ s office publications series 7 / 2016 ). the foreign and security policy report evaluates finland ’ s operating environment and also presents the areas of focus and the objectives of finland ’ s foreign and security policy. the defence report takes note of the changes in the military operating environment. the time span covered by the report exceeds the term of this government and extends to halfway through,724,123,130,3,finland_2017_DefenceReport.md,2025-01-28 18:56:34
7,"the 2020s. the defence report and its implementation will ensure finland ’ s defence capability in a changing security situation, will create the conditions for maintaining a credible defence system that covers the whole of the country, will set out the guidelines for implementation of strategic capability projects, improve the preparedness of the armed forces and steer the deepening of defence collaboration as well as the development of national legislation. | | | | | publisher | prime ministers ’ s office | | | | printed by ( place and time ) | lonnberg print & promo, 2017 | | | | publication sales / distributed by | online version : julkaisut.",654,113,130,3,finland_2017_DefenceReport.md,2025-01-28 18:56:34
8,valtioneuvosto. fi publication sales : julkaisutilaukset. valtioneuvosto. fi | | | - - - - -,92,16,34,3,finland_2017_DefenceReport.md,2025-01-28 18:56:34
9,# # # # # contents,18,6,8,4,finland_2017_DefenceReport.md,2025-01-28 18:56:34
10,# # # # # # summary...................................................................................... 5 1 introduction................................,154,10,130,5,finland_2017_DefenceReport.md,2025-01-28 18:56:34
