chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# french white paper,20,4,6,0,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
2,# # # defence and national security,35,7,9,1,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
3,# # # # 2013 foreword by * * francois hollande * * president of the french republic - - - - -,93,23,26,2,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
4,# # french white paper,22,5,7,3,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
5,# # # # # defence and national security,39,9,11,4,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
6,# # # # # # 2013 - - - - - - - - - - sommaire preface by the president of the republic............................. 7 introduction : the case for a white paper............................. 9 chapter 1 - france in the new strategic landscape.................... 13 a. france,273,47,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
7,: a european power with global reach.................... 13 b. france is committed to institutional structures that enhance its security but also increase its responsibilities................... 15 chapter 2 - the foundations of the strategy for defence and national security.................................. 19 a. preserving our independence and our sovereignty.......,370,46,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
8,........ 19 b. ensuring the legitimacy of our actions both nationally and internationally......................................... 22 chapter 3 - the state of the world................................. 27 a. strategic shifts and developments.................,258,28,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
9,........... 27 b. threats related to power.................................... 32 c. risks of weakness......................................... 38 d. threats and risks intensified by globalisation.................,213,20,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
10,".. 40 chapter 4 - the strategic priorities................................. 47 a. protect the national territory and french nationals abroad, and guarantee the continuity of the nation ' s essential functions....... 47 b. guarantee the security of europe and the north atlantic space, with our partners and allies................................. 51 c. stab",357,49,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
11,"##ilise europe ' s near environment, with our partners and allies.. 53 d. contribute to the stability of the middle east and the arabo - persian gulf.................................. 55 e. contribute to peace in the world.............................. 56 - - - - - chapter 5 - france ' s engagement in the atlantic alliance and in the european union",350,57,132,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
12,....................................... 59 a. france in nato........................................... 60 b. france in the european union............................... 62,172,14,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
13,chapter 6 - implementing the strategy.............................. 67 a. knowledge and anticipation................................. 68 b. deterrence............................................... 72,200,15,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
14,c. protection................................................ 74 d. prevention............................................... 77 e. intervention......................,166,8,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
15,........................ 79 chapter 7 - the resources required to implement the strategy.......... 83 a. an operational contract and an armed forces model adapted to the new context......................................... 84 - four guiding principles.....................,272,32,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
16,.............. 84 - operational contract..................................... 86 - the armed forces model.................................. 89 b. the global approach in managing external crises............... 93 c. means for prevention and management,250,27,130,5,france_2013_DefenseWhitePaper.md,2025-01-28 18:55:42
