chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministere! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png ) des! [ 0 _ image _ 4. png ] ( 0 _ image _ 4. png ) outre - mer! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) ministere! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png ) de l ' interieur plan securite outre - mer,314,96,130,0,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
2,27 juin 2016 les departements et les collectivites d ' outre - mer connaissent depuis plusieurs mois une hausse importante des violences et des atteintes aux biens mais aussi des incivilites. cette evolution de la delinquance et le fort sentiment d ' insecurite qui en resulte mais aussi la part croissante des mineurs et des jeunes majeurs dans ce phenomene appellent une mobilisation immediate et soutenue de l ' * * etat. * *,428,74,130,0,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
3,"2 il s ' agit ainsi d ' a * * ssurer une securite durable pour tous, dans chacun de nos * * territoires d ' outre * * - mer. la solidite du pacte social comme le developpement * * local en dependent. cela suppose donc un engagement de tous, services de l ' etat, elus, collectivites territoriales, communaute educative et acteurs de la societe civile, dans un objectif partage de prevention et de lutte resolue contre toutes formes",431,80,130,0,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
4,"de delinquance et notamment les violences avec armes, les violences dans la sphere familiale, les agressions sexuelles, les trafics ou le developpement de l ' economie souterraine. face a ces enjeux, une gouvernance renforcee en matiere de securite s ' impose ( axe 1 ). par ailleurs, il est necessaire d ' elargir * * encore les champs de * * la lutte contre l ' insecurite ( axe 2 ) et d '",391,74,130,0,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
5,adapter le * * dispositif des forces de * * l ' ordre aux enjeux securitaires rencontres localement ( axe 3 ).,110,22,39,0,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
6,"# # mesure n°1 - creer une conference nationale pour la securite outre - mer une conference nationale, placee sous la presidence des ministres de l ' interieur et des outremer et reunissant tous les acteurs de la securite outre - mer ( prefectures, forces locales, administrations centrales, elus, experts ) se reunira deux fois par an afin de dresser le bilan des actions conduites en matiere de prevention et de lutte contre la delinquance. les echanges et les",462,79,130,1,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
7,reflexions portes au sein de cette conference permettront de partager et de diffuser des mesures innovantes et adaptees a la specificite des outre - mer dans l ' objectif de repondre a l ' evolution du contexte de securite.,223,39,64,1,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
8,"# # mesure n°2 - realiser un etat des lieux precis des dispositifs de securite interieure dans le prolongement des inspections conduites a mayotte et en nouvelle - caledonie, les inspections generales de la police et de la gendarmerie nationales seront sollicitees au cours du second semestre 2016 pour realiser les audits des dispositifs locaux de securite interieure. des propositions seront ainsi formulees portant a la fois sur le champ organisationnel et les be",466,74,130,2,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
9,##soins capacitaires ( effectifs et materiels necessaires pour ameliorer la performance des forces ). les conclusions de ces travaux seront presentees par les inspections lors de la premiere conference nationale pour la securite outre - mer.,241,36,65,2,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
10,"# # mesure n°3 - adapter les zones de securite prioritaire ( zsp ) afin de cibler le plus precisement possible les phenomenes de delinquance enracinee, les assiettes territoriales des zsp actuelles seront evaluees et si necessaire modifiees, voire elargies. de nouvelles zsp pourront egalement voir le jour.",307,48,99,3,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
11,"# # mesure n°4 - rehausser la coordination operationnelle entre les agglomerations et les territoires ( corat ) des protocoles operationnels seront etablis dans tous les departements et territoires afin de repondre avec plus d ' efficience aux phenomenes delinquants, dans le respect des specificites, des assiettes territoriales et des statuts des forces de securite interieure. etroitement pilotees par les etats - majors de securite, ces me",443,67,130,4,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
12,"##sures devront concerner tout le spectre de la delinquance ainsi que l ' ordre public. ces protocoles comprendront des mesures de cooperation renforcee pour des operations ponctuelles ou programmees, la creation de cellules anti - cambriolages departementales placees sous la co - tutelle du comgend et du ddsp et des procedures d ' appui mutuel devant permettre le rehaussement du taux de couverture criminalistique des scenes d ' infraction.",444,69,130,4,france_2016_OverseasTerritoriesSecurityPlan_noneng.md,2025-01-28 18:57:22
