chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"ii - - - - - * * foreword * * the gambia ’ s maiden national security policy ( nsp ) is the product of a long, collaborative effort initiated from my office as the president of the republic of the gambia. it was prepared at the office of national security under the supervision of the ssr steering committee chaired by my vice president. it is the result of the combined and meticulous efforts of gambians and international partners. i wish to recognize the contributions of the united nations ( un ), the african union ( au ), economic community of west african states ( ecowas ), european union ( eu ), and the",612,115,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
2,"united states of america ( usa ). my special thanks goes to the drafting committee assembled from key security institutions and the editorial team who painstakingly worked to produce this comprehensive document. this is the first national security policy ever produced in the gambia. it is an overarching policy document that aims at streamlining mandates, roles and responsibilities of security institutions. it is my desire that the nsp will engender a clear division of labour that would serve the nation and its citizens in our march towards building a better gambia. * * h. e mr. adama barrow * * * * date : 09 / 05 / 19 * *",629,111,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
3,"* * president of the republic of the gambia * * * * commander - in - chief of the armed forces * * iii - - - - - * * acknowledgements * * the office of national security under the auspices of the national security advisor ( nsa ) wishes to thank his excellency the president of the republic of the gambia and commander - in - chief of the armed forces, the honourable attorney general and minister of justice and chairperson of the security sector reform steering committee, members of the steering committee, international partners in paricular the united nations development programme ( undp ) as the lead sponsor, security chiefs, drafting committee, editorial",663,117,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
4,"team, and civil society organizations for their unflinching support and commitment in producing the gambia ’ s first national security policy ( nsp ). it is my expectation that this document, along with other national documents, such as the national development plan ( ndp ), and the constitution, will deliver to the gambian public a responsive, transparent and secure national environment that is conducive to promoting national economic development under legitimate civilian control. therefore, this nsp, it is hoped, will represent a significant departure from and a farewell to decades - long lack of policy and institutional coordination of the country ’ s security apparatus. iv -",687,107,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
5,"- - - - * * contents * * foreword iii. acknowledgements iv. executive summary vii. abbreviations and acronyms ix. chapter one : the foundations 1 background 1 national ( core ) values 2 national security interest 3 national power 3 diplomacy 3 economy 4 national cohesion 4 information and communication 5 defence and security 6 opportunities 7 political will 7 youth mobilization 7 strategic environment 7 global and regional outlook 7 national geo - political situation 8 socio - economic landscape 9 broad strategic goals and objectives 13 guiding principles 14 chapter two : the aspiration 17 national security interests 17 threats, vulnerabilities, challenges and risks 17 disputed borders and lands 17 political",717,114,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
6,threat 18 trans national organized and cross border crime 19 human rights and justice 19 v - - - - - gender discrimination and violence 20 health 20 environment 21 national aspiration 22 legislative framework 22 governance structure of security apparatus 23 national security counsel 23 office of national security 23 statuaries ministries of national security counsel 25 mandate of the security forces and services 26 the gambia armed forces 26 the gambia police force 27 state intelligence service 28 the gambia immigration department 30 drug law enforcement agency 31 the gambia fire and rescue service 31 the gambia prison service 32 the gambia revenue authority ( custom and excise ) 32 security sector response 34 joint human resource development 36 joint human resource center,783,125,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
7,"36 critical appointments 36 medical care 36 governance, oversight and review mechanism 37 oversight architecture 37 legislature 37 judicial 38 executive 38 independent civil bodies 38 chapter three : policy support 39 partnership and collaboration 39 vi - - - - - the role of civil society organizations. 40 the gambia - senegal relationship 40 international support and coordination 40 resource mobilization 41 communication 41 way forward 42 vii - - - - - * * executive summary * * rising popular expectations for a streamlined, cohesive, participatory, civilian - controlled and transparent national security policy ( nsp ), for the gambia, predicated on human - security is a timely and necessary endeavor. a",712,114,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
8,"first of its kind since independence in 1965, the gambia ’ s new nsp spells out key roles, responsibilities, and mandates of vital security institutions, organs, agencies, and personnel in order to reconfigure the security sector to meet evolving national state and human - security needs, challenges, risks and opportunities well into the next decade of the twenty - first century. fundamental to achieving this is a foreign - policy pivot that prioritizes gambia - senegal relations to strengthen existing bilateral agreements to secure porous national borders, defend maritime boundaries, as well as explore existing and future resource discoveries for mutual gain. addressing gender, youth,",694,105,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
9,"and social inequality, nationally, while leveraging the gambia ’ s “ soft - power ” regionally and globally to mitigate environmental, cyber security, “ radicalization ” money - laundering and other challenges multilaterally, bodes well for the “ new gambia, ” and its security institutions. yet crucial to the success of the gambia ’ s new nsp, is popular ownership and changed perceptions that long gone are the days when the security sector was an instrument in the hands of political actors who utilized it to deny gambians of their fundamental rights, and for self - aggrandizement of the highest order. the gambia ' s",623,105,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
10,"nsp positions the country and its security services to meet changing human security needs of gambians. and, by spelling out the division of labor among the three branches of government and their oversight functions, the gambia ' s new nsp will avail itself to periodic review and evaluation to reflect changing national, regional and global dynamics. resulting institutionalized checks and balances to strengthen various security service responsiveness will make for a cohesive policy - strategy which at its core is driven by security sector reform ( ssr ) principles in pursuit of human and national security. "" viii - - - - - * * abbrevations and acronyms * * aids",667,111,130,0,gambia_2019_NationalSecurityPolicy.md,2025-01-28 18:56:36
