chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# თეთრი [UNK] 2014 [UNK] * * [UNK] * * სამინისტრო! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) | [UNK] | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,266,110,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - | | [UNK] | | | | 1. | [UNK] გარემო.,256,121,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
3,| | | 2. | [UNK] [UNK] სამინისტრო და [UNK] [UNK] |.. 4 | | 2. 1. | [UNK] [UNK] სამინისტრო | | | 2. 2. | [UNK] [UNK] [UNK] გენერალური [UNK]. | | | 2. 3. | [UNK] [UNK] [UNK] | | | 3. |....... 9 | | | [UNK] დაგეგმვა და მართვა | | | | 3. 1. | საკანო,245,62,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
4,##ნმდებლო [UNK] | | | 3. 2. | [UNK] [UNK]. | | | 3. 3. | [UNK] [UNK] [UNK]. | | | 3. 4. | [UNK] რესურსების მართვა | | | 3. 4. 1. | მატერიალური რესურსების მართვა | | | 3. 4. 2. | [UNK] რესურსების მართვა. | | | 3. 4.,214,53,132,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
5,3. | ადამიანური რესურსების მართვა. | | | 4. | 2014 [UNK] მირითადი [UNK] | | | 5. | [UNK] და [UNK]. | | | 5. 1. | კეთილსინდისიერების [UNK] [UNK]. | | | 5. 2. | [UNK] [UNK] [UNK]. | | | 5. 3. | [UNK] [UNK] | | | 5. 4. | არასამთავრო,229,55,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
6,##ბო [UNK] [UNK] |...... 18 | | 5. 5. | [UNK] [UNK] და მედიის [UNK] [UNK]................................................................................... 19 | | | 5. 6. | [UNK] [UNK] [UNK]. |,194,27,132,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
7,| | 5. 7. | [UNK] [UNK] და [UNK] [UNK] | | | 6. | თავდავვის [UNK]. | | | 6. 1. | მართვა და კონტროლი. | | | 6. 2. | [UNK] [UNK] [UNK] გადასვლა | | | ii | | | | თეთრი [UNK] | [UNK] [UNK] სამინისტრო | | - - - - - - - - - - - - - - - | - - - - - - - - -,249,77,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
8,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 6. 3. | [UNK] [UNK] 22 | | 6. 4. | [UNK] [UNK] [UNK] 23 | | 6. 5. | მობილურობა და კონტრმობილურობა 23 | | 6. 6. | [UNK] [UNK] 23 | |,255,96,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
9,6. 7. | [UNK] [UNK] 24 | | 6. 8. | [UNK] და [UNK] სისტემები 24 | | 6. 9. | ლოგისტიკური [UNK] 24 | | 6. 10. | [UNK] [UNK] 24 | | 6. 11. | [UNK] [UNK] [UNK] [UNK] 25 | | 6. 12. | [UNK] და [UNK] სისტემა 25 | | 7. | ადამიანური რესურსების მართვა 27 | | 7. 1.,253,64,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
10,"| ადამიანური რესურსების მართვა 27 | | 7. 2. | [UNK] რეკრუტირების სისტემის [UNK] 27 | | 7. 3. | [UNK] [UNK] მართვის სისტემის [UNK] 28 | | 7. 4. | გენდერული [UNK] 29 | | 8. | [UNK], [UNK] და განათლება 31 | | 8. 1.",211,47,130,0,georgia_2014_WhitePaper_noneng.md,2025-01-28 18:57:45
