chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,saqartvelos erovnuli! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 4. png ] ( 0 _ image _ 4. png )! [ 0 _ image _ 5. png ] ( 0 _,285,93,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
2,image _ 5. png )! [ 0 _ image _ 6. png ] ( 0 _ image _ 6. png )! [ 0 _ image _ 7. png ] ( 0 _ image _ 7. png )! [ 0 _ image _ 8. png ] ( 0 _ image _ 8. png )! [ 0 _ image _ 9. png ] ( 0 _ image _ 9. png )! [ 0 _ image _ 10. png ] ( 0 _ image _ 10. png ) usafrtxoebis koncefcia n a tio n a l,290,93,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
3,security co n cept of georgi a! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png )! [ 1 _ image _ 2. png ] ( 1 _ image _ 2. png ) sesavali saqartvelos usafrtxoebis garemo saqartvelos erovnuli rirebulebebi suvereniteti da teritoriuli mtlianoba! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) tavisufleba demokratia da kanonis,318,70,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
4,uzenaesoba usafrtxoeba ketildreoba msvidoba saqartvelos erovnuli interesebi 1. suverenitetisa da teritoriuli mtlianobis uzrunvelyofa 2. saxelmwifo institutebis ganvitareba da demokratiis ganmtkiceba 3. erovnuli usafrtxoebis efeqtiani sistemis ganvitareba 4. erovnuli ertianobisa da samoqalaqo tanxmobis ganmtkiceba 5. ev,320,35,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
5,##ropuli da evroatlantikuri integracia 6. ekonomikis stabiluri grzelvadiani zrdis uzrunvelyofa 7. energetikuli usafrtxoebis uzrunvelyofa 8. regionuli stabilurobis uzrunvelyofa 9. saqartvelos satranzito funqciis gazliereba 10. saqartvelos da regionis ekologiuri usafrtxoebis uzrunvelyofa 11. samoqalaqo integraciisa da,317,34,133,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
6,"erovnuli da kulturuli tvitmyofobis uzrunvelyofa 12. kiberusafrtxoebis ganmtkiceba 13. demografiuli usafrtxoebis uzrunvelyofa 14. diasporebtan urtiertoba saqartvelos winase arsebuli safrtxeebi, riskebi da gamowvevebi 1. rusetis federaciis mier saqartvelos teritoriebis okupacia da okupirebuli teritoriebidan rusetis fed",318,34,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
7,##eraciis mier organizebuli teroristuli aqtebi 2. rusetis federaciis mxridan axali samxedro agresiis riski 3. saqartvelos okupirebuli teritoriebidan izulebit gadaadgilebul pirta da ltolvilta uflebebis darrveva 4. kavkasiasi arsebuli konfliqtebi 5. saertasoriso terorizmi da transnacionaluri organizebuli danasauli 6. ekonomikuri da socialuri,341,39,132,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
8,gamowvevebi 7. energetikuli gamowvevebi 8. kibersafrtxeebi 9. ekologiuri gamowvevebi 10. demografiuli gamowvevebi 11. samoqalaqo integraciastan dakavsirebuli gamowvevebi 12. kulturuli memkvidreobis zeglebis dazianeba / ganadgureba. saqartvelos usafrtxoebis politikis ziritadi mimartulebebi 1.,292,30,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
9,saqartvelos okupirebuli teritoriebis deokupacia da! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) rusetis federaciastan urtiertoba 1. 1. saqartvelos okupirebuli teritoriebis deokupacia 1. 2. rusetis federaciastan urtiertoba 2. saxelmwifo institutebis ganvitareba da demokratiis ganmtkiceba. 3. cartulobis politikis ganxorcieleba 4. saqart,338,48,130,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
10,##velos tavdacvisa da usafrtxoebis sistemis ganvitareba 5. crdiloatlantikuri xelsekrulebis organizaciasi gawevreba da evrokavsirsi integracia 5. 1. crdiloatlantikuri xelsekrulebis organizaciasi gawevreba 5. 2. evrokavsirsi integracia 6. tanamsromloba samxret kavkasiasi 7. sagareo kavsirebis ganmtkiceba 7. 1. amerik,316,35,132,0,georgia_2020_NationalSecurityConcept_noneng.md,2025-01-28 18:57:35
