chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ),94,33,44,0,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
2,"# konzeption der bundeswehr bundesministerium! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) der verteidigung dr. thomas de maiziere bundesminister der verteidigung mitglied des deutschen bundestages plg i 1 - az 09 - 02 - 04 hausanschrift stauffenbergstraße 18, 10785 berlin postanschrift 11055 berlin tel + 49 ( 0 ) 30 18 - 24 - 8000 fax + 49 ( 0 ) 30 18 - 24 - 8004",368,76,130,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
3,hiermit erlasse ich die konzeption der bundeswehr! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) der hauptpersonalrat und der gesamtvertrauenspersonenausschuss beim bundesministerium der verteidigung sind beteiligt worden. inhalt | inhalt | seite | | | - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - -,326,80,130,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
4,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - | | 1 | zielsetzung | 3 | | 2 | rahmenbedingungen | 4 | | 2. 1 | risiken und bedrohungen | 4 | | 2. 2 | sicherheitspolitischer rahmen | 5 | | 2. 3 | gesellschaftspolitischer rahmen | 6 | | 2. 4 | finanzieller rahm,299,92,130,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
5,##en | 8 | | 3 | auftrag und aufgaben der bundeswehr | 9 | | 3. 1 | verteidigungspolitische vorgaben | 9 | | 3. 2 | differenzierung des aufgabenspektrums | 11 | | 4 | bundeswehrgemeinsame prinzipien | 18 | | 4. 1 | einsatzorientierung | 18 | | 4. 2 | langfristige sicherheitsvorsorge | 18 | | 4. 3 | multinationalitat | 19 | | 4. 4 | vernet,340,72,132,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
6,"##ztes denken und handeln | 21 | | 4. 5 | selbstverstandnis | 22 | | 4. 6 | steuerung nach wirkung und wirtschaftlichkeit | 25 | | 5 | leistungs - und fahigkeitsprofil | 29 | | 5. 1 | erwartete konfliktformen | 29 | | 5. 2 | dimensionen land, see, luft, weltraum, informationsraum | 31 | | 5. 3 | verbund fuhrung - aufklarung -",327,68,132,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
7,wirkung - unterstutzung | 36 | | 5. 4 | basis inland | 40 | | 5. 5 | gesundheitsversorgung | 41 | | 5. 6 | vorgaben fur das priorisierte fahigkeitsprofil | 42 | | 5. 7 | einsatzbereitschaftslage | 49 | | 6 | vorgaben zu gestaltungsbereichen | 50 | | 6. 1 | organisation | 50 | | 6. 2 | personal | 51 | | 6. 3 | ausbildung streitkraft,333,74,130,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
8,"##e und ubungen | 53 | | 6. 4 | material und ausrustung | 54 | | 6. 5 | infrastruktur, dienstleistungen und gesetzliche schutzaufgaben | 56 | | 7 | vorgaben zur umsetzung im zuge der planung | 57 | | glossar | 59 | |",216,47,84,1,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
9,"# # 1. zielsetzung die konzeption der bundeswehr ( kdb ) ist als langfristige grundsatzweisung das dachdokument der gesamtkonzeption der militarischen verteidigung deutschlands. sie beschreibt, wie die bundeswehr ihren in den verteidigungspolitischen richtlinien vom 27. mai 2011 ( vpr 2011 ) festgelegten auftrag und ihre aufgaben erfullt. sie erklart zusammenhang",365,50,130,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
10,"##e und prinzipien und macht vorgaben fur die gestaltung der bundeswehr. sie wird durch weitere konzeptionelle bzw. strategische dokumente1 prazisiert bzw. erganzt und bildet damit in einer konsequenten ableitung von oben nach unten die basis fur die weitere konzeptionelle arbeit und die planung in der bundeswehr. als offenes dokument tragt die kdb dazu bei, die neua",369,56,132,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
11,"##usrichtung der bundeswehr der interessierten offentlichkeit zu vermitteln und dadurch ihren ruckhalt in der bevolkerung zu starken. durch die neuausrichtung wird die voraussetzung geschaffen, zukunftige anpassungen der bundeswehr innerhalb der neuen strukturen zu verwirklichen. auf grundlage der beurteilung der langfristigen lageentwicklung, der politischen entscheidungen zur ne",383,46,132,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
12,"##uausrichtung und weiterer politischer und planerischer vorgaben gibt die kdb den rahmen vor, in dem sich die gesamtorganisation bundeswehr weiterentwickeln und als lernende organisation fortlaufend an sich verandernde bedingungen und herausforderungen anpassen kann. deshalb ist die kdb kurz gefasst und verzichtet auf detailregelungen ; diese bleiben der ebene der teilkonzeptionen vorbehalten2. das",402,52,132,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
13,leistungsprofil der bundeswehr setzt sich aus den fahigkeiten3 und kapazitaten der streitkrafte und des zivilen bereichs zusammen. in diesem sinne umfasst die kdb alle militarischen und zivilen bereiche der bundeswehr in einem ganzheitlichen ansatz der bundeswehrgemeinsamkeit. sie dient einem gemeinsamen verstandnis der angehorigen der bundeswehr uber die,357,47,130,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
14,"zukunftige ausrichtung. sie basiert auf dem leitbild des staatsburgers in uniform und den grundsatzen der inneren fuhrung einerseits, sowie den hergebrachten grundsatzen des berufsbeamtentums und der gewachsenen dienstleistungstradition der wehrverwaltung andererseits und erweitert sie um aspekte, die sich aus der intensivierten zusammenarbeit zwischen militarischen und ziv",376,46,130,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
15,##ilen angehorigen der bundeswehr ergeben. die aufgaben der bundeswehr werden ganzheitlich betrachtet. leitendes prinzip ist die auf die erfullung ihres aufgabenspektrums ausgerichtete einsatzorientierung der gesamten bundeswehr. darauf basierend legt die kdb in anwendung weiterer prinzipien und unter berucksichtigung der rahmenbedingungen der in den vpr definierten vorgaben fur,381,47,132,2,germany_2013_KonzeptionDerBundeswehr_noneng.md,2025-01-28 18:57:01
