chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # on german security policy and the future of the bundeswehr - - - - - - - - - -,82,22,26,0,germany_2016_WhitePaper.md,2025-01-28 18:53:52
2,"# # on german security policy and the future of the bundeswehr - - - - - - - - - - - - - - - the world of 2016 is unsettled. we in germany and europe are seeing and feeling the impact of a lack of freedom and of crises and conflicts. we are experiencing that peace and stability are not a matter of course even in europe. in this changed security situation, the task of the federal government is to redefine our country ’ s security policy interests, priorities and objectives and to develop its toolbox responsibly. the past years have shown that we must not take the achievements",581,112,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
3,"of the european post - war order for granted. we would not have believed it possible that borders would be redrawn by military force and in breach of international law in europe in the 21st century. wars and conflicts are raging on europe ’ s doorstep. they have cost the lives of hundreds of thousands of people and uprooted millions more. at the same time, fragile and failing states provide a fertile breeding ground for islamist terrorism, which also poses a direct threat to us in germany and europe. cyber space is increasingly becoming a theatre of conflict ; the internet is not only a force for good – ideologies of hatred and violence are",648,115,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
4,"also spread there. germany ’ s economic and political weight means that it is our duty to take on responsibility for europe ’ s security in association with our european and transatlantic partners in order to defend human rights, freedom, democracy, the rule of law and international law. we must stand up even more for our shared values and demonstrate even greater commitment to security, peace and a rules - based order than we have done to date. our security is based on a strong and resolute north atlantic alliance and a united and resilient european union. we will only be able to meet the great challenges of our era successfully if we strengthen and further",666,116,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
5,"develop these two pillars of our foreign, security and defence policy. at all times, our aim should be to prevent crises and conflicts. security policy must be forward - looking and sustainable. at the same time, we must be able to react quickly to violent conflicts, to provide help and to play our part in resolving conflicts rapidly. to this end, it is vital that we combine our civil and military instruments. but we must also take an honest, realistic view of the world : we will not be able to meet all of the challenges in the crisis regions on our own. this means that our partners in other regions of the world must do",627,116,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
6,"their part. to this end, we will offer a wide range of measures to enable them to resolve crises and conflicts by themselves. - - - - - furthermore, we need to strengthen resilience throughout government and society in germany and the european union. only in this way will we safeguard our open society and protect the freedom that is fundamental to our way of life. the white paper on german security policy and the future of the bundeswehr describes the cornerstones of germany ’ s security policy and the framework within which it operates. it identifies for the federal government areas where german security policy can be shaped. the white paper sets the basis",665,115,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
7,"for the future course of the bundeswehr as one of the instruments of german security policy. in recent years, the bundeswehr has taken part in numerous missions abroad side by side with germany ’ s allies and partners. along with german police officers and civilian aid workers, it has made a significant contribution to peace in the world. our bundeswehr will also be called upon in the future. in all operations, it demonstrates our willingness to uphold peace and security and resolutely defend our freedom. the federal government therefore has a responsibility and an obligation to provide the bundeswehr with the necessary resources. a further aim of this",660,108,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
8,"white paper is to generate a debate in society on how germany shapes its security policy in the future. it is thus my hope that the broad - based, lively discourse which began during the drafting of this white paper will be continued fruitfully after its publication. berlin, 13 july 2016 dr angela merkel federal chancellor - - - - - germany faces a wide range of security challenges. as an open society, a globally interconnected economy, and as a nation, we need to be able to meet these challenges responsibly both today and in the long term. at the same time we must ask ourselves uncomfortable questions : what role should and",632,113,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
9,"must our country play in security policy? in what areas should we concentrate our diplomacy, development policy, and military involvement? and what kind of bundeswehr do we need to enable our servicemen and women to protect our freedom and contribute to global stability? this important discussion requires many different perspectives. this is why, in preparing the 2016 white paper, we have adopted a new approach by consulting in detail with experts from germany and abroad about the future of our security policy and the bundeswehr, by exchanging views, and by taking up suggestions. this process has shown us very clearly where we are now – and how far we still have to go",676,113,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
10,". in the current crises, germany has shown that it is willing to take responsibility in security policy. we have also shown that we are prepared to take the lead. but our efforts can only be successful if they are interconnected : both in and together with international alliances and organisations and with our allies and partners. we know that our security is best served by responsibly shaping security policy together with our partners and in our alliances – with a strong nato and a capable europe. germany stands for reliability and loyalty to its allies, and so does the bundeswehr. with great personal dedication, our servicemen and women are making outstanding contributions to",686,114,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
11,"peace and security – in germany, europe and around the world. for this reason, the men and women of the bundeswehr rightly enjoy the respect, recognition and gratitude they deserve both at home and abroad. as the demands on the bundeswehr grow in variety and volume, the demands on its personnel will increase as well. the bundeswehr needs the best possible equipment and sustainable funding in order to effectively meet challenges such as hybrid warfare, transnational terrorism, cyber attacks, and pandemics and at the same time to fulfil the requirements of stronger national and collective defence. in future it must have a comprehensive, modern",649,104,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
12,"range of capabilities at its disposal. it must also drive innovation and be a reliable and dependable partner to our allies. - - - - - we have already laid a firm foundation to build on. whether it is our responsibility as a framework nation in joint capability development, our enhancing and enabling of local partners in fragile parts of the world, our involvement in a large number of operations, or the integration of armed forces in europe – the bundeswehr has shown initiative and practices “ leadership from the centre ” by assuming a leading role among partners. what we need above all are the best people. only with them can the bundeswehr become",655,115,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
13,"more flexible and agile, and only with them can it develop the best ideas and concepts, which are ultimately the key to its success. the first steps have been taken towards such a bundeswehr – towards a bundeswehr that is modern and fit for the future. we must now stay our course towards this goal. the white paper is a milestone on this journey. it offers the strategic framework and concrete targets needed to ensure the continuous modernisation of the bundeswehr as a key instrument in our increasingly comprehensive approach to security. berlin, 13 july 2016 dr ursula von der leyen federal minister of defence dr ursula von der leyen -",641,111,130,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
14,- - - - - - - - -,17,9,11,1,germany_2016_WhitePaper.md,2025-01-28 18:53:52
15,# # # # contents * * introduction * * * * 15 * * the 2016 white paper : strategic review and way ahead * * part i – security policy * * * * 19 * * * * 1 key elements of german security policy * * * * 21 * * * * 1. 1 germany ’ s role in the world and approach to security * * * * 22 * * * * 1. 2 germany ’ s values and security interests * * * * 24 * * * * 2 germany ’ s security environment * * * * 27 * * * * 2. 1 the international order in transition * * * * 28 *,465,125,130,2,germany_2016_WhitePaper.md,2025-01-28 18:53:52
16,"* drivers of change 28 multipolarity and the diffusion of power 30 rules - based euro - atlantic order of peace and stability called into question 31 european project under pressure 33 * * 2. 2 challenges for german security policy * * * * 34 * * transnational terrorism 34 challenges from the cyber and information domain 36 interstate conflict 38 fragile states and poor governance 39 global arms build - up and proliferation of weapons of mass destruction 40 threats to information and communication systems, supply lines, transportation 41 and trade routes as well as to the secure supply of raw materials and energy climate change 42 uncontrolled and irregular migration 42 epidemics and pan",696,117,130,2,germany_2016_WhitePaper.md,2025-01-28 18:53:52
17,"##demics 44 * * 3 germany ’ s strategic priorities * * * * 47 * * * * 3. 1 guaranteeing a whole - of - government approach to security * * * * 48 * * * * 3. 2 strengthening the cohesion and capacity to act of the north atlantic alliance * * * * 49 * * * * and the european union * * - - - - - * * 3. 3 unhindered use of information and communication systems, supply lines, transportation * * * * 50 * * * * and trade routes as well as the secure supply of raw materials and energy * * * * 3.",491,116,132,2,germany_2016_WhitePaper.md,2025-01-28 18:53:52
