chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) weissbuch zur sicherheitspolitik und zur zukunft der bundeswehr zur sicherheitspolitik und zur zukunft der bundeswehr! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )... [UNK]. 1 1 1 144. 00 a bill. 15 1 1! [ 4 _ image _ 1. png,320,82,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
2,"] ( 4 _ image _ 1. png )! [ 4 _ image _ 2. png ] ( 4 _ image _ 2. png )! [ 4 _ image _ 4. png ] ( 4 _ image _ 4. png )! [ 4 _ image _ 5. png ] ( 4 _ image _ 5. png )! [ 4 _ image _ 3. png ] ( 4 _ image _ 3. png ) 11, 200 2018 11! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) 175.. 11 / 11 /",291,98,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
3,2 1 1961 - 1 100 :...... : 1 [UNK] a le contra 6. 40 11. 1997.! [ 4 _ image _ 25. png ] ( 4 _ image _ 25. png )! [ 4 _ image _ 27. png ] ( 4 _ image _ 27. png )! [ 4 _ image _ 28. png ] ( 4 _ image _ 28. png )! [ 4 _ image _ 29. png ] ( 4 _ image _ 29. png )! [ 4 _ image _ 32. png ] ( 4 _ image _ 32.,301,95,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
4,png )! [ 4 _ image _ 36. png ] ( 4 _ image _ 36. png ) 1! [ 4 _ image _ 30. png ] ( 4 _ image _ 30. png )! [ 4 _ image _ 31. png ] ( 4 _ image _ 31. png )! [ 4 _ image _ 34. png ] ( 4 _ image _ 34. png )! [ 4 _ image _ 37. png ] ( 4 _ image _ 37. png ) [UNK] [UNK] 1 1 6 100000 [UNK] [UNK] 1! [ 4 _ image _ 8. p,311,99,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
5,##ng ] ( 4 _ image _ 8. png )! [ 4 _ image _ 10. png ] ( 4 _ image _ 10. png )! [ 4 _ image _ 12. png ] ( 4 _ image _ 12. png ) 11 - 12 - 1 all popular 200! [ 4 _ image _ 11. png ] ( 4 _ image _ 11. png )! [ 4 _ image _ 14. png ] ( 4 _ image _ 14. png ) 1! [ 4 _ image _ 15. png ] ( 4 _ image _ 15. png ) 11.,308,100,132,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
6,0! [ 4 _ image _ 16. png ] ( 4 _ image _ 16. png )! [ 4 _ image _ 17. png ] ( 4 _ image _ 17. png )! [ 4 _ image _ 18. png ] ( 4 _ image _ 18. png )! [ 4 _ image _ 13. png ] ( 4 _ image _ 13. png )..... state 11 4. 24! [ 4 _ image _ 20. png ] ( 4 _ image _ 20. png ) 1! [ 4 _ image _ 21. png ],293,94,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
7,( 4 _ image _ 21. png )! [ 4 _ image _ 23. png ] ( 4 _ image _ 23. png ) 1000 and states 1. 6. 1 : 1. 14. 50 11 - 11! [ 4 _ image _ 26. png ] ( 4 _ image _ 26. png ) 100 1! [ 4 _ image _ 24. png ] ( 4 _ image _ 24. png ) 2! [ 4 _ image _ 33. png ] ( 4 _ image _ 33. png ) 3. 0 [UNK] 40. 0 [UNK] 12 2 1 2000! [,309,99,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
8,4 _ image _ 19. png ] ( 4 _ image _ 19. png ) :..! [ 4 _ image _ 22. png ] ( 4 _ image _ 22. png ) section 1 6.! [ 4 _ image _ 6. png ] ( 4 _ image _ 6. png )! [ 4 _ image _ 7. png ] ( 4 _ image _ 7. png ) 500! [ 4 _ image _ 9. png ] ( 4 _ image _ 9. png ) 4. 7.... :! [ 4 _ image _ 35. p,288,94,130,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
9,"##ng ] ( 4 _ image _ 35. png ) 10 die welt im jahr 2016 ist eine welt in unruhe. auch in deutschland und europa spuren wir die folgen von unfreiheit, krisen und konflikten in der unmittelbaren nachbarschaft unseres kontinents. wir erleben zudem, dass selbst in europa frieden und stabilitat keine selbstverstandlichkeit sind. in dieser veranderten sicherheitslage ist es die aufga",380,62,132,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
10,"##be der bundesregierung, die sicherheitspolitischen interessen, prioritaten und ziele unseres landes neu zu definieren und das instrumentarium verantwortungsbewusst weiterzuentwickeln. 6! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) zur sicherheitspolitik und zur zukunft der bundeswehr die vergangenen jahre haben gezeigt, dass wir die errungenschaften der europaischen",372,54,132,0,germany_2016_WhitePaper_noneng.md,2025-01-28 18:56:42
