chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# national security policy - - - - - * * national security policy of guatemala * * * * government of guatemala * * 1. national security policy 2. democratic security 3. civil defense 4. human development isbn 978 - 9929 - 52 - 001 - 1 technical secretariat for the national security council guatemala city, guatemala title page and interior design : ambush map : guatemalan foreign ministry printing : mayaprin partial or complete reproduction of this document is permitted, provided they do not affect copyright and publishing. the complete or partial use of this document is encouraged for study, research, or design of public policies, with the appropriate biblio",666,112,130,0,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
2,##graphic source reference. - - - - -,37,8,13,0,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
3,# national security policy,26,4,6,1,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
4,"# # # guatemala city, july 2012",31,7,10,2,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
5,# # # # today we have in our hands the opportunity to build a different future. # # # # # otto perez molina - - - - -,117,30,33,3,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
6,"# # # # # # national security council otto fernando perez molina * * president * * ingrid roxana baldetti elias * * vice president * * harold caballeros lopez * * foreign minister * * hector mauricio lopez bonilla * * minister of the interior * * ulises noe anzueto giron * * defense minister * * jose maria argueta cifuentes * * secretary of state for strategic intelligence * * larry mark robles guibert * * attorney general * * edgar ricardo bustamante figueroa * * coordinator, technical secretariat for the national security council * * - - - - -",551,104,129,4,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
7,"# # # # # # acknowledgements united nations development program united states government policy and strategy directorate, technical secretariat for the national security council national institute for strategic security studies general inspectorate for the national security system advising and planning commission for the national security council security advisory council academic institutions political institutions non - governmental security organizations research centers - - - - - _ “ we must not forget the past, but we can overcome it. _ _ i dream that my generation may be the last of war and _ _ the first of peace in guatemala. ” _",644,103,111,5,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
8,"# # # # # # foreword the national security policy seeks to build the conditions for people to feel safe, free from violence and fear, and confident in achieving their individual and collective aspirations. it is also designed to integrate efforts across the country in a common purpose : to achieve comprehensive development, strengthen democracy, and overcome social inequality - to build a “ secure and prosperous _ guatemala. ” _ the success of this policy demands that the government and its citizens work together to contain, confront, and neutralize the threats and risks that insecurity and violence generate, overcoming the structural and social causes that they engender, through the legal and",702,113,130,6,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
9,"institutional framework and with full respect for human rights. it is essential for the people to regain confidence in the state and to improve coordination between its institutions to generate the required capabilities and to diminish the causes that bring about insecurity and violence, which reside in the social fabric. only a democratic government has the legitimacy to do this, in concert with an efficient security system that produces the necessary competencies to confront this challenge. this policy establishes the government ’ s commitment with the people of guatemala, of making the national security system comply with its institutional mandate under its transformational motto : “ if we all do well what we have to do",732,116,130,6,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
10,", we will improve security. ” this means that guatemala will transform its security system to the highest levels of effective and efficient public administration, based on consistent decisions and actions. the implementation of the policy will be developed in three successive phases. in the first phase, new methodologies will be adapted to achieve efficiency in the new model of administration. this effort will be concentrated in coordinating national institutions to take maximum advantage of existing capabilities. the most modern management techniques will be incorporated to maximize transparency mechanisms in public accounts for the restructuring of decisionmaking processes and allocation of resources, with the goal of optimizing institutional management. - - - - - throughout",787,115,130,6,guatemala_2012_NationalSecurityPolicy.md,2025-01-28 18:54:13
