chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# libro blanco! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) de segurid guatemala 2025 con seguridad y desarrollo,114,27,43,0,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
2,# libro blanco! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) de segurid guatemala 2025 con seguridad y desarrollo consejo nacional de seguridad! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png )! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ),285,79,114,1,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
3,"# guatemala 2025 con seguridad y desarrollo guatemala alcanzara para el! [ 7 _ image _ 0. png ] ( 7 _ image _ 0. png ) ano 2025 niveles sostenidos de seguridad y desarrollo humano, garantizando a toda la sociedad las condiciones para expresar sus necesidades e intereses, y emprender esfuerzos bajo el estado de derecho para su consecucion.! [ 8 _ image _ 0. png",362,67,130,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
4,"] ( 8 _ image _ 0. png ) 9 el libro blanco de seguridad integra la expresion de un amplio proceso de dialogos y consensos con diferentes instituciones y actores de la sociedad para definir el marco axiologico de la seguridad, entendido como el conjunto de valores y principios – paz, libertad, democracia, justicia, respeto de los derechos humanos - que sustentan la integralidad de la acc",389,68,130,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
5,"##ion del estado y la toma de decisiones institucionales para alcanzar una guatemala 2025 con seguridad y desarrollo. este documento de nivel superior reconoce que la vision de! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) seguridad y desarrollo atraviesa nuevos e ineditos rumbos que facilitan su fusion, caracterizados por la presencia de actores y amenazas transnacionales, riesgos ambientales y provo",405,69,132,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
6,"##cados por el hombre que demandan acciones de la sociedad y sus instituciones para transitar con certeza hacia condiciones superiores de bienestar social, economico y politico. el libro blanco de seguridad se alinea con el plan nacional de desarrollo : k ' atun, nuestra guatemala 2032, y cumple su funcion de dar viabilidad a los lineamientos y metas derivados de las prioridades nacionales de desarrollo, desde la accion integ",429,69,132,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
7,"##rada y coordinada de los componentes de seguridad del estado a traves del sistema nacional de seguridad. las complejidades del mundo actual, las nuevas amenazas y los contextos de delincuencia comun, demandan nuevos enfoques para superar el modelo convencional de seguridad hacia modelos de seguridad y desarrollo humano que consoliden un estado altamente eficiente para enfrentar los escenarios futuros. para el sistem",421,62,133,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
8,"##a nacional de seguridad, la proxima decada supone la generacion de procesos transformadores que aseguren y consoliden la funcionalidad de sus instituciones y su articulacion conjunta con actores economicos, academicos y sociales para actuar en un marco de demandas ciudadanas, productivas y competitivas en contextos de crecimiento economico y sostenibilidad ambiental. es prioritaria la ruta hacia el marco de seguridad de la na",431,63,132,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
9,"##cion, cuyo eje central es la persona humana, que obliga a renovar el rol del estado y reducir el deficit institucional heredado del siglo xx para convertirlo en la oportunidad capaz de sentar las bases para la ruta del desarrollo con seguridad integral para guatemala.! [ 10 _ image _ 0. png ] ( 10 _ image _ 0. png ) el capital humano y social, y su movilidad en canales de ascenso altamente dinamicos representan la principal",429,78,133,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
10,"fuente para transformar las instituciones publicas, fortalecer sus capacidades y eficiencia, impactando en la calidad del servicio publico. la nueva cultura de seguridad centrada en el desarrollo humano dentro de la perspectiva del libro blanco de seguridad se fundamenta en la integralidad del rol del estado para garantizar derechos ciudadanos, la revitalizacion de los valores que construyen el tejido social y promueven la convi",432,64,130,2,guatemala_2015_SecurityWhitePaper_noneng.md,2025-01-28 18:57:46
