chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# resolution no. 94 / 1998 / xii. 29 / of the hungarian national assembly on the basic principles of the security and defense policy of the republic of hungary the hungarian national assembly 1. approves the basic principles of the security and defense policy of the republic of hungary. 2. requests the government to report at least once a year to the national assembly on the implementation of tasks related to security and defense policy. 3. the present resolution will enter into force on the day of the entry into force of § 2 of the act on the accession of the republic of hungary to the north atlantic treaty organization and on the promulgation of the,659,118,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
2,"latter. at the same time, resolution no. 11 / 1993 / iii. 12 / on the basic principles of the security policy of the republic of hungary and resolution no. 27 / 1993 / iv. 23 / on the principles of the national defense of the republic of hungary of the national assembly will be annulled. * * the basic principles of the security and defense policy of the * * * * republic of hungary. * * in the course of the past few years, changes of fundamental importance have taken place in the external security situation of the republic of hungary, to a decisive extent as a result of the achievements made in the",604,116,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
3,"field of euro - atlantic integration. with the achievement of membership in nato and the practical advancement of the process of accession to the european union, the country has also institutionally become a member of the community of democratic, developed and stable nations of the euro - atlantic region. all this requires the basic principles of the security and defense policy of the republic of hungary to be redefined. 1. the republic of hungary defines security in a comprehensive sense, which includes, beside the traditional political and military factors, also other dimensions of security as defined in a broader sense – that is, its economic and financial, human and minority rights, information - and",713,114,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
4,"technology - related, environmental as well as international legal dimensions. in the world of global challenges, international political and economic mutual interdependence and technological development, the security of the euro - atlantic region has become indivisible. 2. as compared to the age of the bipolar international system, the threat of a worldwide armed conflict has decreased to a minimum while at the same time, the circle of risks and sources of threat has significantly increased and become more complex. hungary ’ s security is influenced mainly by the development of security in the euro - atlantic region and the political, social and economic processes taking place in its region. however",709,110,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
5,", the country must not consider itself immune to the global sources of threat, either. its membership in an alliance system will bring about additional responsibilities and at the same time, increased opportunities in the context of handling the latter. - - - - - increasing risks stem from the transitional and durable differences between countries and groups which have their origins in the differing levels of social development, from economic, financial and social crises, ethnic and religious tensions, terrorism, organized crime, illegal drug and arms trafficking, demographical tensions, mass migration and largescale environmental hazards. the proliferation of weapons of mass destruction and their carriers as well as the possibility of attacks",753,112,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
6,"against information system also constitute an increasing challenge and threat. besides, inter - state as well as intra - state armed conflicts continue to persist in europe. a particular source of threat in our region is instability and unpredictability stemming from transformation and the fragility of the processes of democratization. a particular feature of security in our region is the fact that new and traditional kinds of challenges often emerge simultaneously and reinforcing each other. 3. the main purpose of the security policy of the republic of hungary is, - to guarantee the independence, sovereign statehood and territorial integrity of the country, - to create appropriate conditions for the implementation of",727,111,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
7,"the principles enshrined in the constitution, to promote the practice of the rule of law and the undisturbed functioning of democratic institutions and the market economy and to contribute to the internal stability of the country, - to promote the full implementation of citizens ’, human as well as national and ethnic minority rights in the republic of hungary, - to create the necessary conditions for the safeguarding of the safety as well as material and social security of all persons living on the territory of the republic of hungary and for the safeguarding of national wealth, - to contribute to the implementation of the contents of the north atlantic treaty and to the security of",692,116,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
8,"its allies, - to contribute to the maintenance of international peace and to the enhancement of security and stability in the euro - atlantic region, in europe and its immediate neighborhood, - to contribute to ensuring the conditions for the international economic, political, cultural and other kinds of relations and co - operation of the republic of hungary, 4. the republic of hungary wishes to achieve the above goals in accordance with the constitutions and the standards of international law, in particular with the basic principles and commitments enshrined in the united nations charter, in the documents of the organization for security and co - operation in europe and the council of europe and in",709,115,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
9,"the north atlantic treaty as well as in other relevant international documents and through the respect of its obligations undertaken in regional and bilateral treaties. 5. the republic of hungary considers no state as its enemy and treats all actors of international politics, which abide by the basic principles of international law as partners. it wishes to settle matters of dispute in accordance with the international law and taking into account the european practice. 6. the republic of hungary bases its security on two fundamental pillars : its national selfstrength, on the one hand, an on euro - atlantic integration and international co - operation, on the other. - - - - -",684,113,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
10,"7. the republic of hungary wishes to promote its security and the well - being of its citizens in a durable manner as a member of the democratic community of euro - atlantic nations. the republic of hungary may maintain its security in the most effective manner as a member of the north atlantic treaty organization / further on referred to as alliance / which is based on the principle of collective defense. as an integral part of the political and military structures of the alliance, hungary assumes the tasks that fall upon it in the context of collective defense. hungary considers constructive participation in the consultative and decision - making system of the alliance as a means to contribute to the enhancement",723,123,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
11,"of security and stability in the euro - atlantic region as well as to the effective manifestation of its national interests. hungary considers transatlantic co - operation as a factor of fundamental importance from the point of view of security in europe also in the long run. within the frameworks of co - operation within the alliance, it supports the development of a european security and defense identity, which constitutes an important element of hungary ' s integration policy. in the course of its history, european integration - and the european union, which constitutes the most important framework of the latter - has established the economic and political fundaments of security of its member countries. on the",722,117,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
12,"basis of the ongoing negotiations with the european union and while keeping its national interests in mind, it is a realistic goal for the republic of hungary to become a full - fledged member of the european union within a few years and to take part in the shaping and implementation of the common foreign and security policy of the union. as part of its euro - atlantic strategy, the republic of hungary is striving for full - fledged membership also in the western european union, which it considers as a significant future means of coping with the regional challenges. 8. the republic of hungary continues to play an active role in the activities of the united nations, the",677,119,130,0,hungary_1998_SecurityDefensePolicy.md,2025-01-28 18:54:35
