chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * the national security strategy of the republic of hungary * * in the course of the euro - atlantic integration process that has been taking place since the regime change, hungary has become a member of organisations of integration, in which the stability of the member countries is based on common values, democracy and the rule of law, as well as on respect for human rights and fundamental freedoms, with member states willing and able to help each other in order to protect the latter. hungary ’ s security situation is stable ; the basic guarantee of its security is the co - operation taking place in the framework of nato and eu. hungary is not threatened by military",677,121,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
2,"aggression, and the risk of any other traditional type of threat is also minimal. at the same time, new challenges and threats have emerged that can be addressed effectively only through a governmental stance that co - ordinates our national efforts, and a well - focused development of our capabilities and their flexible application, as well as through wide - ranging international co - operation. resolution no. 94 / 1998. ( xii. 29. ) of the hungarian national assembly on “ the basic principles of the security and defence policy of the republic of hungary ” sets out the fundaments of the country ’ s security - and defence policy for the long term",654,114,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
3,". article 17 of the resolution states that “ the government of the republic of hungary is responsible for the elaboration of the national security strategy and the national military strategy, as well as for their review, if required, and for the implementation of tasks deriving from them. ” with the approval of the national security strategy and by setting concrete tasks related to the elaboration of the national military strategy, the government is now fulfilling its respective obligation. the national security strategy builds on resolution no. 2144 / 2002 ( v. 6. ) of the government on the national security strategy of the republic of hungary, while the evaluation of the",681,112,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
4,"security environment, the definition of interests and the determination of goals, tasks and means reflect the changes that have taken place since the approval of the latter, with special regard to the integration - related tasks deriving from membership in nato and the accession to the european union. the national security strategy builds on the basic principles of the security and defence policy of the republic of hungary and is in line with nato ’ s 1999 strategic concept and the european security strategy adopted by the european union in 2003. its purpose is to identify - after having taken into account the relevant values and interests, and having analysed the security environment and identifying risk factors and challenges",737,119,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
5,"- those tasks and means, through which hungary may assert its national security interests in the international political and security system of the early 21 [ st ] century. it is on the basis of the national security strategy that sectoral strategies in the fields of military, national security, law enforcement, economics and finance, human resource development, information systems and protection, disaster - relief, environmental security and the fight against terrorism are being developed in a co - ordinated manner, setting tasks in the field of security in its broader definition. * * i. values and interests * * the republic of hungary defines security in a comprehensive way : besides the traditional",710,113,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
6,"political and defence components, it also contains, inter alia, economic and social elements, including human rights and minority rights - related, as well as environmental elements. the republic of hungary treats the following traditional, closely interlinked and interdependent values as fundamental values : peace, security, stability, sovereignty, democracy, the rule of law, freedom of enterprise and respect for human rights and fundamental freedoms. the republic of hungary provides for the security, prosperity and advancement of its citizens, as well as for the preservation of the cultural heritage and identity of the hungarian people. globalisation and the increase of interdependence have",701,100,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
7,"resulted in changes to the substance and the forms of appearance of national interests. as a consequence of the integration processes, the political and economic sovereignty of the state has been given a new substance, with a significant part of the particular national interests of the individual countries now embedded in the framework of common interests. hungarian national interests can and need to be asserted in the framework of the euroatlantic integration, which extends to policy and economy, as well as foreign and security policy and defence. - - - - - the republic of hungary considers as a national security interest 1. the preservation of its sovereignty, territorial integrity and constitutional order, as well",726,115,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
8,"as the implementation of democracy, political pluralism, the rule of law, freedom of enterprise, and of human rights and fundamental freedoms ; 2. the country ’ s stability and its economic, social and cultural development, the unfolding of its opportunities, the all - encompassing and rapid development of its economic, technological and human resources ; its rapprochement to the level of the developed industrial nations, sustainable economic growth ; the promotion of the security and prosperity of its citizens and the development of a security environment facilitating the fulfilment of these goals in a multifold manner ; 3. the maintenance of international peace and security, and the",693,107,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
9,"prevention and resolution of regional, inter - state and intra - state conflicts in accordance with the charter of the united nations and the norms and standards of international law ; 4. the widening and deepening process of the european union ’ s integration, the equality of rights and solidarity between the member states, the enhancement of community methods, the increase of the effectiveness of the common foreign and security policy ( cfsp ), the enhancement of the european security and defence policy ( esdp ) as a means of cfsp, and the integration of hungary in the institutional structure of the european union, as well as the enhancement of its capabilities to assert its interests",695,116,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
10,"; 5. the long term preservation of nato ’ s central role in the euro - atlantic security system, the adaptation of nato ’ s activities to the changed security policy environment of the 21st century and the increase of its effectiveness, as well as transatlantic cohesion, including the united states ’ military presence and its active engagement in europe ; nato ’ s further enlargement on the basis of common values and interests serving the enhancement of collective security, and the enhancement of hungary ’ s role as an allied nation ; 6. the general prevalence of democratic values, including their spreading beyond the euroatlantic region ; 7. long term stability and euro",679,114,130,0,hungary_2007_NationalSecurityStrategy.md,2025-01-28 18:55:26
