chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,first edition : october 2004 published by : headquarters army training command copyright reserved : headquarters army training command shimla – 171003 india,156,23,29,0,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
2,# part - i - - - - -,20,9,11,1,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
3,"# # promulgation 1. the indian army doctrine is structured as a two - part document. the main part contains subjects for widespread dissemination in the army, the second part is the classified adjunct to it and is intended for very restricted circulation. 2. having been approved by army headquarters, the main part of the indian army doctrine is hereby promulgated for information, guidance and implementation by all concerned. 3. part i will be reviewed every five years and updated, as necessary. the doctrine will be re - issued every ten years. * * shimla * * * * ( k nagaraj ) * * * * lt",593,108,130,2,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
4,"gen * * * * october 2004 * * * * goc - in - c artrac * * - - - - - * * _ – the bhagawad gita _ * * * * code of the warrior * * * * _ “ i am a warrior ; defending my nation is my dharma. _ * * * * _ i will train my mind, body and spirit to fight, _ * * * * _ excel in all devices and weapons of war – _ * * * * _ present and future, _ * * * * _ always protect the weak, _ * * * * _ be truthful and",396,116,130,2,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
5,"forthright, _ * * * * _ be humane, cultured and compassionate, _ * * * * _ fight and embrace the consequences willingly. _ * * * * _ god, give me strength that i ask nothing of you ” _ * * * * _ – the bhagawad gita _ * * - - - - - general nc vij pvsm, uysm, avsm, adc",267,66,88,2,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
6,"# # foreword * * _ “ how can man die better, than facing fearful odds, _ * * * * _ for the ashes of his fathers and the temples of his gods. ” _ * * like all other modern armed forces, the indian army has been considerably influenced by the revolution in military affairs and the great strides being made in technology development. this has necessitated a transformation in strategic thinking along with a paradigm shift in organization and conduct of operations. as a consequence, military doctrines, weapon systems and force structures need to undergo a review. our vision for the twenty - first century is to have a well equipped and optimally structured army",662,118,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
7,", enabling it to respond effectively to varied situations and demands whilst it continually adapts itself to meet future challenges. such a vision places emphasis on the ability to augment existing strengths, develop new skills, think imaginatively and attempt innovative approaches to cope with the emerging environment. the challenges that we will be confronted with require us to visualize what our army of the future should look like and accordingly develop suitable approaches to structures, equipping and training to emerge with flying colours in future conflict situations. the impetus for change must come from within and flow through the entire army. - - - - - the indian army has to maintain a high level",714,115,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
8,of readiness for war in varied terrain conditions and should have the capability to operate in the complete spectrum of conflict. the indian army doctrine ( hereinafter referred to as the ‘ doctrine ’ ) outlines a framework for a better understanding of the approach to warfare and provides the foundation for its practical application. funds scarcity or shortfall is a challenge faced by all armies of the world and hence there is a need for improved operating cultures and optimization of resources. the winning armies of the future will not necessarily be the ones that have greater combat power but ones that can visualize and comprehend battles more clearly. there will invariably be technological gaps between the,719,118,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
9,"systems that we possess and those developed up to that point in time. notwithstanding this gap we have to continuously utilize all available resources imaginatively and effectively. the emergence of information warfare as a major force multiplier points clearly towards the imperatives of networkcentric warfare. additionally, present trends indicate a marked shift towards the manoeuvre style of warfare and directive style of command. concurrently, the requirement for joint operations and the need for greater integration and interdependence amongst the three services are viewed as being essential for success. this doctrine emphasizes that the profession of arms is a calling. the hallmark of a good soldier entails having",727,107,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
10,"a sense of responsibility, professional expertise and loyalty to the nation and the army. the ethos and moral code set forth principles and ideals ; these exhort every man in uniform to abide by his duty without regard to personal safety. this ethos forms the bedrock of the army ’ s preparedness in peace and is the key to its effectiveness in war. indian army officers would do well to develop a broadbased, all - inclusive understanding of warfare and not become - - - - - overly reliant on rigid adherence to prescriptive rules. the nature of this doctrine is enduring and yet dynamic ; it drives development of both",620,111,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
11,", the art and science of war. in the army it provides the focus for constructive debate within well - informed and professional circles and acts as a guide to the younger generation. training in the army should focus on management of change and operational adaptation to change. towards this end, providing the kind of ambience that encourages and facilitates intellectual development should be an unceasing endeavour. * * ( nc vij ) * * * * october 2004 * * * * general * * * * _ “ not by action not by progeny _ * * * * _ not by wealth but by sacrifice alone _ * * * * _ can immortal",585,117,130,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
12,"goal be achieved. ” _ * * * * – the bhagawad gita * * * * ( nc vij ) * * * * general * * - - - - - * * _ “ and speak not of those who are _ * * * * _ slain in allah ’ s way as dead, _ * * * * _ nay, ( they are ) alive but ye perceive not ”. _ * * – * * sureh bacarah, ayat 154, * * * * the holy quran * * - - - - -",314,99,116,3,india_2004_ArmyDoctrine.md,2025-01-28 18:55:39
